Orthogroup	Syak	Prao
OG0000001	Syak.g_00342	Prao.g_01254, Prao.g_01852, Prao.g_01529
OG0000004	Syak.g_01219, Syak.g_00720	Prao.g_00133
OG0000004	Syak.g_00003, Syak.g_02297	Prao.g_00370
OG0000005	Syak.g_02401	Prao.g_01565
OG0000005	Syak.g_00885, Syak.g_02436	Prao.g_01472
OG0000006	Syak.g_00059, Syak.g_00061, Syak.g_01394, Syak.g_02315, Syak.g_02317	Prao.g_00379
OG0000007	Syak.g_02595	Prao.g_00603
OG0000007	Syak.g_02416	Prao.g_01552
OG0000010	Syak.g_01119	Prao.g_00985, Prao.g_00580
OG0000011	Syak.g_02294	Prao.g_00529
OG0000012	Syak.g_00010	Prao.g_00062
OG0000013	Syak.g_01275, Syak.g_01270	Prao.g_00463
OG0000014	Syak.g_01505, Syak.g_01582	Prao.g_01213
OG0000015	Syak.g_00358	Prao.g_00703
OG0000016	Syak.g_01780	Prao.g_00160
OG0000017	Syak.g_02730	Prao.g_00036
OG0000018	Syak.g_01072	Prao.g_01108, Prao.g_00768
OG0000019	Syak.g_01413	Prao.g_00387, Prao.g_00720
OG0000021	Syak.g_00566	Prao.g_01346, Prao.g_00500
OG0000022	Syak.g_00088	Prao.g_00699, Prao.g_01126
OG0000023	Syak.g_00316, Syak.g_00223	Prao.g_00494
OG0000025	Syak.g_00610	Prao.g_00776, Prao.g_00467
OG0000026	Syak.g_01757	Prao.g_00177, Prao.g_00992
OG0000027	Syak.g_00127	Prao.g_00576, Prao.g_01293
OG0000028	Syak.g_01522	Prao.g_00456, Prao.g_01348
OG0000029	Syak.g_00169, Syak.g_00178	Prao.g_00510, Prao.g_00690
OG0000030	Syak.g_01684, Syak.g_01685	Prao.g_01753
OG0000031	Syak.g_01630	Prao.g_01355, Prao.g_01364
OG0000033	Syak.g_02101	Prao.g_00307
OG0000034	Syak.g_00950, Syak.g_02133	Prao.g_01266
OG0000035	Syak.g_01041	Prao.g_01397
OG0000037	Syak.g_02188	Prao.g_00247
OG0000038	Syak.g_01938, Syak.g_01936	Prao.g_01794
OG0000039	Syak.g_00772, Syak.g_01918	Prao.g_00124
OG0000041	Syak.g_02354	Prao.g_01598
OG0000042	Syak.g_00843, Syak.g_01681	Prao.g_01750
OG0000043	Syak.g_00335	Prao.g_00812
OG0000045	Syak.g_00228	Prao.g_00506
OG0000047	Syak.g_01147	Prao.g_00466
OG0000048	Syak.g_01446	Prao.g_00509
OG0000052	Syak.g_01549	Prao.g_01358
OG0000053	Syak.g_01068	Prao.g_01417
OG0000054	Syak.g_02744	Prao.g_00044
OG0000055	Syak.g_00766	Prao.g_00721
OG0000057	Syak.g_00724	Prao.g_00136
OG0000058	Syak.g_01530	Prao.g_01191
OG0000059	Syak.g_01355	Prao.g_01639
OG0000061	Syak.g_00898	Prao.g_01089
OG0000063	Syak.g_01752	Prao.g_00179
OG0000065	Syak.g_02192, Syak.g_00282	Prao.g_00245
OG0000067	Syak.g_00434	Prao.g_00741
OG0000068	Syak.g_02565	Prao.g_01239
OG0000070	Syak.g_01174	Prao.g_00554
OG0000071	Syak.g_00936	Prao.g_01276
OG0000072	Syak.g_02099	Prao.g_00309
OG0000073	Syak.g_02597	Prao.g_00605
OG0000075	Syak.g_01564	Prao.g_01719
OG0000076	Syak.g_01650	Prao.g_01743
OG0000077	Syak.g_02243	Prao.g_00217
OG0000078	Syak.g_02310	Prao.g_00377
OG0000079	Syak.g_01417	Prao.g_00390
OG0000081	Syak.g_00115	Prao.g_01860
OG0000082	Syak.g_02711	Prao.g_00024
OG0000084	Syak.g_01036	Prao.g_01393
OG0000085	Syak.g_02427	Prao.g_01545
OG0000086	Syak.g_02219	Prao.g_00227
OG0000087	Syak.g_02141	Prao.g_00277
OG0000088	Syak.g_02106	Prao.g_00304
OG0000089	Syak.g_01215	Prao.g_00490
OG0000090	Syak.g_02640	Prao.g_01858
OG0000091	Syak.g_00043	Prao.g_00081
OG0000092	Syak.g_01126	Prao.g_00850
OG0000094	Syak.g_00656	Prao.g_00955
OG0000097	Syak.g_00816	Prao.g_01048
OG0000098	Syak.g_00345	Prao.g_01257
OG0000099	Syak.g_01527	Prao.g_01214
OG0000100	Syak.g_00622	Prao.g_01470
OG0000101	Syak.g_01305	Prao.g_01687
OG0000102	Syak.g_01661	Prao.g_01748
OG0000103	Syak.g_01812	Prao.g_01828
OG0000104	Syak.g_01799	Prao.g_01837
OG0000105	Syak.g_01451	Prao.g_01378
OG0000106	Syak.g_00096	Prao.g_00505
OG0000107	Syak.g_01392	Prao.g_00518
OG0000108	Syak.g_02574	Prao.g_00586
OG0000109	Syak.g_01061	Prao.g_00600
OG0000110	Syak.g_02698	Prao.g_01867
OG0000111	Syak.g_00725	Prao.g_00137
OG0000112	Syak.g_00512	Prao.g_00704
OG0000113	Syak.g_00461	Prao.g_00763
OG0000114	Syak.g_00373	Prao.g_00845
OG0000115	Syak.g_01066	Prao.g_01150
OG0000116	Syak.g_00911	Prao.g_01099
OG0000117	Syak.g_00846	Prao.g_01332
OG0000118	Syak.g_00954	Prao.g_01264
OG0000119	Syak.g_00917	Prao.g_01243
OG0000120	Syak.g_01526	Prao.g_01215
OG0000121	Syak.g_01044	Prao.g_01399
OG0000122	Syak.g_00081	Prao.g_01436
OG0000123	Syak.g_01299	Prao.g_01694
OG0000124	Syak.g_01692	Prao.g_01759
OG0000125	Syak.g_01934	Prao.g_01796
OG0000126	Syak.g_01801	Prao.g_01836
OG0000128	Syak.g_01782	Prao.g_00158
OG0000129	Syak.g_01947	Prao.g_00190
OG0000130	Syak.g_02255	Prao.g_00208
OG0000131	Syak.g_02128	Prao.g_00283
OG0000132	Syak.g_02108	Prao.g_00302
OG0000133	Syak.g_00507	Prao.g_00458
OG0000134	Syak.g_01212	Prao.g_00491
OG0000135	Syak.g_01897	Prao.g_00516
OG0000136	Syak.g_01186	Prao.g_00545
OG0000137	Syak.g_01118	Prao.g_00581
OG0000138	Syak.g_02591	Prao.g_00601
OG0000139	Syak.g_02646	Prao.g_01854
OG0000140	Syak.g_02650	Prao.g_01853
OG0000141	Syak.g_02746	Prao.g_00045
OG0000142	Syak.g_00035	Prao.g_00074
OG0000143	Syak.g_00039	Prao.g_00078
OG0000144	Syak.g_00260	Prao.g_00091
OG0000145	Syak.g_02598	Prao.g_00701
OG0000146	Syak.g_00514	Prao.g_00705
OG0000147	Syak.g_00515	Prao.g_00706
OG0000148	Syak.g_00455	Prao.g_00757
OG0000149	Syak.g_00596	Prao.g_00788
OG0000150	Syak.g_02747	Prao.g_00796
OG0000151	Syak.g_00387	Prao.g_00855
OG0000152	Syak.g_00503	Prao.g_00902
OG0000153	Syak.g_00470	Prao.g_00921
OG0000154	Syak.g_00645	Prao.g_00948
OG0000155	Syak.g_00855	Prao.g_01069
OG0000156	Syak.g_00919	Prao.g_01287
OG0000157	Syak.g_00920	Prao.g_01286
OG0000158	Syak.g_01624	Prao.g_01220
OG0000160	Syak.g_01043	Prao.g_01398
OG0000161	Syak.g_01050	Prao.g_01404
OG0000162	Syak.g_01058	Prao.g_01410
OG0000163	Syak.g_02478	Prao.g_01443
OG0000164	Syak.g_02384	Prao.g_01576
OG0000165	Syak.g_02374	Prao.g_01583
OG0000166	Syak.g_01345	Prao.g_01651
OG0000167	Syak.g_01561	Prao.g_01717
OG0000168	Syak.g_01625	Prao.g_01727
OG0000169	Syak.g_01637	Prao.g_01737
OG0000170	Syak.g_01644	Prao.g_01739
OG0000171	Syak.g_01691	Prao.g_01758
OG0000172	Syak.g_01713	Prao.g_01767
OG0000173	Syak.g_01733	Prao.g_01782
OG0000174	Syak.g_01895	Prao.g_01810
OG0000175	Syak.g_01827	Prao.g_01820
OG0000176	Syak.g_01790	Prao.g_01845
OG0000177	Syak.g_01789	Prao.g_01846
OG0000178	Syak.g_01788	Prao.g_01847
OG0000179	Syak.g_01773	Prao.g_00163
OG0000180	Syak.g_01772	Prao.g_00164
OG0000181	Syak.g_01771	Prao.g_00165
OG0000182	Syak.g_01770	Prao.g_00166
OG0000183	Syak.g_01766	Prao.g_00170
OG0000184	Syak.g_01955	Prao.g_00192
OG0000185	Syak.g_01971	Prao.g_00195
OG0000186	Syak.g_02258	Prao.g_00203
OG0000187	Syak.g_02257	Prao.g_00204
OG0000188	Syak.g_02235	Prao.g_00221
OG0000189	Syak.g_02203	Prao.g_00235
OG0000190	Syak.g_01575	Prao.g_00236
OG0000191	Syak.g_02171	Prao.g_00256
OG0000192	Syak.g_02165	Prao.g_00260
OG0000193	Syak.g_02127	Prao.g_00284
OG0000194	Syak.g_02124	Prao.g_00287
OG0000195	Syak.g_02122	Prao.g_00289
OG0000196	Syak.g_02111	Prao.g_00299
OG0000197	Syak.g_02110	Prao.g_00300
OG0000198	Syak.g_02109	Prao.g_00301
OG0000199	Syak.g_02100	Prao.g_00308
OG0000200	Syak.g_02083	Prao.g_00322
OG0000201	Syak.g_02068	Prao.g_00330
OG0000202	Syak.g_02067	Prao.g_00331
OG0000203	Syak.g_02066	Prao.g_00332
OG0000204	Syak.g_02065	Prao.g_00333
OG0000205	Syak.g_02058	Prao.g_00340
OG0000206	Syak.g_02038	Prao.g_00345
OG0000207	Syak.g_02025	Prao.g_00347
OG0000208	Syak.g_02024	Prao.g_00348
OG0000209	Syak.g_01995	Prao.g_00357
OG0000210	Syak.g_01994	Prao.g_00358
OG0000211	Syak.g_02017	Prao.g_00371
OG0000212	Syak.g_02311	Prao.g_00378
OG0000213	Syak.g_01425	Prao.g_00395
OG0000214	Syak.g_01442	Prao.g_00405
OG0000215	Syak.g_01474	Prao.g_00429
OG0000216	Syak.g_01478	Prao.g_00431
OG0000217	Syak.g_01482	Prao.g_00434
OG0000218	Syak.g_01484	Prao.g_00436
OG0000219	Syak.g_01485	Prao.g_00437
OG0000220	Syak.g_01486	Prao.g_00438
OG0000221	Syak.g_01498	Prao.g_00439
OG0000222	Syak.g_01512	Prao.g_00446
OG0000223	Syak.g_01531	Prao.g_00459
OG0000224	Syak.g_01532	Prao.g_00461
OG0000225	Syak.g_01230	Prao.g_00480
OG0000226	Syak.g_01226	Prao.g_00484
OG0000227	Syak.g_01224	Prao.g_00486
OG0000228	Syak.g_01216	Prao.g_00489
OG0000229	Syak.g_01191	Prao.g_00540
OG0000230	Syak.g_01189	Prao.g_00542
OG0000231	Syak.g_01176	Prao.g_00553
OG0000232	Syak.g_01156	Prao.g_00564
OG0000233	Syak.g_01145	Prao.g_00569
OG0000234	Syak.g_01116	Prao.g_00582
OG0000235	Syak.g_02573	Prao.g_00585
OG0000236	Syak.g_02589	Prao.g_00599
OG0000237	Syak.g_02607	Prao.g_00612
OG0000238	Syak.g_02612	Prao.g_00618
