Orthogroup	Syak	Praq
OG0000001	Syak.g_00342	Praq.g_00160, Praq.g_01394, Praq.g_01393
OG0000004	Syak.g_01219, Syak.g_00720	Praq.g_00824
OG0000004	Syak.g_00003, Syak.g_02297	Praq.g_01770
OG0000005	Syak.g_02401	Praq.g_00484
OG0000005	Syak.g_00885, Syak.g_02436	Praq.g_00370
OG0000006	Syak.g_00059, Syak.g_00061, Syak.g_01394, Syak.g_02315, Syak.g_02317	Praq.g_01761
OG0000007	Syak.g_02595	Praq.g_01105
OG0000007	Syak.g_02416	Praq.g_00497
OG0000008	Syak.g_00267	Praq.g_00071
OG0000009	Syak.g_02194	Praq.g_01898
OG0000010	Syak.g_01119	Praq.g_00552, Praq.g_01626, Praq.g_00525
OG0000012	Syak.g_00010	Praq.g_00979
OG0000013	Syak.g_01275, Syak.g_01270	Praq.g_01675
OG0000014	Syak.g_01505	Praq.g_01696
OG0000015	Syak.g_00358	Praq.g_00065
OG0000017	Syak.g_02730	Praq.g_01004
OG0000018	Syak.g_01072	Praq.g_01314, Praq.g_01425
OG0000019	Syak.g_01413	Praq.g_01753, Praq.g_00649
OG0000021	Syak.g_00566	Praq.g_01179
OG0000022	Syak.g_00088	Praq.g_00635, Praq.g_01296
OG0000023	Syak.g_00316, Syak.g_00223	Praq.g_01184
OG0000025	Syak.g_00610	Praq.g_01432, Praq.g_01671
OG0000026	Syak.g_01757	Praq.g_01234, Praq.g_01633
OG0000027	Syak.g_00127	Praq.g_00521
OG0000028	Syak.g_01522	Praq.g_01682, Praq.g_00103
OG0000029	Syak.g_00169, Syak.g_00178	Praq.g_01168, Praq.g_00627
OG0000030	Syak.g_01684, Syak.g_01685	Praq.g_00772
OG0000031	Syak.g_01630	Praq.g_00209
OG0000032	Syak.g_01707	Praq.g_00202
OG0000033	Syak.g_02101	Praq.g_01833
OG0000034	Syak.g_00950, Syak.g_02133	Praq.g_00143
OG0000035	Syak.g_01041	Praq.g_00294
OG0000037	Syak.g_02188	Praq.g_01894
OG0000038	Syak.g_01938, Syak.g_01936	Praq.g_00716
OG0000039	Syak.g_00772, Syak.g_01918	Praq.g_00815
OG0000041	Syak.g_02354	Praq.g_00451
OG0000042	Syak.g_00843, Syak.g_01681	Praq.g_00770
OG0000043	Syak.g_00335	Praq.g_01469
OG0000044	Syak.g_00153	Praq.g_00058
OG0000045	Syak.g_00317	Praq.g_00567
OG0000045	Syak.g_00228	Praq.g_01172
OG0000047	Syak.g_01147	Praq.g_01137, Praq.g_01672
OG0000048	Syak.g_01446	Praq.g_01169
OG0000053	Syak.g_01068	Praq.g_01246, Praq.g_00314
OG0000054	Syak.g_02744	Praq.g_00996
OG0000055	Syak.g_00766	Praq.g_00650
OG0000057	Syak.g_00724	Praq.g_00827
OG0000058	Syak.g_01530	Praq.g_00218, Praq.g_00271
OG0000059	Syak.g_01355	Praq.g_00927
OG0000061	Syak.g_00898	Praq.g_01333
OG0000063	Syak.g_01752	Praq.g_01237, Praq.g_01236, Praq.g_00075
OG0000065	Syak.g_02192, Syak.g_00282	Praq.g_01896
OG0000066	Syak.g_02653	Praq.g_01063
OG0000067	Syak.g_00434	Praq.g_00670
OG0000068	Syak.g_02565	Praq.g_00175
OG0000070	Syak.g_01174	Praq.g_01107
OG0000071	Syak.g_00936	Praq.g_00133
OG0000072	Syak.g_02099	Praq.g_01831
OG0000073	Syak.g_02597	Praq.g_01103
OG0000075	Syak.g_01564	Praq.g_00739
OG0000076	Syak.g_01650	Praq.g_01243, Praq.g_00763
OG0000077	Syak.g_02243	Praq.g_01925
OG0000078	Syak.g_02310	Praq.g_01763
OG0000081	Syak.g_00115	Praq.g_01071
OG0000082	Syak.g_02711	Praq.g_01018
OG0000084	Syak.g_01036	Praq.g_00290
OG0000086	Syak.g_02219	Praq.g_01915
OG0000087	Syak.g_02141	Praq.g_01864
OG0000088	Syak.g_02106	Praq.g_01836
OG0000089	Syak.g_01215	Praq.g_01188
OG0000090	Syak.g_02640	Praq.g_01069
OG0000091	Syak.g_00043	Praq.g_00960
OG0000092	Syak.g_01126	Praq.g_01495, Praq.g_00725
OG0000094	Syak.g_00656	Praq.g_01600
OG0000097	Syak.g_00816	Praq.g_01374
OG0000098	Syak.g_00345	Praq.g_00157
OG0000099	Syak.g_01527	Praq.g_00216
OG0000100	Syak.g_00622	Praq.g_00368
OG0000101	Syak.g_01305	Praq.g_00879
OG0000102	Syak.g_01661	Praq.g_00768
OG0000103	Syak.g_01812	Praq.g_00414
OG0000104	Syak.g_01799	Praq.g_00422
OG0000105	Syak.g_01451	Praq.g_01729
OG0000106	Syak.g_00096	Praq.g_01173
OG0000107	Syak.g_01392	Praq.g_01158
OG0000108	Syak.g_02574	Praq.g_00531
OG0000109	Syak.g_01061	Praq.g_00545
OG0000110	Syak.g_02698	Praq.g_01028
OG0000111	Syak.g_00725	Praq.g_00828
OG0000112	Syak.g_00512	Praq.g_00638
OG0000113	Syak.g_00461	Praq.g_01420
OG0000114	Syak.g_00373	Praq.g_01490
OG0000115	Syak.g_01066	Praq.g_01278
OG0000116	Syak.g_00911	Praq.g_01323
OG0000117	Syak.g_00846	Praq.g_00084
OG0000118	Syak.g_00954	Praq.g_00145
OG0000119	Syak.g_00917	Praq.g_00171
OG0000120	Syak.g_01526	Praq.g_00208
OG0000121	Syak.g_01044	Praq.g_00296
OG0000122	Syak.g_00081	Praq.g_00334
OG0000123	Syak.g_01299	Praq.g_00873
OG0000124	Syak.g_01692	Praq.g_00682
OG0000125	Syak.g_01934	Praq.g_00718
OG0000126	Syak.g_01801	Praq.g_00421
OG0000128	Syak.g_01782	Praq.g_00437
OG0000129	Syak.g_01947	Praq.g_01259
OG0000130	Syak.g_02255	Praq.g_01934
OG0000131	Syak.g_02128	Praq.g_01857
OG0000132	Syak.g_02108	Praq.g_01838
OG0000133	Syak.g_00507	Praq.g_01680
OG0000134	Syak.g_01212	Praq.g_01187
OG0000135	Syak.g_01897	Praq.g_01160
OG0000136	Syak.g_01186	Praq.g_01116
OG0000137	Syak.g_01118	Praq.g_00526
OG0000138	Syak.g_02591	Praq.g_00546
OG0000139	Syak.g_02646	Praq.g_01065
OG0000140	Syak.g_02650	Praq.g_01064
OG0000141	Syak.g_02746	Praq.g_00995
OG0000142	Syak.g_00035	Praq.g_00967
OG0000143	Syak.g_00039	Praq.g_00963
OG0000144	Syak.g_00260	Praq.g_00781
OG0000145	Syak.g_02598	Praq.g_00637
OG0000146	Syak.g_00514	Praq.g_00639
OG0000147	Syak.g_00515	Praq.g_00640
OG0000148	Syak.g_00455	Praq.g_01414
OG0000149	Syak.g_00596	Praq.g_01444
OG0000150	Syak.g_02747	Praq.g_01452
OG0000151	Syak.g_00387	Praq.g_01500
OG0000152	Syak.g_00503	Praq.g_01548
OG0000153	Syak.g_00470	Praq.g_01567
OG0000154	Syak.g_00645	Praq.g_01593
OG0000155	Syak.g_00855	Praq.g_01353
OG0000156	Syak.g_00919	Praq.g_00122
OG0000157	Syak.g_00920	Praq.g_00123
OG0000158	Syak.g_01624	Praq.g_00258
OG0000160	Syak.g_01043	Praq.g_00295
OG0000161	Syak.g_01050	Praq.g_00301
OG0000162	Syak.g_01058	Praq.g_00307
OG0000163	Syak.g_02478	Praq.g_00341
OG0000164	Syak.g_02384	Praq.g_00473
OG0000165	Syak.g_02374	Praq.g_00466
OG0000166	Syak.g_01345	Praq.g_00915
OG0000167	Syak.g_01561	Praq.g_00737
OG0000168	Syak.g_01625	Praq.g_00747
OG0000169	Syak.g_01637	Praq.g_00757
OG0000170	Syak.g_01644	Praq.g_00759
OG0000171	Syak.g_01691	Praq.g_00681
OG0000172	Syak.g_01713	Praq.g_00689
OG0000173	Syak.g_01733	Praq.g_00704
OG0000174	Syak.g_01895	Praq.g_00396
OG0000175	Syak.g_01827	Praq.g_00406
OG0000176	Syak.g_01790	Praq.g_00430
OG0000177	Syak.g_01789	Praq.g_00431
OG0000178	Syak.g_01788	Praq.g_00432
OG0000179	Syak.g_01773	Praq.g_01219
OG0000180	Syak.g_01772	Praq.g_01220
OG0000181	Syak.g_01771	Praq.g_01221
OG0000182	Syak.g_01770	Praq.g_01222
OG0000183	Syak.g_01766	Praq.g_01226
OG0000184	Syak.g_01955	Praq.g_01262
OG0000185	Syak.g_01971	Praq.g_01265
OG0000186	Syak.g_02258	Praq.g_01939
OG0000187	Syak.g_02257	Praq.g_01938
OG0000188	Syak.g_02235	Praq.g_01921
OG0000189	Syak.g_02203	Praq.g_01907
OG0000190	Syak.g_01575	Praq.g_01906
OG0000191	Syak.g_02171	Praq.g_01886
OG0000192	Syak.g_02165	Praq.g_01882
OG0000193	Syak.g_02127	Praq.g_01856
OG0000194	Syak.g_02124	Praq.g_01853
OG0000195	Syak.g_02122	Praq.g_01851
OG0000196	Syak.g_02111	Praq.g_01841
OG0000197	Syak.g_02110	Praq.g_01840
OG0000198	Syak.g_02109	Praq.g_01839
OG0000199	Syak.g_02100	Praq.g_01832
OG0000200	Syak.g_02083	Praq.g_01818
OG0000201	Syak.g_02068	Praq.g_01810
OG0000202	Syak.g_02067	Praq.g_01809
OG0000203	Syak.g_02066	Praq.g_01808
OG0000204	Syak.g_02065	Praq.g_01807
OG0000205	Syak.g_02058	Praq.g_01800
OG0000206	Syak.g_02038	Praq.g_01795
OG0000207	Syak.g_02025	Praq.g_01793
OG0000208	Syak.g_02024	Praq.g_01792
OG0000209	Syak.g_01995	Praq.g_01783
OG0000210	Syak.g_01994	Praq.g_01782
OG0000211	Syak.g_02017	Praq.g_01769
OG0000212	Syak.g_02311	Praq.g_01762
OG0000213	Syak.g_01425	Praq.g_01746
OG0000214	Syak.g_01442	Praq.g_01736
OG0000215	Syak.g_01474	Praq.g_01710
OG0000216	Syak.g_01478	Praq.g_01708
OG0000217	Syak.g_01482	Praq.g_01705
OG0000218	Syak.g_01484	Praq.g_01703
OG0000219	Syak.g_01485	Praq.g_01702
OG0000220	Syak.g_01486	Praq.g_01701
OG0000221	Syak.g_01498	Praq.g_01700
OG0000222	Syak.g_01512	Praq.g_01692
OG0000223	Syak.g_01531	Praq.g_01679
OG0000224	Syak.g_01532	Praq.g_01677
OG0000225	Syak.g_01230	Praq.g_01199
OG0000226	Syak.g_01226	Praq.g_01195
OG0000227	Syak.g_01224	Praq.g_01193
OG0000228	Syak.g_01216	Praq.g_01189
OG0000229	Syak.g_01191	Praq.g_01121
