Orthogroup	Syak	Pras
OG0000001	Syak.g_00342	Pras.g_00235, Pras.g_00118, Pras.g_00120, Pras.g_00541
OG0000004	Syak.g_01219, Syak.g_00720	Pras.g_01571
OG0000004	Syak.g_00003, Syak.g_02297	Pras.g_01084
OG0000005	Syak.g_02401	Pras.g_00563
OG0000005	Syak.g_00885, Syak.g_02436	Pras.g_00429
OG0000006	Syak.g_00059, Syak.g_00061, Syak.g_01394, Syak.g_02315, Syak.g_02317	Pras.g_00148, Pras.g_01093
OG0000007	Syak.g_02595	Pras.g_01375
OG0000007	Syak.g_02416	Pras.g_00550
OG0000009	Syak.g_02194	Pras.g_00956
OG0000010	Syak.g_01119	Pras.g_00523, Pras.g_01942, Pras.g_01352
OG0000012	Syak.g_00010	Pras.g_01499
OG0000013	Syak.g_01275, Syak.g_01270	Pras.g_01179
OG0000014	Syak.g_01505	Pras.g_01158
OG0000015	Syak.g_00358	Pras.g_00127
OG0000016	Syak.g_01780	Pras.g_00855
OG0000017	Syak.g_02730	Pras.g_01474
OG0000018	Syak.g_01072	Pras.g_00037, Pras.g_01728
OG0000019	Syak.g_01413	Pras.g_01101, Pras.g_01681
OG0000021	Syak.g_00566	Pras.g_00507, Pras.g_01218
OG0000022	Syak.g_00088	Pras.g_01662, Pras.g_00019
OG0000023	Syak.g_00316, Syak.g_00223	Pras.g_01213
OG0000025	Syak.g_00610	Pras.g_01735, Pras.g_01183
OG0000026	Syak.g_01757	Pras.g_00873, Pras.g_01949
OG0000027	Syak.g_00127	Pras.g_01348, Pras.g_00185
OG0000028	Syak.g_01522	Pras.g_01172, Pras.g_00169
OG0000029	Syak.g_00169, Syak.g_00178	Pras.g_01228, Pras.g_01653
OG0000030	Syak.g_01684, Syak.g_01685	Pras.g_00753
OG0000031	Syak.g_01630	Pras.g_00331
OG0000032	Syak.g_01707	Pras.g_00326
OG0000033	Syak.g_02101	Pras.g_01020
OG0000034	Syak.g_00950, Syak.g_02133	Pras.g_00219
OG0000035	Syak.g_01041	Pras.g_00350
OG0000037	Syak.g_02188	Pras.g_00960
OG0000038	Syak.g_01938, Syak.g_01936	Pras.g_00795
OG0000039	Syak.g_00772, Syak.g_01918	Pras.g_01562
OG0000041	Syak.g_02354	Pras.g_00597
OG0000042	Syak.g_00843, Syak.g_01681	Pras.g_00750
OG0000043	Syak.g_00335	Pras.g_01772
OG0000045	Syak.g_00317	Pras.g_00509
OG0000045	Syak.g_00228	Pras.g_01224
OG0000047	Syak.g_01147	Pras.g_01263, Pras.g_01182
OG0000048	Syak.g_01446	Pras.g_01227
OG0000052	Syak.g_01549	Pras.g_00285
OG0000053	Syak.g_01068	Pras.g_00886, Pras.g_00370
OG0000054	Syak.g_02744	Pras.g_01482
OG0000055	Syak.g_00766	Pras.g_01682
OG0000057	Syak.g_00724	Pras.g_01574
OG0000058	Syak.g_01530	Pras.g_00291
OG0000059	Syak.g_01355	Pras.g_00637
OG0000061	Syak.g_00898	Pras.g_00056
OG0000063	Syak.g_01752	Pras.g_00875
OG0000065	Syak.g_02192, Syak.g_00282	Pras.g_00958
OG0000066	Syak.g_02653	Pras.g_01416
OG0000067	Syak.g_00434	Pras.g_01701, Pras.g_00311
OG0000068	Syak.g_02565	Pras.g_00250
OG0000070	Syak.g_01174	Pras.g_01328
OG0000071	Syak.g_00936	Pras.g_00209
