Orthogroup	Syak	Prbb
OG0000001	Syak.g_00342	Prbb.g_01611, Prbb.g_01883, Prbb.g_00474, Prbb.g_01915, Prbb.g_01157
OG0000004	Syak.g_01219, Syak.g_00720	Prbb.g_01450
OG0000004	Syak.g_00003, Syak.g_02297	Prbb.g_00288
OG0000005	Syak.g_02401	Prbb.g_01393
OG0000005	Syak.g_02436	Prbb.g_01766
OG0000006	Syak.g_00059, Syak.g_00061, Syak.g_01394, Syak.g_02315, Syak.g_02317	Prbb.g_00299, Prbb.g_01328, Prbb.g_01560
OG0000007	Syak.g_02595	Prbb.g_00501
OG0000007	Syak.g_02416	Prbb.g_01823
OG0000008	Syak.g_00267	Prbb.g_01884
OG0000008	Syak.g_00692	Prbb.g_01885
OG0000010	Syak.g_01119	Prbb.g_01072, Prbb.g_00477
OG0000011	Syak.g_02294	Prbb.g_01368
OG0000013	Syak.g_01275, Syak.g_01270	Prbb.g_00378
OG0000014	Syak.g_01505	Prbb.g_00357
OG0000015	Syak.g_00358	Prbb.g_01158
OG0000016	Syak.g_01780	Prbb.g_00014
OG0000016	Syak.g_00818	Prbb.g_01919
OG0000017	Syak.g_02730	Prbb.g_00605
OG0000018	Syak.g_01072	Prbb.g_01539, Prbb.g_00812
OG0000019	Syak.g_01413	Prbb.g_00761
OG0000021	Syak.g_00566	Prbb.g_01914
OG0000022	Syak.g_00088	Prbb.g_01231, Prbb.g_01258
OG0000023	Syak.g_00316, Syak.g_00223	Prbb.g_01411, Prbb.g_01373
OG0000025	Syak.g_00610	Prbb.g_00052, Prbb.g_00818
OG0000026	Syak.g_01757	Prbb.g_00032
OG0000027	Syak.g_00127	Prbb.g_01375
OG0000028	Syak.g_01522	Prbb.g_01635
OG0000029	Syak.g_00169, Syak.g_00178	Prbb.g_01800
OG0000030	Syak.g_01684, Syak.g_01685	Prbb.g_02073
OG0000031	Syak.g_01630	Prbb.g_00387
OG0000032	Syak.g_01092	Prbb.g_01723
OG0000033	Syak.g_02101	Prbb.g_00226
OG0000034	Syak.g_00950, Syak.g_02133	Prbb.g_01596
OG0000035	Syak.g_01041	Prbb.g_01686
OG0000037	Syak.g_02188	Prbb.g_00164
OG0000038	Syak.g_01938, Syak.g_01936	Prbb.g_02129
OG0000039	Syak.g_00772, Syak.g_01918	Prbb.g_00692
OG0000041	Syak.g_02354	Prbb.g_01868
OG0000042	Syak.g_00843, Syak.g_01681	Prbb.g_02069
OG0000043	Syak.g_00335	Prbb.g_00909
OG0000044	Syak.g_00153	Prbb.g_00079
OG0000045	Syak.g_00317	Prbb.g_01347
OG0000045	Syak.g_00228	Prbb.g_01094
OG0000046	Syak.g_01276, Syak.g_01269	Prbb.g_00379
OG0000047	Syak.g_01147	Prbb.g_00421, Prbb.g_00386
OG0000048	Syak.g_01446	Prbb.g_00325
OG0000050	Syak.g_00106	Prbb.g_01452
OG0000053	Syak.g_01068	Prbb.g_01705
OG0000054	Syak.g_02744	Prbb.g_00607
OG0000055	Syak.g_00766	Prbb.g_00747
OG0000057	Syak.g_00724	Prbb.g_00706, Prbb.g_01359
OG0000058	Syak.g_01530	Prbb.g_00851
OG0000059	Syak.g_01355	Prbb.g_01946
OG0000060	Syak.g_00844	Prbb.g_01153
OG0000061	Syak.g_00898	Prbb.g_01517, Prbb.g_00874
OG0000063	Syak.g_01752	Prbb.g_01921
OG0000065	Syak.g_02192, Syak.g_00282	Prbb.g_00162
OG0000066	Syak.g_02653	Prbb.g_00542
OG0000067	Syak.g_00434	Prbb.g_00783
OG0000068	Syak.g_02565	Prbb.g_01639
OG0000070	Syak.g_01174	Prbb.g_00455
