Orthogroup	Syak	Praz
OG0000001	Syak.g_00342	Praz.g_01154, Praz.g_01939, Praz.g_01940
OG0000004	Syak.g_01219, Syak.g_00720	Praz.g_01635
OG0000004	Syak.g_00003, Syak.g_02297	Praz.g_00592
OG0000005	Syak.g_02401	Praz.g_00864
OG0000005	Syak.g_00885, Syak.g_02436	Praz.g_00965
OG0000006	Syak.g_00059, Syak.g_00061, Syak.g_01394, Syak.g_02315, Syak.g_02317	Praz.g_00601
OG0000007	Syak.g_02595	Praz.g_01831
OG0000007	Syak.g_02416	Praz.g_00877
OG0000008	Syak.g_00267	Praz.g_01241
OG0000009	Syak.g_02194	Praz.g_00465
OG0000010	Syak.g_01119	Praz.g_00074, Praz.g_01854
OG0000012	Syak.g_00010	Praz.g_01707
OG0000013	Syak.g_01275, Syak.g_01270	Praz.g_00684
OG0000014	Syak.g_01505	Praz.g_00663
OG0000014	Syak.g_01582	Praz.g_01102
OG0000015	Syak.g_00358	Praz.g_01551
OG0000016	Syak.g_01780	Praz.g_00378
OG0000017	Syak.g_02730	Praz.g_01732
OG0000018	Syak.g_01072	Praz.g_00011, Praz.g_01485
OG0000019	Syak.g_01413	Praz.g_00609, Praz.g_01532
OG0000021	Syak.g_00566	Praz.g_00896, Praz.g_00810
OG0000022	Syak.g_00088	Praz.g_01556, Praz.g_00029
OG0000023	Syak.g_00316, Syak.g_00223	Praz.g_00814
OG0000025	Syak.g_00610	Praz.g_01477, Praz.g_00688
OG0000026	Syak.g_01757	Praz.g_00396, Praz.g_00081
OG0000027	Syak.g_00127	Praz.g_01858, Praz.g_01197
OG0000028	Syak.g_01522	Praz.g_00677, Praz.g_01246
OG0000029	Syak.g_00169, Syak.g_00178	Praz.g_00799, Praz.g_01564
OG0000030	Syak.g_01684, Syak.g_01685	Praz.g_00195
OG0000031	Syak.g_01630	Praz.g_01116
OG0000033	Syak.g_02101	Praz.g_00529
OG0000034	Syak.g_00950, Syak.g_02133	Praz.g_01170
OG0000035	Syak.g_01041	Praz.g_01041
OG0000037	Syak.g_02188	Praz.g_00469
OG0000038	Syak.g_01938, Syak.g_01936	Praz.g_00154
OG0000039	Syak.g_00772, Syak.g_01918	Praz.g_01644
OG0000042	Syak.g_00843, Syak.g_01681	Praz.g_00198
OG0000043	Syak.g_00335	Praz.g_01440
OG0000044	Syak.g_00153	Praz.g_00693
OG0000045	Syak.g_00228	Praz.g_00803
OG0000047	Syak.g_01147	Praz.g_01921, Praz.g_00687
OG0000048	Syak.g_01446	Praz.g_00800
OG0000050	Syak.g_00106	Praz.g_00769
OG0000052	Syak.g_01549	Praz.g_01103
OG0000053	Syak.g_01068	Praz.g_01021
OG0000054	Syak.g_02744	Praz.g_01724
OG0000055	Syak.g_00766	Praz.g_01531
OG0000057	Syak.g_00724	Praz.g_01632
OG0000058	Syak.g_01530	Praz.g_01096
OG0000059	Syak.g_01355	Praz.g_00311, Praz.g_01071
OG0000061	Syak.g_00898	Praz.g_00755
OG0000063	Syak.g_01752	Praz.g_00398
OG0000065	Syak.g_02192, Syak.g_00282	Praz.g_00467
OG0000066	Syak.g_02653	Praz.g_01789
OG0000067	Syak.g_00434	Praz.g_01512
OG0000068	Syak.g_02565	Praz.g_01139
OG0000070	Syak.g_01174	Praz.g_01878
OG0000071	Syak.g_00936	Praz.g_01180
OG0000072	Syak.g_02099	Praz.g_00531
OG0000073	Syak.g_02597	Praz.g_01829
OG0000075	Syak.g_01564	Praz.g_00230
OG0000076	Syak.g_01650	Praz.g_00205
OG0000077	Syak.g_02243	Praz.g_00438
