Orthogroup	Syak	Syal
OG0000001	Syak.g_00342	Syal.g_02193
OG0000001	Syak.g_02139	Syal.g_02215
OG0000001	Syak.g_02138	Syal.g_00874, Syal.g_01184
OG0000004	Syak.g_00720	Syal.g_01809
OG0000004	Syak.g_00003	Syal.g_02718
OG0000004	Syak.g_02297	Syal.g_00691
OG0000005	Syak.g_02401	Syal.g_00606
OG0000005	Syak.g_02436	Syal.g_00565
OG0000006	Syak.g_00059, Syak.g_00061, Syak.g_01394, Syak.g_02315, Syak.g_02317	Syal.g_00674
OG0000006	Syak.g_00057	Syal.g_02611
OG0000007	Syak.g_02595	Syal.g_02918
OG0000007	Syak.g_02416	Syal.g_00587
OG0000008	Syak.g_00267	Syal.g_02512
OG0000008	Syak.g_00692	Syal.g_01783
OG0000009	Syak.g_02194	Syal.g_00818
OG0000010	Syak.g_01119	Syal.g_00464
OG0000011	Syak.g_02294	Syal.g_00702
OG0000013	Syak.g_01275	Syal.g_00310
OG0000013	Syak.g_01270	Syal.g_00315
OG0000014	Syak.g_01505	Syal.g_01305
OG0000015	Syak.g_01813	Syal.g_02210, Syal.g_01183
OG0000016	Syak.g_01780	Syal.g_00111
OG0000016	Syak.g_00818	Syal.g_01734
OG0000017	Syak.g_02738	Syal.g_02745
OG0000017	Syak.g_02730	Syal.g_02752
OG0000018	Syak.g_01072	Syal.g_00410
OG0000019	Syak.g_01413	Syal.g_01209
OG0000022	Syak.g_00088	Syal.g_02587
OG0000023	Syak.g_00223	Syal.g_02485, Syal.g_02858, Syal.g_01894
OG0000025	Syak.g_00610	Syal.g_02459
OG0000026	Syak.g_01757	Syal.g_00132
OG0000027	Syak.g_00127	Syal.g_02543
OG0000028	Syak.g_01522	Syal.g_01319
OG0000029	Syak.g_00169, Syak.g_00178	Syal.g_03014
OG0000030	Syak.g_01684	Syal.g_01511
OG0000030	Syak.g_01685	Syal.g_01512
OG0000031	Syak.g_01630	Syal.g_01404, Syal.g_01432
OG0000032	Syak.g_01092	Syal.g_00428
OG0000032	Syak.g_01707	Syal.g_00183
OG0000033	Syak.g_02101	Syal.g_00912
OG0000034	Syak.g_00950, Syak.g_02133	Syal.g_00881, Syal.g_01586
OG0000035	Syak.g_01040	Syal.g_00020
OG0000035	Syak.g_01041	Syal.g_00370
OG0000037	Syak.g_02188	Syal.g_00601, Syal.g_00824
OG0000038	Syak.g_01938	Syal.g_01071
OG0000038	Syak.g_01936	Syal.g_01073
OG0000039	Syak.g_01918	Syal.g_01097
OG0000040	Syak.g_01852	Syal.g_01149
OG0000041	Syak.g_02354	Syal.g_00649
OG0000042	Syak.g_00843, Syak.g_01681	Syal.g_01705, Syal.g_01508
OG0000043	Syak.g_00335	Syal.g_02183
OG0000044	Syak.g_00153	Syal.g_01853
OG0000044	Syak.g_00767	Syal.g_01847
OG0000045	Syak.g_00317	Syal.g_01563
OG0000046	Syak.g_01269	Syal.g_00316
OG0000047	Syak.g_01147	Syal.g_01568
OG0000048	Syak.g_01446	Syal.g_01250
OG0000050	Syak.g_00106	Syal.g_01549
OG0000052	Syak.g_01549	Syal.g_01338
OG0000053	Syak.g_01068	Syal.g_00406
OG0000054	Syak.g_02744	Syal.g_02739
OG0000054	Syak.g_02321	Syal.g_02098
OG0000055	Syak.g_00766	Syal.g_01845
OG0000057	Syak.g_00724	Syal.g_01812
OG0000058	Syak.g_01530	Syal.g_01326
OG0000059	Syak.g_01355	Syal.g_00225
OG0000060	Syak.g_01138	Syal.g_00480
OG0000060	Syak.g_02572	Syal.g_02895
OG0000060	Syak.g_00844	Syal.g_02214
OG0000061	Syak.g_00898	Syal.g_01653
OG0000062	Syak.g_02434	Syal.g_00567
OG0000063	Syak.g_01752	Syal.g_00136
OG0000064	Syak.g_00254, Syak.g_00126	Syal.g_02544
OG0000064	Syak.g_00164	Syal.g_01681
OG0000064	Syak.g_00983	Syal.g_01545
OG0000065	Syak.g_02192	Syal.g_00820
OG0000065	Syak.g_00282	Syal.g_02528
OG0000066	Syak.g_02653	Syal.g_02828
OG0000067	Syak.g_00434	Syal.g_02414
OG0000068	Syak.g_02565	Syal.g_02888
OG0000070	Syak.g_01174	Syal.g_00509
OG0000071	Syak.g_00936	Syal.g_01601
OG0000071	Syak.g_02322	Syal.g_02099
OG0000072	Syak.g_02099	Syal.g_00914
OG0000073	Syak.g_02597	Syal.g_02920
OG0000075	Syak.g_01564	Syal.g_01350
OG0000076	Syak.g_01650	Syal.g_01459
OG0000077	Syak.g_02243	Syal.g_00763
OG0000078	Syak.g_02310	Syal.g_00680
OG0000079	Syak.g_01417	Syal.g_01213
OG0000080	Syak.g_01612, Syak.g_01585, Syak.g_01583	Syal.g_01394
OG0000081	Syak.g_00115	Syal.g_02555
OG0000082	Syak.g_02711	Syal.g_02769
OG0000084	Syak.g_01036	Syal.g_00023
OG0000085	Syak.g_02427	Syal.g_00575
OG0000086	Syak.g_02219	Syal.g_00784
OG0000087	Syak.g_02141	Syal.g_00871
OG0000088	Syak.g_02106	Syal.g_00908
OG0000089	Syak.g_01215	Syal.g_00555
OG0000090	Syak.g_02640	Syal.g_02838
OG0000091	Syak.g_00043	Syal.g_02628
OG0000092	Syak.g_01126	Syal.g_00470
OG0000093	Syak.g_00416	Syal.g_02233
OG0000094	Syak.g_00656	Syal.g_01907
OG0000095	Syak.g_00736	Syal.g_01823
OG0000097	Syak.g_00816	Syal.g_01735
OG0000098	Syak.g_00345	Syal.g_02196
OG0000099	Syak.g_01527	Syal.g_01323
OG0000100	Syak.g_00622	Syal.g_02448
OG0000101	Syak.g_01305	Syal.g_00275
OG0000102	Syak.g_01661	Syal.g_01488
OG0000103	Syak.g_01812	Syal.g_00077
OG0000104	Syak.g_01799	Syal.g_00092
OG0000105	Syak.g_01451	Syal.g_01255
OG0000106	Syak.g_00096	Syal.g_02577
OG0000107	Syak.g_01392	Syal.g_00194
OG0000108	Syak.g_02574	Syal.g_02897
OG0000109	Syak.g_02590, Syak.g_01061	Syal.g_02913
OG0000110	Syak.g_02698	Syal.g_02782
OG0000111	Syak.g_00725	Syal.g_01813
OG0000112	Syak.g_00512	Syal.g_02000
OG0000113	Syak.g_00461	Syal.g_02443
OG0000114	Syak.g_00373	Syal.g_02286
OG0000115	Syak.g_01066	Syal.g_00404
OG0000116	Syak.g_00911	Syal.g_01630
OG0000117	Syak.g_00846	Syal.g_01704
OG0000118	Syak.g_00954	Syal.g_01583
OG0000119	Syak.g_00917	Syal.g_02056
OG0000120	Syak.g_01526	Syal.g_01324
OG0000121	Syak.g_01044	Syal.g_00374
OG0000122	Syak.g_00081	Syal.g_02602
OG0000123	Syak.g_01299	Syal.g_00283
OG0000124	Syak.g_01692	Syal.g_01519
OG0000125	Syak.g_01934	Syal.g_01075
OG0000126	Syak.g_01801	Syal.g_00090
OG0000127	Syak.g_02269	Syal.g_00720
OG0000128	Syak.g_01782	Syal.g_00109
OG0000129	Syak.g_01947	Syal.g_01062
OG0000130	Syak.g_02255	Syal.g_00751
OG0000131	Syak.g_02128	Syal.g_00886
OG0000132	Syak.g_02108	Syal.g_00906
OG0000133	Syak.g_00507	Syal.g_01995
OG0000134	Syak.g_01212	Syal.g_00552
OG0000135	Syak.g_01897	Syal.g_01119
OG0000136	Syak.g_01186	Syal.g_00520
OG0000137	Syak.g_01118	Syal.g_00463
OG0000138	Syak.g_02591	Syal.g_02914
OG0000139	Syak.g_02646	Syal.g_02832
OG0000140	Syak.g_02650	Syal.g_02830
OG0000141	Syak.g_02746	Syal.g_02738
OG0000142	Syak.g_00035	Syal.g_02636
OG0000143	Syak.g_00039	Syal.g_02632
OG0000144	Syak.g_00260	Syal.g_02515
OG0000145	Syak.g_02598	Syal.g_02921
OG0000146	Syak.g_00514	Syal.g_02001
OG0000147	Syak.g_00515	Syal.g_02002
OG0000148	Syak.g_00455	Syal.g_02437
OG0000149	Syak.g_00596	Syal.g_02475
OG0000150	Syak.g_02747	Syal.g_02737
OG0000151	Syak.g_00387	Syal.g_02263
OG0000152	Syak.g_00503	Syal.g_01991
OG0000153	Syak.g_00470	Syal.g_01958
