Orthogroup	Syak	Syaq
OG0000001	Syak.g_02139	Syaq.g_01436, Syaq.g_00118, Syaq.g_01435, Syaq.g_00115
OG0000001	Syak.g_02138	Syaq.g_01434
OG0000001	Syak.g_00275	Syaq.g_02178
OG0000001	Syak.g_00579	Syaq.g_02413
OG0000004	Syak.g_01219, Syak.g_00720	Syaq.g_02603
OG0000004	Syak.g_00003	Syaq.g_02042
OG0000004	Syak.g_02297	Syaq.g_01567
OG0000005	Syak.g_02401	Syaq.g_01658
OG0000005	Syak.g_02436	Syaq.g_01692
OG0000006	Syak.g_00059, Syak.g_00061, Syak.g_01394, Syak.g_02315, Syak.g_02317	Syaq.g_00696, Syaq.g_01590
OG0000006	Syak.g_00057	Syaq.g_02108
OG0000007	Syak.g_02595	Syaq.g_01793
OG0000007	Syak.g_02416	Syaq.g_01673
OG0000008	Syak.g_00267	Syaq.g_02162
OG0000008	Syak.g_00692	Syaq.g_02575
OG0000009	Syak.g_02194	Syaq.g_01489
OG0000010	Syak.g_01119	Syaq.g_00443
OG0000011	Syak.g_02294, Syak.g_00960	Syaq.g_01038
OG0000012	Syak.g_00010	Syaq.g_02059
OG0000013	Syak.g_01275, Syak.g_01270	Syaq.g_00569, Syaq.g_00572, Syaq.g_02023
OG0000014	Syak.g_01505	Syaq.g_00862
OG0000015	Syak.g_01813	Syaq.g_00121, Syaq.g_01171
OG0000015	Syak.g_00358	Syaq.g_02255
OG0000016	Syak.g_01780	Syaq.g_01136
OG0000016	Syak.g_00818	Syaq.g_00169
OG0000017	Syak.g_02738	Syaq.g_01999
OG0000017	Syak.g_02730	Syaq.g_01992
OG0000018	Syak.g_01072	Syaq.g_00401
OG0000019	Syak.g_01413	Syaq.g_00717
OG0000022	Syak.g_00088	Syaq.g_02126
OG0000023	Syak.g_00316, Syak.g_00223	Syaq.g_02540
OG0000025	Syak.g_00610	Syaq.g_02381
OG0000026	Syak.g_01757	Syaq.g_01114
OG0000028	Syak.g_01522	Syaq.g_00878
OG0000030	Syak.g_01684	Syaq.g_01047
