Orthogroup	Syak	Prbl
OG0000001	Syak.g_00342	Prbl.g_00725, Prbl.g_00121, Prbl.g_02599
OG0000001	Syak.g_02138	Prbl.g_00808, Prbl.g_02598
OG0000004	Syak.g_01219, Syak.g_00720	Prbl.g_00021
OG0000004	Syak.g_00003, Syak.g_02297	Prbl.g_01771
OG0000005	Syak.g_00885, Syak.g_02436	Prbl.g_00419
OG0000006	Syak.g_00059, Syak.g_00061, Syak.g_01394, Syak.g_02315, Syak.g_02317	Prbl.g_02601
OG0000007	Syak.g_02595	Prbl.g_00531
OG0000007	Syak.g_02416	Prbl.g_00394
OG0000008	Syak.g_00267	Prbl.g_01855
OG0000008	Syak.g_00692	Prbl.g_01854
OG0000009	Syak.g_02194	Prbl.g_00155, Prbl.g_00554
OG0000010	Syak.g_01119	Prbl.g_01341
OG0000012	Syak.g_00010	Prbl.g_01618
OG0000013	Syak.g_01275, Syak.g_01270	Prbl.g_01183
OG0000014	Syak.g_01505	Prbl.g_01416
OG0000015	Syak.g_00358	Prbl.g_01566
OG0000017	Syak.g_02738	Prbl.g_01755
OG0000017	Syak.g_02730	Prbl.g_01763
OG0000018	Syak.g_01072	Prbl.g_00694
OG0000019	Syak.g_01413	Prbl.g_01097
OG0000021	Syak.g_00566	Prbl.g_01531
OG0000022	Syak.g_00088	Prbl.g_01310, Prbl.g_01072
OG0000023	Syak.g_00316, Syak.g_00223	Prbl.g_02355
OG0000025	Syak.g_00610	Prbl.g_01539
OG0000026	Syak.g_01757	Prbl.g_01977
OG0000028	Syak.g_01522	Prbl.g_00900
OG0000029	Syak.g_00169, Syak.g_00178	Prbl.g_01163
OG0000030	Syak.g_01684	Prbl.g_02061
OG0000030	Syak.g_01685	Prbl.g_02060
OG0000031	Syak.g_01630	Prbl.g_00830, Prbl.g_00835
OG0000032	Syak.g_01092	Prbl.g_00712
OG0000032	Syak.g_01707	Prbl.g_00889
OG0000033	Syak.g_02101	Prbl.g_00278
OG0000034	Syak.g_00950, Syak.g_02133	Prbl.g_01734
OG0000035	Syak.g_01040, Syak.g_01041	Prbl.g_00242
OG0000037	Syak.g_02188	Prbl.g_00548
OG0000038	Syak.g_01938	Prbl.g_02235
OG0000038	Syak.g_01936	Prbl.g_02233
OG0000039	Syak.g_01918	Prbl.g_01272
OG0000041	Syak.g_02354	Prbl.g_00339
OG0000042	Syak.g_00843, Syak.g_01681	Prbl.g_01236, Prbl.g_01121
OG0000045	Syak.g_00317, Syak.g_00228	Prbl.g_00609
OG0000046	Syak.g_01276, Syak.g_01269	Prbl.g_01184
OG0000047	Syak.g_01147	Prbl.g_01574, Prbl.g_00719
OG0000048	Syak.g_01446	Prbl.g_01465
OG0000052	Syak.g_01549	Prbl.g_00870
OG0000053	Syak.g_01068	Prbl.g_00691
OG0000054	Syak.g_02744	Prbl.g_01752
OG0000057	Syak.g_00724	Prbl.g_00025
OG0000059	Syak.g_01355	Prbl.g_00836
OG0000060	Syak.g_02572	Prbl.g_00508
OG0000061	Syak.g_00898	Prbl.g_02084
OG0000062	Syak.g_02434	Prbl.g_00417
OG0000063	Syak.g_01752	Prbl.g_01981
OG0000065	Syak.g_02192, Syak.g_00282	Prbl.g_00552
OG0000066	Syak.g_02653	Prbl.g_00752
OG0000067	Syak.g_00434	Prbl.g_02335
OG0000068	Syak.g_02565	Prbl.g_00502
OG0000070	Syak.g_01174	Prbl.g_00634
OG0000071	Syak.g_00936	Prbl.g_01722
OG0000072	Syak.g_02099	Prbl.g_00276
OG0000073	Syak.g_02597	Prbl.g_00533
OG0000075	Syak.g_01564	Prbl.g_00855
OG0000076	Syak.g_01650	Prbl.g_01285
OG0000077	Syak.g_02243	Prbl.g_00596
OG0000078	Syak.g_02310	Prbl.g_00193
OG0000079	Syak.g_01417	Prbl.g_01505
OG0000081	Syak.g_00115	Prbl.g_01036, Prbl.g_00032
OG0000082	Syak.g_02711	Prbl.g_01783
OG0000084	Syak.g_01036	Prbl.g_00246
OG0000085	Syak.g_02427	Prbl.g_00405
OG0000086	Syak.g_02219	Prbl.g_00583
OG0000087	Syak.g_02141	Prbl.g_00810
OG0000088	Syak.g_02106	Prbl.g_01838, Prbl.g_00281
OG0000089	Syak.g_01215	Prbl.g_02674
OG0000090	Syak.g_02640	Prbl.g_00766
OG0000091	Syak.g_00043	Prbl.g_01647
OG0000093	Syak.g_00416	Prbl.g_02359
OG0000095	Syak.g_00736	Prbl.g_00927
OG0000097	Syak.g_00816	Prbl.g_02579
OG0000098	Syak.g_00345	Prbl.g_00722
OG0000099	Syak.g_01527	Prbl.g_00893
OG0000100	Syak.g_00622	Prbl.g_01914, Prbl.g_02305
OG0000101	Syak.g_01305	Prbl.g_01000
OG0000102	Syak.g_01661	Prbl.g_02636
OG0000103	Syak.g_01812	Prbl.g_02139
OG0000104	Syak.g_01799	Prbl.g_02125
OG0000105	Syak.g_01451	Prbl.g_01461
OG0000106	Syak.g_00096	Prbl.g_00411
OG0000107	Syak.g_01392	Prbl.g_02681
OG0000108	Syak.g_02574	Prbl.g_00511
OG0000109	Syak.g_02590, Syak.g_01061	Prbl.g_00527
OG0000110	Syak.g_02698	Prbl.g_01795
OG0000111	Syak.g_00725	Prbl.g_00026
