Orthogroup	Syak	Syab
OG0000001	Syak.g_00342	Syab.g_01549
OG0000001	Syak.g_02138	Syab.g_02553, Syab.g_02555
OG0000001	Syak.g_00275, Syak.g_00579	Syab.g_01509, Syab.g_01510
OG0000004	Syak.g_01219	Syab.g_00549
OG0000004	Syak.g_00720	Syab.g_01193
OG0000004	Syak.g_00003	Syab.g_01911
OG0000004	Syak.g_02297	Syab.g_02377
OG0000005	Syak.g_02401	Syab.g_02289
OG0000005	Syak.g_02436	Syab.g_02232
OG0000006	Syak.g_00059, Syak.g_00061, Syak.g_01394, Syak.g_02315, Syak.g_02317	Syab.g_00365, Syab.g_01847, Syab.g_02361
OG0000006	Syak.g_00057	Syab.g_01849
OG0000007	Syak.g_02595	Syab.g_02117
OG0000007	Syak.g_02416	Syab.g_02256
OG0000008	Syak.g_00267	Syab.g_01755
OG0000008	Syak.g_00692	Syab.g_01168
OG0000009	Syak.g_02194	Syab.g_02498
OG0000010	Syak.g_01119	Syab.g_00696
OG0000013	Syak.g_01275	Syab.g_00482
OG0000013	Syak.g_01270	Syab.g_00487
OG0000014	Syak.g_01505	Syab.g_00249
OG0000014	Syak.g_01582	Syab.g_00178
OG0000015	Syak.g_01813	Syab.g_02889
OG0000016	Syak.g_01780	Syab.g_00014
OG0000016	Syak.g_00818	Syab.g_01049
OG0000017	Syak.g_02738	Syab.g_01945
OG0000017	Syak.g_02730	Syab.g_01953
OG0000018	Syak.g_01072	Syab.g_00742
OG0000019	Syak.g_01413	Syab.g_00344
OG0000022	Syak.g_00088	Syab.g_01825
OG0000023	Syak.g_00316	Syab.g_00708
OG0000023	Syak.g_00223	Syab.g_02058, Syab.g_01294
OG0000025	Syak.g_00610	Syab.g_01705
OG0000026	Syak.g_01757	Syab.g_00036
OG0000027	Syak.g_00127	Syab.g_01782
OG0000028	Syak.g_01522	Syab.g_00234
OG0000030	Syak.g_01684	Syab.g_00096
OG0000030	Syak.g_01685	Syab.g_00095
OG0000031	Syak.g_01630	Syab.g_00160
OG0000032	Syak.g_01092	Syab.g_00724
OG0000032	Syak.g_01707	Syab.g_00149
OG0000033	Syak.g_02101	Syab.g_02590
OG0000034	Syak.g_00950, Syak.g_02133	Syab.g_00900, Syab.g_02560
OG0000035	Syak.g_01040	Syab.g_00778
OG0000035	Syak.g_01041	Syab.g_00776
OG0000036	Syak.g_02275	Syab.g_00846
OG0000037	Syak.g_02188	Syab.g_02060, Syab.g_01241, Syab.g_02280, Syab.g_02205, Syab.g_02504
OG0000038	Syak.g_01938	Syab.g_02759
OG0000038	Syak.g_01936	Syab.g_02761
OG0000039	Syak.g_01918	Syab.g_02791
OG0000040	Syak.g_01852	Syab.g_02853
OG0000041	Syak.g_02354	Syab.g_02333
OG0000041	Syak.g_00752	Syab.g_01086, Syab.g_02804
OG0000042	Syak.g_00843, Syak.g_01681	Syab.g_01019, Syab.g_00099
OG0000043	Syak.g_00335	Syab.g_01539
OG0000044	Syak.g_00153	Syab.g_01097, Syab.g_01262
OG0000044	Syak.g_00767	Syab.g_01256
OG0000045	Syak.g_00317	Syab.g_00871
OG0000045	Syak.g_00228	Syab.g_01787
OG0000046	Syak.g_01269	Syab.g_00488
OG0000047	Syak.g_01147	Syab.g_00876
OG0000048	Syak.g_01446	Syab.g_00308
OG0000052	Syak.g_01549	Syab.g_00214
OG0000053	Syak.g_01068	Syab.g_00746
OG0000054	Syak.g_02744	Syab.g_01932
OG0000055	Syak.g_00766	Syab.g_01255
OG0000057	Syak.g_00724	Syab.g_01200
OG0000058	Syak.g_01530	Syab.g_00227
OG0000059	Syak.g_01355	Syab.g_00397
OG0000060	Syak.g_01138	Syab.g_00662
OG0000060	Syak.g_02572	Syab.g_02094
OG0000061	Syak.g_00898	Syab.g_00969
OG0000062	Syak.g_02434	Syab.g_02234
OG0000063	Syak.g_01752	Syab.g_00040
OG0000064	Syak.g_00254, Syak.g_00126	Syab.g_01783
OG0000064	Syak.g_00164	Syab.g_00997
OG0000064	Syak.g_00983	Syab.g_00824
OG0000065	Syak.g_02192	Syab.g_02500
OG0000065	Syak.g_00282	Syab.g_01768
OG0000066	Syak.g_02653	Syab.g_02031
OG0000067	Syak.g_00434	Syab.g_01659
OG0000068	Syak.g_02565	Syab.g_02087
OG0000070	Syak.g_01174	Syab.g_00614
OG0000071	Syak.g_00936	Syab.g_00915
OG0000072	Syak.g_02099	Syab.g_02593
OG0000073	Syak.g_02597	Syab.g_02119
OG0000075	Syak.g_01564	Syab.g_00202
OG0000076	Syak.g_01650	Syab.g_00113
OG0000077	Syak.g_02243	Syab.g_02446
OG0000078	Syak.g_02310	Syab.g_02366
OG0000079	Syak.g_01417	Syab.g_00340
OG0000080	Syak.g_01612	Syab.g_00140
OG0000081	Syak.g_00115	Syab.g_01793
OG0000082	Syak.g_02711	Syab.g_01971
OG0000084	Syak.g_01036	Syab.g_00781
OG0000085	Syak.g_02427	Syab.g_02243
OG0000086	Syak.g_02219	Syab.g_02468
