Orthogroup	Syak	Pray
OG0000001	Syak.g_00342	Pray.g_01844, Pray.g_00247, Pray.g_00246
OG0000004	Syak.g_01219, Syak.g_00720	Pray.g_01068
OG0000004	Syak.g_00003, Syak.g_02297	Pray.g_00713
OG0000005	Syak.g_02401	Pray.g_01546
OG0000005	Syak.g_00885, Syak.g_02436	Pray.g_01646
OG0000006	Syak.g_00059, Syak.g_00061, Syak.g_01394, Syak.g_02315, Syak.g_02317	Pray.g_00722
OG0000007	Syak.g_02595	Pray.g_00988, Pray.g_00987
OG0000007	Syak.g_02416	Pray.g_01559
OG0000008	Syak.g_00267	Pray.g_01931
OG0000009	Syak.g_02194	Pray.g_00184
OG0000010	Syak.g_01119	Pray.g_00592, Pray.g_00964
OG0000012	Syak.g_00010	Pray.g_01140
OG0000013	Syak.g_01275, Syak.g_01270	Pray.g_00805
OG0000014	Syak.g_01505	Pray.g_00784
OG0000014	Syak.g_01582	Pray.g_01792
OG0000015	Syak.g_00358	Pray.g_00309
OG0000016	Syak.g_01780	Pray.g_01475
OG0000017	Syak.g_02730	Pray.g_01165
OG0000018	Syak.g_01072	Pray.g_00083, Pray.g_00375
OG0000019	Syak.g_01413	Pray.g_00730, Pray.g_00328
OG0000021	Syak.g_00566	Pray.g_01578, Pray.g_00842
OG0000022	Syak.g_00088	Pray.g_00304, Pray.g_00101
OG0000023	Syak.g_00316, Syak.g_00223	Pray.g_00838
OG0000025	Syak.g_00610	Pray.g_00383, Pray.g_00809
OG0000026	Syak.g_01757	Pray.g_01493, Pray.g_00599
OG0000027	Syak.g_00127	Pray.g_00960, Pray.g_01887
OG0000028	Syak.g_01522	Pray.g_00798, Pray.g_01935
OG0000029	Syak.g_00169, Syak.g_00178	Pray.g_00853, Pray.g_00296
OG0000030	Syak.g_01684, Syak.g_01685	Pray.g_01374
OG0000031	Syak.g_01630	Pray.g_01806
OG0000033	Syak.g_02101	Pray.g_00650
