Orthogroup	Syak	Prbk
OG0000001	Syak.g_00342	Prbk.g_01196, Prbk.g_00170
OG0000001	Syak.g_02138	Prbk.g_00561, Prbk.g_02701
OG0000004	Syak.g_01219, Syak.g_00720	Prbk.g_01760
OG0000004	Syak.g_00003, Syak.g_02297	Prbk.g_01134
OG0000005	Syak.g_00885, Syak.g_02436	Prbk.g_00933
OG0000006	Syak.g_00059, Syak.g_00061, Syak.g_01394, Syak.g_02315, Syak.g_02317	Prbk.g_02695
OG0000007	Syak.g_02416	Prbk.g_00907
OG0000008	Syak.g_00267	Prbk.g_01819
OG0000008	Syak.g_00692	Prbk.g_01820
OG0000009	Syak.g_02194	Prbk.g_01932, Prbk.g_00013
OG0000010	Syak.g_01119	Prbk.g_02112
OG0000012	Syak.g_00010	Prbk.g_02610
OG0000013	Syak.g_01275, Syak.g_01270	Prbk.g_00853
OG0000014	Syak.g_01505	Prbk.g_00454
OG0000015	Syak.g_00358	Prbk.g_02558
OG0000017	Syak.g_02738	Prbk.g_01150
OG0000017	Syak.g_02730	Prbk.g_01142
OG0000018	Syak.g_01072	Prbk.g_01227
OG0000019	Syak.g_01413	Prbk.g_01644
OG0000021	Syak.g_00566	Prbk.g_01960
OG0000022	Syak.g_00088	Prbk.g_00212, Prbk.g_01667
OG0000023	Syak.g_00316, Syak.g_00223	Prbk.g_02448
OG0000025	Syak.g_00610	Prbk.g_02531
OG0000026	Syak.g_01757	Prbk.g_01617
OG0000028	Syak.g_01522	Prbk.g_00469
OG0000029	Syak.g_00169, Syak.g_00178	Prbk.g_00833
OG0000030	Syak.g_01684	Prbk.g_01532
OG0000030	Syak.g_01685	Prbk.g_01533
OG0000031	Syak.g_01630	Prbk.g_00539, Prbk.g_00534
OG0000032	Syak.g_01092	Prbk.g_01209
OG0000032	Syak.g_01707	Prbk.g_00480
OG0000033	Syak.g_02101	Prbk.g_00776
OG0000034	Syak.g_00950, Syak.g_02133	Prbk.g_01171
OG0000035	Syak.g_01040, Syak.g_01041	Prbk.g_00259
OG0000037	Syak.g_02188	Prbk.g_00007
OG0000038	Syak.g_01938	Prbk.g_02164
OG0000038	Syak.g_01936	Prbk.g_02166
OG0000039	Syak.g_01918	Prbk.g_00642
OG0000041	Syak.g_02354	Prbk.g_01406
OG0000042	Syak.g_00843, Syak.g_01681	Prbk.g_01495, Prbk.g_00140
OG0000045	Syak.g_00317, Syak.g_00228	Prbk.g_01321
OG0000046	Syak.g_01276, Syak.g_01269	Prbk.g_00854
OG0000047	Syak.g_01147	Prbk.g_02565, Prbk.g_01202
OG0000048	Syak.g_01446	Prbk.g_00405
OG0000052	Syak.g_01549	Prbk.g_00499
OG0000053	Syak.g_01068	Prbk.g_01230
OG0000054	Syak.g_02744	Prbk.g_01153
OG0000057	Syak.g_00724	Prbk.g_01765
OG0000059	Syak.g_01355	Prbk.g_00533
OG0000060	Syak.g_02572	Prbk.g_02058
OG0000061	Syak.g_00898	Prbk.g_01019
OG0000062	Syak.g_02434	Prbk.g_00931
OG0000063	Syak.g_01752	Prbk.g_01613
OG0000065	Syak.g_02192, Syak.g_00282	Prbk.g_00011
OG0000066	Syak.g_02653	Prbk.g_01094
OG0000067	Syak.g_00434	Prbk.g_02468
OG0000068	Syak.g_02565	Prbk.g_02052
OG0000070	Syak.g_01174	Prbk.g_00310
OG0000071	Syak.g_00936	Prbk.g_01183
OG0000072	Syak.g_02099	Prbk.g_00778
OG0000073	Syak.g_02597	Prbk.g_01862
OG0000075	Syak.g_01564	Prbk.g_00514
OG0000076	Syak.g_01650	Prbk.g_00237
OG0000077	Syak.g_02243	Prbk.g_01308
OG0000078	Syak.g_02310	Prbk.g_01515
OG0000079	Syak.g_01417	Prbk.g_01000
OG0000081	Syak.g_00115	Prbk.g_00733, Prbk.g_01772
OG0000082	Syak.g_02711	Prbk.g_01122
