Orthogroup	Syak	Prag
OG0000001	Syak.g_00342	Prag.g_01374, Prag.g_01654, Prag.g_00764, Prag.g_01216, Prag.g_01215, Prag.g_01651
OG0000004	Syak.g_01219, Syak.g_00720	Prag.g_00673
OG0000004	Syak.g_00003, Syak.g_02297	Prag.g_00225
OG0000005	Syak.g_02401	Prag.g_01682
OG0000005	Syak.g_00885, Syak.g_02436	Prag.g_01566
OG0000006	Syak.g_00059, Syak.g_00061, Syak.g_01394, Syak.g_02315, Syak.g_02317	Prag.g_00234, Prag.g_01231
OG0000007	Syak.g_02595	Prag.g_00476
OG0000007	Syak.g_02416	Prag.g_01669
OG0000008	Syak.g_00267	Prag.g_01655
OG0000008	Syak.g_00692	Prag.g_01656
OG0000009	Syak.g_02194	Prag.g_00098
OG0000010	Syak.g_01119	Prag.g_01043, Prag.g_00453
OG0000012	Syak.g_00010	Prag.g_00601
OG0000013	Syak.g_01275, Syak.g_01270	Prag.g_00318
OG0000014	Syak.g_01505	Prag.g_00297
OG0000015	Syak.g_00358	Prag.g_00765
OG0000016	Syak.g_01780	Prag.g_00013
OG0000017	Syak.g_02730	Prag.g_00576
OG0000018	Syak.g_01072	Prag.g_01134, Prag.g_00833
OG0000019	Syak.g_01413	Prag.g_00242, Prag.g_00786
OG0000021	Syak.g_00566	Prag.g_01633, Prag.g_00359
OG0000022	Syak.g_00088	Prag.g_00757, Prag.g_01116
OG0000023	Syak.g_00316, Syak.g_00223	Prag.g_00354
OG0000025	Syak.g_00610	Prag.g_00839, Prag.g_00322
OG0000026	Syak.g_01757	Prag.g_00031, Prag.g_01050
OG0000027	Syak.g_00127	Prag.g_00449, Prag.g_01646, Prag.g_01336
OG0000028	Syak.g_01522	Prag.g_00311, Prag.g_01270
OG0000029	Syak.g_00169, Syak.g_00178	Prag.g_00748
OG0000030	Syak.g_01684, Syak.g_01685	Prag.g_01871
OG0000031	Syak.g_01630	Prag.g_01446
OG0000032	Syak.g_01707	Prag.g_01416
OG0000033	Syak.g_02101	Prag.g_00162
OG0000034	Syak.g_00950, Syak.g_02133	Prag.g_01365
OG0000035	Syak.g_01041	Prag.g_01490, Prag.g_01488
OG0000037	Syak.g_02188	Prag.g_00102
OG0000038	Syak.g_01938, Syak.g_01936	Prag.g_01911
OG0000039	Syak.g_00772, Syak.g_01918	Prag.g_00664
OG0000041	Syak.g_02354	Prag.g_01716
OG0000042	Syak.g_00843, Syak.g_01681	Prag.g_01868
OG0000043	Syak.g_00335	Prag.g_00876
OG0000045	Syak.g_00228	Prag.g_00365
OG0000047	Syak.g_01147	Prag.g_00321
OG0000048	Syak.g_01446	Prag.g_01658, Prag.g_00368
OG0000052	Syak.g_01549	Prag.g_01444
OG0000053	Syak.g_01068	Prag.g_01510
OG0000054	Syak.g_02744	Prag.g_00584
OG0000055	Syak.g_00766	Prag.g_00787
OG0000057	Syak.g_00724	Prag.g_00676
OG0000058	Syak.g_01530	Prag.g_01428
OG0000059	Syak.g_01355	Prag.g_01755
OG0000060	Syak.g_00844	Prag.g_00760
OG0000061	Syak.g_00898	Prag.g_01153
OG0000063	Syak.g_01752	Prag.g_00033
OG0000065	Syak.g_02192, Syak.g_00282	Prag.g_00100
OG0000066	Syak.g_02653	Prag.g_00518
OG0000067	Syak.g_00434	Prag.g_00806
OG0000068	Syak.g_02565	Prag.g_01389
OG0000070	Syak.g_01174	Prag.g_00429
OG0000071	Syak.g_00936	Prag.g_01355
OG0000072	Syak.g_02099	Prag.g_00164
OG0000073	Syak.g_02597	Prag.g_00478
OG0000075	Syak.g_01564	Prag.g_01836
OG0000076	Syak.g_01650	Prag.g_01861
OG0000077	Syak.g_02243	Prag.g_00072
OG0000078	Syak.g_02310	Prag.g_00232
OG0000081	Syak.g_00115	Prag.g_00510
OG0000082	Syak.g_02711	Prag.g_00563
OG0000084	Syak.g_01036	Prag.g_01484
