Orthogroup	Syak	Prar
OG0000001	Syak.g_00342	Prar.g_00926, Prar.g_01202, Prar.g_01203
OG0000004	Syak.g_01219, Syak.g_00720	Prar.g_01525
OG0000004	Syak.g_00003, Syak.g_02297	Prar.g_00095
OG0000005	Syak.g_02401	Prar.g_01130
OG0000005	Syak.g_00885, Syak.g_02436	Prar.g_00771
OG0000006	Syak.g_00059, Syak.g_00061, Syak.g_01394, Syak.g_02315, Syak.g_02317	Prar.g_00086
OG0000007	Syak.g_02595	Prar.g_01328
OG0000007	Syak.g_02416	Prar.g_01143
OG0000008	Syak.g_00267	Prar.g_01185
OG0000009	Syak.g_02194	Prar.g_00223
OG0000010	Syak.g_01119	Prar.g_01567, Prar.g_01912, Prar.g_00524
OG0000012	Syak.g_00010	Prar.g_01453
OG0000013	Syak.g_01275, Syak.g_01270	Prar.g_00260
OG0000014	Syak.g_01505	Prar.g_00281
OG0000015	Syak.g_00358	Prar.g_01179
OG0000016	Syak.g_01780	Prar.g_00025
OG0000017	Syak.g_02730	Prar.g_01428
OG0000018	Syak.g_01072	Prar.g_01282, Prar.g_01711
OG0000019	Syak.g_01413	Prar.g_00078, Prar.g_01663
OG0000021	Syak.g_00566	Prar.g_00425
OG0000022	Syak.g_00088	Prar.g_01649, Prar.g_01300
OG0000023	Syak.g_00316, Syak.g_00223	Prar.g_00420
OG0000025	Syak.g_00610	Prar.g_01718, Prar.g_00256
OG0000026	Syak.g_01757	Prar.g_00007, Prar.g_01919
OG0000027	Syak.g_00127	Prar.g_00520
OG0000028	Syak.g_01522	Prar.g_00267, Prar.g_00985
OG0000029	Syak.g_00169, Syak.g_00178	Prar.g_00436
OG0000030	Syak.g_01684, Syak.g_01685	Prar.g_00662
OG0000031	Syak.g_01630	Prar.g_00879
OG0000032	Syak.g_01707	Prar.g_00886
OG0000033	Syak.g_02101	Prar.g_00158
OG0000034	Syak.g_00950, Syak.g_02133	Prar.g_00945
OG0000035	Syak.g_01041	Prar.g_00339
OG0000037	Syak.g_02188	Prar.g_00219
OG0000038	Syak.g_01938, Syak.g_01936	Prar.g_00702
OG0000039	Syak.g_00772, Syak.g_01918	Prar.g_01516
OG0000041	Syak.g_02354	Prar.g_00602
OG0000042	Syak.g_00843, Syak.g_01681	Prar.g_00660
OG0000043	Syak.g_00335	Prar.g_01755
OG0000044	Syak.g_00153	Prar.g_01172
OG0000045	Syak.g_00317	Prar.g_01583
OG0000045	Syak.g_00228	Prar.g_00432
OG0000047	Syak.g_01147	Prar.g_00468, Prar.g_00257
OG0000048	Syak.g_01446	Prar.g_00435
OG0000053	Syak.g_01068	Prar.g_00589, Prar.g_00827
OG0000054	Syak.g_02744	Prar.g_01436
OG0000055	Syak.g_00766	Prar.g_01664
OG0000057	Syak.g_00724	Prar.g_01528
OG0000058	Syak.g_01530	Prar.g_00870, Prar.g_00362
OG0000059	Syak.g_01355	Prar.g_01090
OG0000061	Syak.g_00898	Prar.g_01263
OG0000063	Syak.g_01752	Prar.g_00004, Prar.g_00005, Prar.g_01189
OG0000065	Syak.g_02192, Syak.g_00282	Prar.g_00221
OG0000066	Syak.g_02653	Prar.g_01369
OG0000067	Syak.g_00434	Prar.g_01684
OG0000068	Syak.g_02565	Prar.g_00911
OG0000070	Syak.g_01174	Prar.g_00498
OG0000071	Syak.g_00936	Prar.g_00955
OG0000072	Syak.g_02099	Prar.g_00156
OG0000073	Syak.g_02597	Prar.g_01330
OG0000075	Syak.g_01564	Prar.g_00629
OG0000076	Syak.g_01650	Prar.g_00592, Prar.g_00653
OG0000077	Syak.g_02243	Prar.g_00250
OG0000078	Syak.g_02310	Prar.g_00088
OG0000081	Syak.g_00115	Prar.g_01361
OG0000082	Syak.g_02711	Prar.g_01414
OG0000084	Syak.g_01036	Prar.g_00343
OG0000085	Syak.g_02427	Prar.g_01150
OG0000086	Syak.g_02219	Prar.g_00240
