Orthogroup	Syak	Pral
OG0000001	Syak.g_00342	Pral.g_01236, Pral.g_01671, Pral.g_01296
OG0000004	Syak.g_01219, Syak.g_00720	Pral.g_01743
OG0000004	Syak.g_00003, Syak.g_02297	Pral.g_00809
OG0000005	Syak.g_00885, Syak.g_02436	Pral.g_01075
OG0000006	Syak.g_00059, Syak.g_00061, Syak.g_01394, Syak.g_02315, Syak.g_02317	Pral.g_00797
OG0000007	Syak.g_02595	Pral.g_00593
OG0000007	Syak.g_02416	Pral.g_00107
OG0000008	Syak.g_00267	Pral.g_00020
OG0000008	Syak.g_00692	Pral.g_00021
OG0000010	Syak.g_01119	Pral.g_01832, Pral.g_01848, Pral.g_00618
OG0000013	Syak.g_01275, Syak.g_01270	Pral.g_00712
OG0000014	Syak.g_01505	Pral.g_00732
OG0000014	Syak.g_01582	Pral.g_01261
OG0000015	Syak.g_00358	Pral.g_01813
OG0000017	Syak.g_02738	Pral.g_00484
OG0000017	Syak.g_02730	Pral.g_00491
OG0000018	Syak.g_01072	Pral.g_01346, Pral.g_01516
OG0000019	Syak.g_01413	Pral.g_00790, Pral.g_01344
OG0000021	Syak.g_00566	Pral.g_01667
OG0000022	Syak.g_00088	Pral.g_00044
OG0000023	Syak.g_00316, Syak.g_00223	Pral.g_01687
OG0000025	Syak.g_00610	Pral.g_01523
OG0000026	Syak.g_01757	Pral.g_01012
OG0000027	Syak.g_00127	Pral.g_00039, Pral.g_01036
OG0000028	Syak.g_01522	Pral.g_00719, Pral.g_00053
OG0000029	Syak.g_00169, Syak.g_00178	Pral.g_01890
OG0000030	Syak.g_01684, Syak.g_01685	Pral.g_00316
OG0000031	Syak.g_01630	Pral.g_01193
OG0000032	Syak.g_01092	Pral.g_01121
OG0000033	Syak.g_02101	Pral.g_00874
OG0000034	Syak.g_00950, Syak.g_02133	Pral.g_01271
OG0000035	Syak.g_01041	Pral.g_01165, Pral.g_01161
OG0000037	Syak.g_02188	Pral.g_00938
OG0000038	Syak.g_01938, Syak.g_01936	Pral.g_00356
OG0000039	Syak.g_00772, Syak.g_01918	Pral.g_01755
OG0000041	Syak.g_02354	Pral.g_00155
OG0000042	Syak.g_00843, Syak.g_01681	Pral.g_00313
OG0000043	Syak.g_00335	Pral.g_01347
OG0000044	Syak.g_00153	Pral.g_01888
OG0000045	Syak.g_00228	Pral.g_01322
OG0000046	Syak.g_01276, Syak.g_01269	Pral.g_00711
OG0000047	Syak.g_01147	Pral.g_00672
OG0000048	Syak.g_01446	Pral.g_00768
OG0000050	Syak.g_00106	Pral.g_01829
OG0000053	Syak.g_01068	Pral.g_00066, Pral.g_01139
OG0000054	Syak.g_02744	Pral.g_00482
OG0000055	Syak.g_00766	Pral.g_01670
OG0000057	Syak.g_00724	Pral.g_01740
OG0000058	Syak.g_01530	Pral.g_01202
OG0000059	Syak.g_01355	Pral.g_00195
OG0000061	Syak.g_00898	Pral.g_01367, Pral.g_00639
OG0000062	Syak.g_02434	Pral.g_01073
OG0000063	Syak.g_01752	Pral.g_00435
OG0000064	Syak.g_00254, Syak.g_00126, Syak.g_00164, Syak.g_00983	Pral.g_00980
OG0000065	Syak.g_02192, Syak.g_00282	Pral.g_00940
OG0000066	Syak.g_02653	Pral.g_00551
OG0000067	Syak.g_00434	Pral.g_01488
OG0000068	Syak.g_02565	Pral.g_01222
OG0000070	Syak.g_01174	Pral.g_00643
OG0000071	Syak.g_00936	Pral.g_01281
OG0000072	Syak.g_02099	Pral.g_00872
OG0000073	Syak.g_02597	Pral.g_00591
OG0000075	Syak.g_01564	Pral.g_00279
OG0000076	Syak.g_01650	Pral.g_00305
OG0000077	Syak.g_02243	Pral.g_00969
OG0000078	Syak.g_02310	Pral.g_00800
OG0000079	Syak.g_01417	Pral.g_00787
OG0000081	Syak.g_00115	Pral.g_00559
OG0000082	Syak.g_02711	Pral.g_00057
OG0000084	Syak.g_01036	Pral.g_01169
OG0000085	Syak.g_02427	Pral.g_00099
OG0000086	Syak.g_02219	Pral.g_00959
OG0000087	Syak.g_02141	Pral.g_00906
OG0000088	Syak.g_02106	Pral.g_00878
OG0000089	Syak.g_01215	Pral.g_00676
OG0000090	Syak.g_02640	Pral.g_00557
OG0000091	Syak.g_00043	Pral.g_01443
OG0000092	Syak.g_01126	Pral.g_01794, Pral.g_01244
OG0000093	Syak.g_00416	Pral.g_01472
OG0000097	Syak.g_00816	Pral.g_01416
OG0000098	Syak.g_00345	Pral.g_01239
OG0000099	Syak.g_01527	Pral.g_01201
OG0000100	Syak.g_00622	Pral.g_01078
OG0000101	Syak.g_01305	Pral.g_00243
OG0000102	Syak.g_01661	Pral.g_00310
OG0000103	Syak.g_01812	Pral.g_00397
OG0000104	Syak.g_01799	Pral.g_00406
OG0000105	Syak.g_01451	Pral.g_00765
OG0000106	Syak.g_00096	Pral.g_01859
OG0000107	Syak.g_01392	Pral.g_00171
OG0000108	Syak.g_02574	Pral.g_00611
OG0000109	Syak.g_02590, Syak.g_01061	Pral.g_00596
OG0000110	Syak.g_02698	Pral.g_00513
OG0000111	Syak.g_00725	Pral.g_01739
OG0000112	Syak.g_00512	Pral.g_01635
OG0000113	Syak.g_00461	Pral.g_01511
OG0000114	Syak.g_00373	Pral.g_01799
OG0000115	Syak.g_01066	Pral.g_01141
OG0000116	Syak.g_00911	Pral.g_01356
OG0000117	Syak.g_00846	Pral.g_01398, Pral.g_01397, Pral.g_01396, Pral.g_01881
OG0000118	Syak.g_00954	Pral.g_01269
OG0000119	Syak.g_00917	Pral.g_01861, Pral.g_01063
OG0000120	Syak.g_01526	Pral.g_00702
OG0000121	Syak.g_01044	Pral.g_01159
OG0000122	Syak.g_00081	Pral.g_01116
OG0000123	Syak.g_01299	Pral.g_00250
OG0000124	Syak.g_01692	Pral.g_00322
OG0000125	Syak.g_01934	Pral.g_00358
OG0000126	Syak.g_01801	Pral.g_00405
OG0000128	Syak.g_01782	Pral.g_00421
OG0000129	Syak.g_01947	Pral.g_01000
OG0000130	Syak.g_02255	Pral.g_00978
OG0000131	Syak.g_02128	Pral.g_00900
OG0000132	Syak.g_02108	Pral.g_00880
OG0000133	Syak.g_00507	Pral.g_00717
OG0000134	Syak.g_01212	Pral.g_00674
OG0000135	Syak.g_01897	Pral.g_01034
OG0000136	Syak.g_01186	Pral.g_00653
OG0000137	Syak.g_01118	Pral.g_00617
OG0000138	Syak.g_02591	Pral.g_00595
OG0000139	Syak.g_02646	Pral.g_00553
OG0000140	Syak.g_02650	Pral.g_00552
OG0000141	Syak.g_02746	Pral.g_00481
OG0000142	Syak.g_00035	Pral.g_01436
OG0000143	Syak.g_00039	Pral.g_01440
OG0000144	Syak.g_00260	Pral.g_01453
OG0000145	Syak.g_02598	Pral.g_01037
OG0000146	Syak.g_00514	Pral.g_01636
OG0000147	Syak.g_00515	Pral.g_01637
OG0000148	Syak.g_00455	Pral.g_01505
OG0000149	Syak.g_00596	Pral.g_01535
OG0000150	Syak.g_02747	Pral.g_01545
OG0000151	Syak.g_00387	Pral.g_01789
OG0000152	Syak.g_00503	Pral.g_01627
OG0000153	Syak.g_00470	Pral.g_01578
OG0000154	Syak.g_00645	Pral.g_01595
OG0000155	Syak.g_00855	Pral.g_01390
OG0000156	Syak.g_00919	Pral.g_01292
OG0000157	Syak.g_00920	Pral.g_01291
OG0000158	Syak.g_01624	Pral.g_00287
OG0000160	Syak.g_01043	Pral.g_01160
OG0000161	Syak.g_01050	Pral.g_01154
OG0000162	Syak.g_01058	Pral.g_01148
OG0000163	Syak.g_02478	Pral.g_01106
