Orthogroup	Syak	Prak
OG0000001	Syak.g_00342	Prak.g_01302, Prak.g_00755
OG0000004	Syak.g_01219, Syak.g_00720	Prak.g_00826
OG0000004	Syak.g_00003, Syak.g_02297	Prak.g_00248
OG0000005	Syak.g_00885, Syak.g_02436	Prak.g_01474
OG0000006	Syak.g_00059, Syak.g_00061, Syak.g_01394, Syak.g_02315, Syak.g_02317	Prak.g_00258
OG0000007	Syak.g_02595	Prak.g_00458
OG0000007	Syak.g_02416	Prak.g_01645
OG0000008	Syak.g_00267	Prak.g_01544
OG0000008	Syak.g_00692	Prak.g_01545, Prak.g_01546
OG0000010	Syak.g_01119	Prak.g_00739, Prak.g_01034, Prak.g_00435
OG0000011	Syak.g_02294	Prak.g_00660
OG0000012	Syak.g_00010	Prak.g_00584
OG0000013	Syak.g_01275, Syak.g_01270	Prak.g_00343
OG0000014	Syak.g_01505	Prak.g_00325
OG0000015	Syak.g_00358	Prak.g_01584, Prak.g_01630
OG0000016	Syak.g_01780	Prak.g_00013
OG0000016	Syak.g_00818	Prak.g_01230
OG0000017	Syak.g_02738	Prak.g_00566
OG0000017	Syak.g_02730	Prak.g_00559
OG0000018	Syak.g_01072	Prak.g_01194, Prak.g_00873
OG0000019	Syak.g_01413	Prak.g_00266, Prak.g_01196
OG0000021	Syak.g_00566	Prak.g_01499
OG0000022	Syak.g_00088	Prak.g_01482
OG0000023	Syak.g_00316, Syak.g_00223	Prak.g_00721
OG0000025	Syak.g_00610	Prak.g_00881
OG0000026	Syak.g_01757	Prak.g_00032
OG0000027	Syak.g_00127	Prak.g_01564, Prak.g_01521
OG0000028	Syak.g_01522	Prak.g_01543
OG0000029	Syak.g_00169, Syak.g_00178	Prak.g_01735, Prak.g_01534, Prak.g_01576
OG0000030	Syak.g_01684, Syak.g_01685	Prak.g_01853
OG0000031	Syak.g_01630	Prak.g_01350
OG0000032	Syak.g_01092	Prak.g_01430
OG0000033	Syak.g_02101	Prak.g_01357, Prak.g_00181
OG0000034	Syak.g_00950, Syak.g_02133	Prak.g_01288
OG0000035	Syak.g_01041	Prak.g_01391
OG0000037	Syak.g_02188	Prak.g_00115
OG0000038	Syak.g_01938, Syak.g_01936	Prak.g_01893
OG0000039	Syak.g_00772, Syak.g_01918	Prak.g_00814
OG0000041	Syak.g_02354	Prak.g_01692
OG0000042	Syak.g_00843, Syak.g_01681	Prak.g_01850
OG0000043	Syak.g_00335	Prak.g_01193
OG0000045	Syak.g_00228	Prak.g_01216
OG0000046	Syak.g_01276, Syak.g_01269	Prak.g_00344
OG0000047	Syak.g_01147	Prak.g_00385
OG0000048	Syak.g_01446	Prak.g_01264, Prak.g_00289
OG0000050	Syak.g_00106	Prak.g_00741
OG0000052	Syak.g_01549	Prak.g_01369
OG0000053	Syak.g_01068	Prak.g_01590, Prak.g_01412
OG0000054	Syak.g_02744	Prak.g_00568
OG0000055	Syak.g_00766	Prak.g_01221
OG0000057	Syak.g_00724	Prak.g_00829
OG0000058	Syak.g_01530	Prak.g_01351
OG0000059	Syak.g_01355	Prak.g_01732
OG0000061	Syak.g_00898	Prak.g_01172
OG0000062	Syak.g_02434	Prak.g_01476
OG0000063	Syak.g_01752	Prak.g_01530
OG0000064	Syak.g_00254, Syak.g_00126, Syak.g_00164, Syak.g_00983	Prak.g_00072
OG0000065	Syak.g_02192, Syak.g_00282	Prak.g_00113
OG0000066	Syak.g_02653	Prak.g_00498, Prak.g_01557
OG0000067	Syak.g_00434	Prak.g_00845
OG0000068	Syak.g_02565	Prak.g_01329
OG0000070	Syak.g_01174	Prak.g_00412
OG0000071	Syak.g_00936	Prak.g_01277
OG0000072	Syak.g_02099	Prak.g_00183
OG0000073	Syak.g_02597	Prak.g_00461
OG0000075	Syak.g_01564	Prak.g_01816
OG0000076	Syak.g_01650	Prak.g_01842
OG0000077	Syak.g_02243	Prak.g_00083
OG0000078	Syak.g_02310	Prak.g_00256
OG0000079	Syak.g_01417	Prak.g_00269
OG0000081	Syak.g_00115	Prak.g_00490
OG0000082	Syak.g_02711	Prak.g_00546, Prak.g_01634
OG0000084	Syak.g_01036	Prak.g_01388
OG0000085	Syak.g_02427	Prak.g_01637, Prak.g_01516
OG0000086	Syak.g_02219	Prak.g_00092
OG0000087	Syak.g_02141	Prak.g_00147
OG0000088	Syak.g_02106	Prak.g_00178
OG0000089	Syak.g_01215	Prak.g_00379
OG0000090	Syak.g_02640	Prak.g_00492
OG0000091	Syak.g_00043	Prak.g_01100
OG0000092	Syak.g_01126	Prak.g_00775
OG0000097	Syak.g_00816	Prak.g_01126
OG0000098	Syak.g_00345	Prak.g_01305
OG0000099	Syak.g_01527	Prak.g_01352
OG0000100	Syak.g_00622	Prak.g_01470
OG0000101	Syak.g_01305	Prak.g_01780
OG0000102	Syak.g_01661	Prak.g_01847
OG0000103	Syak.g_01812	Prak.g_01932
OG0000104	Syak.g_01799	Prak.g_01941
OG0000105	Syak.g_01451	Prak.g_00292
OG0000106	Syak.g_00096	Prak.g_00687
OG0000107	Syak.g_01392	Prak.g_01709
OG0000108	Syak.g_02574	Prak.g_00441
OG0000109	Syak.g_02590, Syak.g_01061	Prak.g_00455
OG0000110	Syak.g_02698	Prak.g_00535
OG0000111	Syak.g_00725	Prak.g_00830
OG0000112	Syak.g_00512	Prak.g_00608
OG0000113	Syak.g_00461	Prak.g_00868
OG0000114	Syak.g_00373	Prak.g_00770
OG0000115	Syak.g_01066	Prak.g_01241
OG0000116	Syak.g_00911	Prak.g_01183
OG0000117	Syak.g_00846	Prak.g_01145
OG0000118	Syak.g_00954	Prak.g_01290
OG0000119	Syak.g_00917	Prak.g_01226, Prak.g_01488
OG0000120	Syak.g_01526	Prak.g_01349
OG0000121	Syak.g_01044	Prak.g_01393
OG0000122	Syak.g_00081	Prak.g_01248, Prak.g_01434
OG0000123	Syak.g_01299	Prak.g_01787
OG0000124	Syak.g_01692	Prak.g_01859
OG0000125	Syak.g_01934	Prak.g_01895
OG0000126	Syak.g_01801	Prak.g_01940
OG0000128	Syak.g_01782	Prak.g_00011
OG0000129	Syak.g_01947	Prak.g_00045
OG0000130	Syak.g_02255	Prak.g_00074
OG0000131	Syak.g_02128	Prak.g_00156
OG0000132	Syak.g_02108	Prak.g_00176
OG0000133	Syak.g_00507	Prak.g_00339
OG0000134	Syak.g_01212	Prak.g_00381
OG0000135	Syak.g_01897	Prak.g_01259
