Orthogroup	Syak	Syaj
OG0000001	Syak.g_00342	Syaj.g_02674
OG0000001	Syak.g_02139	Syaj.g_01948, Syaj.g_01947, Syaj.g_01949, Syaj.g_01952
OG0000001	Syak.g_02138	Syaj.g_01950
OG0000001	Syak.g_00275, Syak.g_00579	Syaj.g_02660
OG0000004	Syak.g_01219, Syak.g_00720	Syaj.g_00441
OG0000004	Syak.g_00003	Syaj.g_01314
OG0000004	Syak.g_02297	Syaj.g_02853
OG0000005	Syak.g_02401	Syaj.g_01736
OG0000005	Syak.g_02436	Syaj.g_01698
OG0000006	Syak.g_00059, Syak.g_00061, Syak.g_01394, Syak.g_02315, Syak.g_02317	Syaj.g_02635
OG0000007	Syak.g_02595	Syaj.g_00091
OG0000007	Syak.g_02416	Syaj.g_01721
OG0000008	Syak.g_00267	Syaj.g_00496
OG0000008	Syak.g_00692	Syaj.g_00497
OG0000009	Syak.g_02194	Syaj.g_01885
OG0000010	Syak.g_01119	Syaj.g_01445
OG0000011	Syak.g_02294	Syaj.g_01780
OG0000012	Syak.g_00010	Syaj.g_01306
OG0000013	Syak.g_01275	Syaj.g_02769
OG0000013	Syak.g_01270	Syaj.g_02774
OG0000014	Syak.g_01505	Syaj.g_02522
OG0000014	Syak.g_01582	Syaj.g_02344
OG0000015	Syak.g_01813	Syaj.g_02242
OG0000015	Syak.g_00358	Syaj.g_00725, Syaj.g_02659
OG0000016	Syak.g_01780	Syaj.g_02276
OG0000016	Syak.g_00818	Syaj.g_00590
OG0000017	Syak.g_02738	Syaj.g_00255
OG0000017	Syak.g_02730	Syaj.g_00248
OG0000018	Syak.g_01072	Syaj.g_01413
OG0000019	Syak.g_01413	Syaj.g_02613
OG0000021	Syak.g_00566	Syaj.g_00982
OG0000022	Syak.g_00088	Syaj.g_01220
OG0000023	Syak.g_00223	Syaj.g_01791
OG0000025	Syak.g_00610	Syaj.g_00383
OG0000026	Syak.g_01757	Syaj.g_02298
OG0000027	Syak.g_00127	Syaj.g_00396
OG0000028	Syak.g_01522	Syaj.g_02506
OG0000029	Syak.g_00169, Syak.g_00178	Syaj.g_01229
OG0000030	Syak.g_01684	Syaj.g_02396
OG0000030	Syak.g_01685	Syaj.g_02395
OG0000031	Syak.g_01630	Syaj.g_02501
OG0000032	Syak.g_01092	Syaj.g_01432
OG0000033	Syak.g_02101	Syaj.g_01990
OG0000034	Syak.g_00950, Syak.g_02133	Syaj.g_01959
OG0000035	Syak.g_01041	Syaj.g_01378
OG0000037	Syak.g_02188	Syaj.g_01891, Syaj.g_02902
OG0000038	Syak.g_01938	Syaj.g_02115
OG0000039	Syak.g_00772	Syaj.g_00392
OG0000039	Syak.g_01918	Syaj.g_00275
OG0000040	Syak.g_01852	Syaj.g_02208
OG0000041	Syak.g_02354	Syaj.g_01602
OG0000042	Syak.g_00843, Syak.g_01681	Syaj.g_02399
OG0000043	Syak.g_00335	Syaj.g_01247
OG0000044	Syak.g_00153	Syaj.g_01344
OG0000045	Syak.g_00317	Syaj.g_00132
OG0000046	Syak.g_01269	Syaj.g_02775
OG0000047	Syak.g_01147	Syaj.g_02799
OG0000048	Syak.g_01446	Syaj.g_02578
OG0000050	Syak.g_00106	Syaj.g_01584, Syaj.g_01242
OG0000052	Syak.g_01549	Syaj.g_02476
OG0000053	Syak.g_01068	Syaj.g_01409
OG0000054	Syak.g_02744	Syaj.g_01341
OG0000055	Syak.g_00766	Syaj.g_00394
OG0000057	Syak.g_00724	Syaj.g_00438
OG0000058	Syak.g_01530	Syaj.g_02495
OG0000059	Syak.g_01355	Syaj.g_02686
OG0000060	Syak.g_01138	Syaj.g_01469
OG0000060	Syak.g_02572	Syaj.g_00067
OG0000060	Syak.g_00844	Syaj.g_00635
OG0000061	Syak.g_00898	Syaj.g_00302
OG0000062	Syak.g_02434	Syaj.g_01700
OG0000063	Syak.g_01752	Syaj.g_02302
OG0000064	Syak.g_00254	Syaj.g_01253
OG0000065	Syak.g_00282	Syaj.g_00007
OG0000066	Syak.g_02653	Syaj.g_00157
OG0000067	Syak.g_00434	Syaj.g_01023
OG0000068	Syak.g_02565	Syaj.g_00059
OG0000070	Syak.g_01174	Syaj.g_01529
OG0000071	Syak.g_00936	Syaj.g_01511
OG0000072	Syak.g_02099	Syaj.g_01992
OG0000073	Syak.g_02597	Syaj.g_00093
OG0000075	Syak.g_01564	Syaj.g_02457
OG0000076	Syak.g_01650	Syaj.g_02417
OG0000077	Syak.g_02243	Syaj.g_01831
OG0000078	Syak.g_02310	Syaj.g_02880
OG0000079	Syak.g_01417	Syaj.g_02609
OG0000081	Syak.g_00115	Syaj.g_02888
OG0000082	Syak.g_02711	Syaj.g_00229
OG0000084	Syak.g_01036	Syaj.g_01375
OG0000085	Syak.g_02427	Syaj.g_01707
OG0000086	Syak.g_02219	Syaj.g_01848
OG0000087	Syak.g_02141	Syaj.g_01945
OG0000088	Syak.g_02106	Syaj.g_01986
OG0000089	Syak.g_01215	Syaj.g_02829, Syaj.g_01915
OG0000090	Syak.g_02640	Syaj.g_00144
OG0000091	Syak.g_00043	Syaj.g_01275
OG0000092	Syak.g_01126	Syaj.g_00339
OG0000093	Syak.g_00416	Syaj.g_01042
OG0000094	Syak.g_00656	Syaj.g_00804
OG0000095	Syak.g_00736	Syaj.g_00427
OG0000097	Syak.g_00816	Syaj.g_00589
OG0000098	Syak.g_00345	Syaj.g_02671
OG0000099	Syak.g_01527	Syaj.g_02503
OG0000100	Syak.g_00622	Syaj.g_00987
OG0000101	Syak.g_01305	Syaj.g_02738
OG0000102	Syak.g_01661	Syaj.g_02411
OG0000103	Syak.g_01812	Syaj.g_02243
OG0000104	Syak.g_01799	Syaj.g_02258
OG0000105	Syak.g_01451	Syaj.g_02573
OG0000106	Syak.g_00096	Syaj.g_01130
OG0000107	Syak.g_01392	Syaj.g_02637
OG0000108	Syak.g_02574	Syaj.g_00072
OG0000109	Syak.g_02590, Syak.g_01061	Syaj.g_00087
OG0000110	Syak.g_02698	Syaj.g_00215
OG0000111	Syak.g_00725	Syaj.g_00437
OG0000112	Syak.g_00512	Syaj.g_00907
OG0000113	Syak.g_00461	Syaj.g_00992
OG0000114	Syak.g_00373, Syak.g_00065	Syaj.g_00741
OG0000115	Syak.g_01066	Syaj.g_01402
OG0000116	Syak.g_00911	Syaj.g_00289
OG0000117	Syak.g_00846	Syaj.g_00637
OG0000118	Syak.g_00954	Syaj.g_00267
OG0000119	Syak.g_00917	Syaj.g_00317
OG0000120	Syak.g_01526	Syaj.g_02502
OG0000121	Syak.g_01044	Syaj.g_01383
OG0000122	Syak.g_00081	Syaj.g_01250
OG0000123	Syak.g_01299	Syaj.g_02745
OG0000124	Syak.g_01692	Syaj.g_02388
OG0000125	Syak.g_01934	Syaj.g_02117
OG0000126	Syak.g_01801	Syaj.g_02256
OG0000127	Syak.g_02269, Syak.g_02544	Syaj.g_00036
OG0000128	Syak.g_01782	Syaj.g_02274
OG0000129	Syak.g_01947	Syaj.g_02106
OG0000130	Syak.g_02255	Syaj.g_01818
OG0000131	Syak.g_02128	Syaj.g_01964
OG0000132	Syak.g_02108	Syaj.g_01984, Syaj.g_00688
OG0000133	Syak.g_00507	Syaj.g_00902
OG0000134	Syak.g_01212	Syaj.g_02832
OG0000135	Syak.g_01897	Syaj.g_02167
OG0000136	Syak.g_01186	Syaj.g_01550
OG0000137	Syak.g_01118	Syaj.g_01444
OG0000138	Syak.g_02591	Syaj.g_00088
OG0000139	Syak.g_02646	Syaj.g_00150
OG0000140	Syak.g_02650	Syaj.g_00153
OG0000141	Syak.g_02746	Syaj.g_01340
OG0000142	Syak.g_00035	Syaj.g_01283
OG0000143	Syak.g_00039	Syaj.g_01279
OG0000144	Syak.g_00260	Syaj.g_01151
OG0000145	Syak.g_02598	Syaj.g_00094
OG0000146	Syak.g_00514	Syaj.g_00908
OG0000147	Syak.g_00515	Syaj.g_00909
