Orthogroup	Pral	Prbn
OG0000000	Pral.g_00040	Prbn.g_01151
OG0000000	Pral.g_00037	Prbn.g_01662
OG0000000	Pral.g_00038	Prbn.g_01152
OG0000000	Pral.g_00038	Prbn.g_01663
OG0000000	Pral.g_01333	Prbn.g_01152
OG0000000	Pral.g_01333	Prbn.g_01663
OG0000001	Pral.g_01236	Prbn.g_01213
OG0000001	Pral.g_01671	Prbn.g_01923
OG0000002	Pral.g_01549	Prbn.g_01483
OG0000002	Pral.g_01554	Prbn.g_01478
OG0000002	Pral.g_01340	Prbn.g_01159
OG0000002	Pral.g_00430	Prbn.g_01234
OG0000002	Pral.g_01342	Prbn.g_01161
OG0000002	Pral.g_01337	Prbn.g_01154
OG0000002	Pral.g_01052	Prbn.g_00879
OG0000002	Pral.g_01764	Prbn.g_01586
OG0000004	Pral.g_01743	Prbn.g_01565
OG0000004	Pral.g_00809	Prbn.g_00318
OG0000005	Pral.g_01075	Prbn.g_00899
OG0000006	Pral.g_00797	Prbn.g_00308
OG0000007	Pral.g_00593	Prbn.g_00617
OG0000007	Pral.g_00107	Prbn.g_01745
OG0000008	Pral.g_00020	Prbn.g_01645
OG0000008	Pral.g_00021	Prbn.g_01646
OG0000009	Pral.g_01065	Prbn.g_00887
OG0000010	Pral.g_01832	Prbn.g_01939
OG0000010	Pral.g_01848	Prbn.g_01357
OG0000010	Pral.g_00618	Prbn.g_00640
OG0000012	Pral.g_00015	Prbn.g_00867
OG0000013	Pral.g_00712	Prbn.g_00092
OG0000014	Pral.g_00732	Prbn.g_00074
OG0000015	Pral.g_01813	Prbn.g_01684, Prbn.g_01730
OG0000017	Pral.g_00484	Prbn.g_00510
OG0000017	Pral.g_00491	Prbn.g_00517
OG0000018	Pral.g_01346	Prbn.g_01167
OG0000018	Pral.g_01516	Prbn.g_01518
OG0000019	Pral.g_00790	Prbn.g_00015
OG0000019	Pral.g_01344	Prbn.g_01165
OG0000020	Pral.g_01038	Prbn.g_00875
OG0000020	Pral.g_01891	Prbn.g_00133
OG0000021	Pral.g_01667	Prbn.g_00874
OG0000021	Pral.g_01738	Prbn.g_01560
OG0000022	Pral.g_00044	Prbn.g_00891
OG0000023	Pral.g_01687	Prbn.g_01030
OG0000024	Pral.g_01895	Prbn.g_01353
OG0000025	Pral.g_01523	Prbn.g_01510
OG0000026	Pral.g_01012	Prbn.g_00750
OG0000027	Pral.g_00039	Prbn.g_01664
OG0000027	Pral.g_01036	Prbn.g_00139
OG0000028	Pral.g_00053	Prbn.g_01644
OG0000029	Pral.g_01890	Prbn.g_01676
OG0000030	Pral.g_00316	Prbn.g_00985
OG0000031	Pral.g_01193	Prbn.g_00171
OG0000032	Pral.g_01121	Prbn.g_00251
OG0000033	Pral.g_00874	Prbn.g_01244
OG0000034	Pral.g_01271	Prbn.g_01073
OG0000035	Pral.g_01165	Prbn.g_00212
OG0000037	Pral.g_00938	Prbn.g_01310
OG0000038	Pral.g_00356	Prbn.g_00946
OG0000039	Pral.g_01755	Prbn.g_01577
OG0000041	Pral.g_00155	Prbn.g_01793
OG0000042	Pral.g_00313	Prbn.g_00988
OG0000043	Pral.g_01347	Prbn.g_01168
OG0000045	Pral.g_01322	Prbn.g_01145
OG0000046	Pral.g_00711	Prbn.g_00093
OG0000047	Pral.g_00672	Prbn.g_00690
OG0000048	Pral.g_00768	Prbn.g_01097, Prbn.g_00038
OG0000050	Pral.g_01829	Prbn.g_01937
OG0000052	Pral.g_00987	Prbn.g_00724
OG0000053	Pral.g_00066	Prbn.g_01690
OG0000054	Pral.g_00482	Prbn.g_00508
OG0000055	Pral.g_01670	Prbn.g_01140
OG0000055	Pral.g_00082	Prbn.g_01719
OG0000057	Pral.g_01740	Prbn.g_01562
OG0000058	Pral.g_01202	Prbn.g_00172
OG0000059	Pral.g_00195	Prbn.g_01833
OG0000061	Pral.g_01367	Prbn.g_01189
OG0000062	Pral.g_01073	Prbn.g_00897
OG0000063	Pral.g_00435	Prbn.g_00130
OG0000064	Pral.g_00980	Prbn.g_00710
OG0000065	Pral.g_00940	Prbn.g_01312
OG0000066	Pral.g_00551	Prbn.g_00577, Prbn.g_01657
OG0000067	Pral.g_01488	Prbn.g_01546
OG0000068	Pral.g_01222	Prbn.g_01240
OG0000069	Pral.g_01114, Pral.g_01164	Prbn.g_00659
OG0000070	Pral.g_00643	Prbn.g_00663
OG0000071	Pral.g_01281	Prbn.g_01084
OG0000072	Pral.g_00872	Prbn.g_00383
OG0000073	Pral.g_00591	Prbn.g_00614
OG0000074	Pral.g_01818	Prbn.g_01928
OG0000074	Pral.g_01760	Prbn.g_01582
OG0000075	Pral.g_00279	Prbn.g_01917
OG0000076	Pral.g_00305	Prbn.g_00996
OG0000077	Pral.g_00969	Prbn.g_01342
OG0000078	Pral.g_00800	Prbn.g_00310
OG0000079	Pral.g_00787	Prbn.g_00018
OG0000081	Pral.g_00559	Prbn.g_00585
OG0000082	Pral.g_00057	Prbn.g_01734
OG0000084	Pral.g_01169	Prbn.g_00209
OG0000085	Pral.g_00099	Prbn.g_01737
OG0000086	Pral.g_00959	Prbn.g_01333
OG0000087	Pral.g_00906	Prbn.g_01278
OG0000088	Pral.g_00878	Prbn.g_01247
OG0000089	Pral.g_00676	Prbn.g_00696
OG0000090	Pral.g_00557	Prbn.g_00583
OG0000091	Pral.g_01443	Prbn.g_00434
OG0000092	Pral.g_01794	Prbn.g_01616
OG0000093	Pral.g_01472	Prbn.g_00846
OG0000094	Pral.g_01604	Prbn.g_01369
OG0000095	Pral.g_01561	Prbn.g_01471
OG0000096	Pral.g_00444	Prbn.g_01049
OG0000097	Pral.g_01416	Prbn.g_00408
OG0000098	Pral.g_01239	Prbn.g_01216
OG0000099	Pral.g_01201	Prbn.g_00173
OG0000100	Pral.g_01078	Prbn.g_00903
OG0000101	Pral.g_00243	Prbn.g_01881
OG0000102	Pral.g_00310	Prbn.g_00991
OG0000103	Pral.g_00397	Prbn.g_00907
OG0000104	Pral.g_00406	Prbn.g_00296
OG0000105	Pral.g_00765	Prbn.g_00041
OG0000106	Pral.g_01859	Prbn.g_00829
OG0000107	Pral.g_00171	Prbn.g_01810
OG0000108	Pral.g_00611	Prbn.g_00634
OG0000109	Pral.g_00596	Prbn.g_00620
OG0000110	Pral.g_00513	Prbn.g_00541
OG0000111	Pral.g_01739	Prbn.g_01561
OG0000112	Pral.g_01635	Prbn.g_00468
OG0000113	Pral.g_01511	Prbn.g_01523
OG0000114	Pral.g_01799	Prbn.g_01621
OG0000115	Pral.g_01141	Prbn.g_01120
OG0000116	Pral.g_01356	Prbn.g_01178
OG0000117	Pral.g_01398, Pral.g_01397, Pral.g_01396, Pral.g_01881	Prbn.g_00389
OG0000118	Pral.g_01269	Prbn.g_01071
OG0000119	Pral.g_01861	Prbn.g_01135
OG0000119	Pral.g_01063	Prbn.g_00885
OG0000120	Pral.g_00702	Prbn.g_00170
OG0000121	Pral.g_01159	Prbn.g_00214
OG0000122	Pral.g_01116	Prbn.g_01113, Prbn.g_00255
OG0000123	Pral.g_00250	Prbn.g_01888
OG0000124	Pral.g_00322	Prbn.g_00979
OG0000125	Pral.g_00358	Prbn.g_00944
OG0000126	Pral.g_00405	Prbn.g_00295
OG0000128	Pral.g_00421	Prbn.g_00002, Prbn.g_00003
OG0000129	Pral.g_01000	Prbn.g_00737
OG0000130	Pral.g_00978	Prbn.g_00708
OG0000131	Pral.g_00900	Prbn.g_01269
OG0000132	Pral.g_00880	Prbn.g_01249
OG0000133	Pral.g_00717	Prbn.g_00088
OG0000134	Pral.g_00674	Prbn.g_00694
OG0000135	Pral.g_01034	Prbn.g_01102
OG0000136	Pral.g_00653	Prbn.g_00672
OG0000137	Pral.g_00617	Prbn.g_00639
OG0000138	Pral.g_00595	Prbn.g_00619
OG0000139	Pral.g_00553	Prbn.g_00579
OG0000140	Pral.g_00552	Prbn.g_00578
OG0000141	Pral.g_00481	Prbn.g_00507
OG0000142	Pral.g_01436	Prbn.g_00426
OG0000143	Pral.g_01440	Prbn.g_00430
OG0000144	Pral.g_01453	Prbn.g_00444
OG0000145	Pral.g_01037	Prbn.g_01100
OG0000146	Pral.g_01636	Prbn.g_00469
OG0000147	Pral.g_01637	Prbn.g_00470
OG0000148	Pral.g_01505	Prbn.g_01529
OG0000149	Pral.g_01535	Prbn.g_01497
OG0000150	Pral.g_01545	Prbn.g_01487
OG0000151	Pral.g_01789	Prbn.g_01611
OG0000152	Pral.g_01627	Prbn.g_01418
OG0000153	Pral.g_01578	Prbn.g_01399
OG0000154	Pral.g_01595	Prbn.g_01379
OG0000155	Pral.g_01390	Prbn.g_01210
OG0000156	Pral.g_01292	Prbn.g_01095
OG0000157	Pral.g_01291	Prbn.g_01094
OG0000158	Pral.g_00287	Prbn.g_01014
OG0000159	Pral.g_01263	Prbn.g_00717
OG0000160	Pral.g_01160	Prbn.g_00213
OG0000161	Pral.g_01154	Prbn.g_00219
OG0000162	Pral.g_01148	Prbn.g_00225
OG0000163	Pral.g_01106	Prbn.g_00264
