Orthogroup	Pral	Prac
OG0000000	Pral.g_01331	Prac.g_00159
OG0000000	Pral.g_00037	Prac.g_00277, Prac.g_00292
OG0000001	Pral.g_01296	Prac.g_00924, Prac.g_00925
OG0000002	Pral.g_01549, Pral.g_01554	Prac.g_00210
OG0000002	Pral.g_01340, Pral.g_00430, Pral.g_01342, Pral.g_01337, Pral.g_01052, Pral.g_01764	Prac.g_00693
OG0000004	Pral.g_01743	Prac.g_00676
OG0000004	Pral.g_00809	Prac.g_01698
OG0000005	Pral.g_01075	Prac.g_00335
OG0000006	Pral.g_00797	Prac.g_01689
OG0000007	Pral.g_00593	Prac.g_00874
OG0000007	Pral.g_00107	Prac.g_00625
OG0000008	Pral.g_00020	Prac.g_00904
OG0000010	Pral.g_01832, Pral.g_01848, Pral.g_00618	Prac.g_01070
OG0000011	Pral.g_00064	Prac.g_00142
OG0000012	Pral.g_00015	Prac.g_00748
OG0000013	Pral.g_00712	Prac.g_01604
OG0000014	Pral.g_00732	Prac.g_01625
OG0000015	Pral.g_01813	Prac.g_00898
OG0000017	Pral.g_00491	Prac.g_00773
OG0000018	Pral.g_01346	Prac.g_01004
OG0000018	Pral.g_01516	Prac.g_01448
OG0000019	Pral.g_00790	Prac.g_01681
OG0000019	Pral.g_01344	Prac.g_01496
OG0000020	Pral.g_01038	Prac.g_01037
OG0000020	Pral.g_00443, Pral.g_01883	Prac.g_00906
OG0000020	Pral.g_01891	Prac.g_00875, Prac.g_01598
OG0000021	Pral.g_01667	Prac.g_01169
OG0000022	Pral.g_00044	Prac.g_01510
OG0000023	Pral.g_01687	Prac.g_01174
OG0000024	Pral.g_01895	Prac.g_01525
OG0000025	Pral.g_01523	Prac.g_01441, Prac.g_01600
OG0000026	Pral.g_01012	Prac.g_01916, Prac.g_01241
OG0000027	Pral.g_01036	Prac.g_01074
OG0000028	Pral.g_00719	Prac.g_01611
OG0000028	Pral.g_00053	Prac.g_00145
OG0000030	Pral.g_00316	Prac.g_00050
OG0000031	Pral.g_01193	Prac.g_00249
OG0000033	Pral.g_00874	Prac.g_01761
OG0000034	Pral.g_01271	Prac.g_00185
OG0000035	Pral.g_01161	Prac.g_00411
OG0000037	Pral.g_00938	Prac.g_01822
OG0000038	Pral.g_00356	Prac.g_00090
OG0000039	Pral.g_01755	Prac.g_00685
OG0000041	Pral.g_00155	Prac.g_00579
OG0000042	Pral.g_00313	Prac.g_00048
OG0000043	Pral.g_01347	Prac.g_01405
OG0000044	Pral.g_01888	Prac.g_00892
OG0000045	Pral.g_01322	Prac.g_01162
OG0000047	Pral.g_00672	Prac.g_01127
OG0000048	Pral.g_00768	Prac.g_01159
OG0000053	Pral.g_00066, Pral.g_01139	Prac.g_01901, Prac.g_00391
OG0000054	Pral.g_00482	Prac.g_00765
OG0000055	Pral.g_01670	Prac.g_01495
OG0000057	Pral.g_01740	Prac.g_00673
OG0000058	Pral.g_01202	Prac.g_00258, Prac.g_00434
OG0000059	Pral.g_00195	Prac.g_00500
OG0000061	Pral.g_01367	Prac.g_00985
OG0000062	Pral.g_01073	Prac.g_00333
OG0000063	Pral.g_00435	Prac.g_00908
OG0000065	Pral.g_00940	Prac.g_01824
OG0000066	Pral.g_00551	Prac.g_00833
OG0000067	Pral.g_01488	Prac.g_01475
OG0000068	Pral.g_01222	Prac.g_00217
OG0000069	Pral.g_01114, Pral.g_01164	Prac.g_00890, Prac.g_00300
OG0000070	Pral.g_00643	Prac.g_01097
OG0000071	Pral.g_01281	Prac.g_00175
OG0000072	Pral.g_00872	Prac.g_01759
OG0000073	Pral.g_00591	Prac.g_00872
OG0000074	Pral.g_01760	Prac.g_00689
OG0000075	Pral.g_00279	Prac.g_00017
OG0000076	Pral.g_00305	Prac.g_01904, Prac.g_00041
OG0000077	Pral.g_00969	Prac.g_01853
OG0000078	Pral.g_00800	Prac.g_01691
OG0000081	Pral.g_00559	Prac.g_00841
OG0000082	Pral.g_00057	Prac.g_00788
OG0000083	Pral.g_01898	Prac.g_01529, Prac.g_01536
OG0000084	Pral.g_01169	Prac.g_00415
OG0000085	Pral.g_00099	Prac.g_00632
OG0000086	Pral.g_00959	Prac.g_01843
OG0000087	Pral.g_00906	Prac.g_01792
OG0000088	Pral.g_00878	Prac.g_01764
OG0000089	Pral.g_00676	Prac.g_01178
OG0000090	Pral.g_00557	Prac.g_00839
OG0000091	Pral.g_01443	Prac.g_00729
OG0000092	Pral.g_01794	Prac.g_01379
OG0000092	Pral.g_01244	Prac.g_00003
OG0000093	Pral.g_01472	Prac.g_01359
OG0000094	Pral.g_01604	Prac.g_01275
OG0000095	Pral.g_01561	Prac.g_01256
OG0000096	Pral.g_00444	Prac.g_01958, Prac.g_01035, Prac.g_00139
OG0000097	Pral.g_01416	Prac.g_00944
OG0000098	Pral.g_01239	Prac.g_00199
OG0000099	Pral.g_01201	Prac.g_00256
OG0000100	Pral.g_01078	Prac.g_00337
OG0000101	Pral.g_00243	Prac.g_00548
OG0000102	Pral.g_00310	Prac.g_00046
OG0000103	Pral.g_00397	Prac.g_00123
OG0000104	Pral.g_00406	Prac.g_00131
OG0000105	Pral.g_00765	Prac.g_01657
OG0000106	Pral.g_01859	Prac.g_01163
OG0000107	Pral.g_00171	Prac.g_01148
OG0000108	Pral.g_00611	Prac.g_01064
OG0000109	Pral.g_00596	Prac.g_01050
OG0000110	Pral.g_00513	Prac.g_00798
OG0000111	Pral.g_01739	Prac.g_00672
OG0000112	Pral.g_01635	Prac.g_01507
OG0000113	Pral.g_01511	Prac.g_01453
OG0000114	Pral.g_01799	Prac.g_01384
OG0000115	Pral.g_01141	Prac.g_01040
OG0000116	Pral.g_01356	Prac.g_00995
OG0000117	Pral.g_01398, Pral.g_01397	Prac.g_01955
OG0000118	Pral.g_01269	Prac.g_00187
OG0000119	Pral.g_01861, Pral.g_01063	Prac.g_00213
