Orthogroup	Pral	Syah
OG0000001	Pral.g_01236, Pral.g_01671, Pral.g_01296	Syah.g_00726
OG0000002	Pral.g_01549, Pral.g_01554, Pral.g_01340, Pral.g_00430, Pral.g_01342, Pral.g_01337, Pral.g_01052, Pral.g_01764	Syah.g_01829
OG0000004	Pral.g_01743	Syah.g_02017
OG0000004	Pral.g_00809	Syah.g_01967, Syah.g_00901
OG0000005	Pral.g_01075	Syah.g_02363
OG0000006	Pral.g_00797	Syah.g_00683, Syah.g_00915, Syah.g_00681, Syah.g_00918
OG0000007	Pral.g_00593	Syah.g_01016
OG0000007	Pral.g_00107	Syah.g_02384
OG0000008	Pral.g_00020	Syah.g_01994
OG0000008	Pral.g_00021	Syah.g_01993
OG0000009	Pral.g_01065, Pral.g_01163	Syah.g_02457
OG0000010	Pral.g_01832, Pral.g_01848, Pral.g_00618	Syah.g_01220
OG0000013	Pral.g_00712	Syah.g_00831, Syah.g_00817, Syah.g_00822
OG0000014	Pral.g_00732	Syah.g_00127
OG0000014	Pral.g_01261	Syah.g_00323
OG0000015	Pral.g_01813	Syah.g_01511, Syah.g_01510
OG0000017	Pral.g_00484	Syah.g_01159
OG0000017	Pral.g_00491	Syah.g_01152
OG0000018	Pral.g_01346, Pral.g_01516	Syah.g_01264
OG0000019	Pral.g_00790, Pral.g_01344	Syah.g_00669
OG0000022	Pral.g_00044	Syah.g_01881
OG0000023	Pral.g_01687	Syah.g_01330, Syah.g_02167, Syah.g_00930
OG0000024	Pral.g_01895	Syah.g_01990
OG0000025	Pral.g_01523	Syah.g_02082
OG0000026	Pral.g_01012	Syah.g_00340
OG0000027	Pral.g_00039, Pral.g_01036	Syah.g_01541
OG0000028	Pral.g_00719, Pral.g_00053	Syah.g_00141
OG0000029	Pral.g_01890	Syah.g_01292
OG0000030	Pral.g_00316	Syah.g_00264, Syah.g_00265
OG0000031	Pral.g_01193	Syah.g_00322
OG0000032	Pral.g_01121	Syah.g_01246
OG0000033	Pral.g_00874	Syah.g_00078
OG0000034	Pral.g_01271	Syah.g_00048, Syah.g_02213
OG0000035	Pral.g_01165, Pral.g_01161	Syah.g_01293
OG0000037	Pral.g_00938	Syah.g_02541, Syah.g_00956, Syah.g_01365
OG0000038	Pral.g_00356	Syah.g_00508, Syah.g_00506
OG0000039	Pral.g_01755	Syah.g_02074
OG0000041	Pral.g_00155	Syah.g_02271
OG0000042	Pral.g_00313	Syah.g_00261
OG0000044	Pral.g_01888	Syah.g_01194
OG0000045	Pral.g_01322	Syah.g_01872
OG0000046	Pral.g_00711	Syah.g_00816, Syah.g_00823, Syah.g_00830
OG0000047	Pral.g_00672	Syah.g_00847
OG0000048	Pral.g_00768	Syah.g_00637
OG0000053	Pral.g_00066, Pral.g_01139	Syah.g_01267
OG0000054	Pral.g_00482	Syah.g_01982
OG0000055	Pral.g_01670	Syah.g_02071
OG0000055	Pral.g_00082	Syah.g_01878
OG0000057	Pral.g_01740	Syah.g_02020
OG0000058	Pral.g_01202	Syah.g_00152
OG0000059	Pral.g_00195	Syah.g_00737
OG0000061	Pral.g_01367, Pral.g_00639	Syah.g_02158
OG0000062	Pral.g_01073	Syah.g_02365
OG0000063	Pral.g_00435	Syah.g_00337
OG0000064	Pral.g_00980	Syah.g_01353, Syah.g_02357
OG0000065	Pral.g_00940	Syah.g_02443, Syah.g_02537
OG0000066	Pral.g_00551	Syah.g_01073
OG0000067	Pral.g_01488	Syah.g_01779
OG0000068	Pral.g_01222	Syah.g_00986
OG0000069	Pral.g_01114, Pral.g_01164	Syah.g_01715
OG0000070	Pral.g_00643	Syah.g_02217
OG0000071	Pral.g_01281	Syah.g_02199
OG0000072	Pral.g_00872	Syah.g_00080
OG0000073	Pral.g_00591	Syah.g_01018
OG0000074	Pral.g_01818, Pral.g_01760	Syah.g_00951
OG0000075	Pral.g_00279	Syah.g_00186
OG0000076	Pral.g_00305	Syah.g_00250
OG0000077	Pral.g_00969	Syah.g_02494
OG0000079	Pral.g_00787	Syah.g_00665
OG0000081	Pral.g_00559	Syah.g_00922
OG0000082	Pral.g_00057	Syah.g_01136
OG0000084	Pral.g_01169	Syah.g_01296
OG0000085	Pral.g_00099	Syah.g_02372
OG0000086	Pral.g_00959	Syah.g_02511
OG0000087	Pral.g_00906	Syah.g_00038
OG0000088	Pral.g_00878	Syah.g_00074
OG0000089	Pral.g_00676	Syah.g_00888
OG0000090	Pral.g_00557	Syah.g_01064
OG0000091	Pral.g_01443	Syah.g_01927
OG0000093	Pral.g_01472	Syah.g_01794
OG0000097	Pral.g_01416	Syah.g_01400
OG0000098	Pral.g_01239	Syah.g_00723
OG0000099	Pral.g_01201	Syah.g_00144
OG0000100	Pral.g_01078	Syah.g_01747
OG0000101	Pral.g_00243	Syah.g_00785
OG0000102	Pral.g_00310	Syah.g_00255
OG0000103	Pral.g_00397	Syah.g_00391
OG0000104	Pral.g_00406	Syah.g_00377
OG0000105	Pral.g_00765	Syah.g_00632
OG0000106	Pral.g_01859	Syah.g_01544
OG0000107	Pral.g_00171	Syah.g_00688
OG0000108	Pral.g_00611	Syah.g_00997
OG0000109	Pral.g_00596	Syah.g_01012
OG0000110	Pral.g_00513	Syah.g_01124
OG0000112	Pral.g_01635	Syah.g_01613
OG0000113	Pral.g_01511	Syah.g_01752
OG0000114	Pral.g_01799	Syah.g_01529
OG0000115	Pral.g_01141	Syah.g_01269
OG0000116	Pral.g_01356	Syah.g_02175
OG0000117	Pral.g_01398, Pral.g_01397, Pral.g_01396, Pral.g_01881	Syah.g_01425
OG0000118	Pral.g_01269	Syah.g_01173
OG0000120	Pral.g_00702	Syah.g_00145
OG0000121	Pral.g_01159	Syah.g_01287
OG0000122	Pral.g_01116	Syah.g_01900
OG0000123	Pral.g_00250	Syah.g_00793
OG0000124	Pral.g_00322	Syah.g_00272
OG0000125	Pral.g_00358	Syah.g_00504
OG0000126	Pral.g_00405	Syah.g_00379
OG0000128	Pral.g_00421	Syah.g_00361
OG0000129	Pral.g_01000	Syah.g_00516
OG0000130	Pral.g_00978	Syah.g_02483
OG0000131	Pral.g_00900	Syah.g_00052
OG0000132	Pral.g_00880	Syah.g_00072
OG0000133	Pral.g_00717	Syah.g_01618
OG0000134	Pral.g_00674	Syah.g_00891
OG0000135	Pral.g_01034	Syah.g_00465
OG0000136	Pral.g_00653	Syah.g_02227
OG0000137	Pral.g_00617	Syah.g_01221
OG0000138	Pral.g_00595	Syah.g_01013
OG0000139	Pral.g_00553	Syah.g_01070
OG0000140	Pral.g_00552	Syah.g_01071
OG0000141	Pral.g_00481	Syah.g_01981
OG0000142	Pral.g_01436	Syah.g_01935
OG0000143	Pral.g_01440	Syah.g_01931
OG0000144	Pral.g_01453	Syah.g_01824
OG0000145	Pral.g_01037	Syah.g_01019
OG0000146	Pral.g_01636	Syah.g_01612
OG0000147	Pral.g_01637	Syah.g_01611
OG0000148	Pral.g_01505	Syah.g_01758
OG0000149	Pral.g_01535	Syah.g_02096
OG0000150	Pral.g_01545	Syah.g_01980
OG0000151	Pral.g_01789	Syah.g_01820
OG0000152	Pral.g_01627	Syah.g_01622
OG0000153	Pral.g_01578	Syah.g_01656
OG0000154	Pral.g_01595	Syah.g_01682
OG0000155	Pral.g_01390	Syah.g_02123
OG0000156	Pral.g_01292	Syah.g_02185
OG0000157	Pral.g_01291	Syah.g_02186
OG0000158	Pral.g_00287	Syah.g_00204
OG0000160	Pral.g_01160	Syah.g_01289
OG0000161	Pral.g_01154	Syah.g_01282
OG0000162	Pral.g_01148	Syah.g_01276
OG0000163	Pral.g_01106	Syah.g_02315
OG0000164	Pral.g_00131	Syah.g_02423
OG0000165	Pral.g_00138	Syah.g_02251
OG0000166	Pral.g_00206	Syah.g_00747
OG0000167	Pral.g_00277	Syah.g_00183
OG0000168	Pral.g_00288	Syah.g_00205
OG0000169	Pral.g_00298	Syah.g_00237
OG0000170	Pral.g_00301	Syah.g_00245
OG0000171	Pral.g_00321	Syah.g_00271
OG0000172	Pral.g_00328	Syah.g_00293
OG0000173	Pral.g_00343	Syah.g_00313
OG0000174	Pral.g_00375	Syah.g_00461
OG0000175	Pral.g_00387	Syah.g_00402
OG0000176	Pral.g_00414	Syah.g_00369
OG0000177	Pral.g_00415	Syah.g_00368
OG0000178	Pral.g_00416	Syah.g_00367
OG0000179	Pral.g_01028	Syah.g_00355
OG0000180	Pral.g_01027	Syah.g_00354
