Orthogroup	Pral	Syaj
OG0000001	Pral.g_01236, Pral.g_01671, Pral.g_01296	Syaj.g_02674
OG0000002	Pral.g_01549, Pral.g_01554, Pral.g_01340, Pral.g_00430, Pral.g_01342, Pral.g_01337, Pral.g_01052, Pral.g_01764	Syaj.g_02667
OG0000004	Pral.g_01743	Syaj.g_00441
OG0000004	Pral.g_00809	Syaj.g_01314, Syaj.g_02853
OG0000005	Pral.g_01075	Syaj.g_01698
OG0000006	Pral.g_00797	Syaj.g_02635
OG0000007	Pral.g_00593	Syaj.g_00091
OG0000007	Pral.g_00107	Syaj.g_01721
OG0000008	Pral.g_00020	Syaj.g_00496
OG0000008	Pral.g_00021	Syaj.g_00497
OG0000009	Pral.g_01065, Pral.g_01163	Syaj.g_01069
OG0000010	Pral.g_01832, Pral.g_01848, Pral.g_00618	Syaj.g_01445
OG0000012	Pral.g_00015	Syaj.g_00003, Syaj.g_01793, Syaj.g_00831
OG0000013	Pral.g_00712	Syaj.g_02782, Syaj.g_02769, Syaj.g_02774
OG0000014	Pral.g_00732	Syaj.g_02522
OG0000014	Pral.g_01261	Syaj.g_02344
OG0000015	Pral.g_01813	Syaj.g_00725, Syaj.g_02659
OG0000017	Pral.g_00484	Syaj.g_00255
OG0000017	Pral.g_00491	Syaj.g_00248
OG0000018	Pral.g_01346, Pral.g_01516	Syaj.g_01413
OG0000019	Pral.g_00790, Pral.g_01344	Syaj.g_02613
OG0000021	Pral.g_01667	Syaj.g_00982
OG0000021	Pral.g_01738	Syaj.g_00042
OG0000022	Pral.g_00044	Syaj.g_01220
OG0000023	Pral.g_01687	Syaj.g_00829, Syaj.g_01791
OG0000024	Pral.g_01895	Syaj.g_00500
OG0000025	Pral.g_01523	Syaj.g_00383
OG0000026	Pral.g_01012	Syaj.g_02298
OG0000027	Pral.g_00039, Pral.g_01036	Syaj.g_00396
OG0000028	Pral.g_00719, Pral.g_00053	Syaj.g_02506
OG0000029	Pral.g_01890	Syaj.g_01229
OG0000030	Pral.g_00316	Syaj.g_02396, Syaj.g_02395
OG0000032	Pral.g_01121	Syaj.g_01432
OG0000033	Pral.g_00874	Syaj.g_01990
OG0000034	Pral.g_01271	Syaj.g_01959
OG0000035	Pral.g_01165, Pral.g_01161	Syaj.g_01378
OG0000037	Pral.g_00938	Syaj.g_01891, Syaj.g_02902
OG0000038	Pral.g_00356	Syaj.g_02115
OG0000039	Pral.g_01755	Syaj.g_00392, Syaj.g_00275
OG0000041	Pral.g_00155	Syaj.g_01602
OG0000042	Pral.g_00313	Syaj.g_02399
OG0000043	Pral.g_01347	Syaj.g_01247
OG0000044	Pral.g_01888	Syaj.g_01344
OG0000046	Pral.g_00711	Syaj.g_02768, Syaj.g_02775, Syaj.g_02781
OG0000047	Pral.g_00672	Syaj.g_02799
OG0000048	Pral.g_00768	Syaj.g_02578
OG0000050	Pral.g_01829	Syaj.g_01242
OG0000053	Pral.g_00066, Pral.g_01139	Syaj.g_01409
OG0000054	Pral.g_00482	Syaj.g_01341
OG0000055	Pral.g_01670	Syaj.g_00394
OG0000056	Pral.g_01041	Syaj.g_00985, Syaj.g_02864, Syaj.g_01794
OG0000057	Pral.g_01740	Syaj.g_00438
OG0000058	Pral.g_01202	Syaj.g_02495
OG0000059	Pral.g_00195	Syaj.g_02686
OG0000061	Pral.g_01367, Pral.g_00639	Syaj.g_00302
OG0000062	Pral.g_01073	Syaj.g_01700
OG0000063	Pral.g_00435	Syaj.g_02302
OG0000064	Pral.g_00980	Syaj.g_00041, Syaj.g_01253
OG0000065	Pral.g_00940	Syaj.g_00007, Syaj.g_01887
OG0000066	Pral.g_00551	Syaj.g_00157
OG0000067	Pral.g_01488	Syaj.g_01023
OG0000068	Pral.g_01222	Syaj.g_00059
OG0000070	Pral.g_00643	Syaj.g_01529
OG0000071	Pral.g_01281	Syaj.g_01511
OG0000072	Pral.g_00872	Syaj.g_01992
OG0000073	Pral.g_00591	Syaj.g_00093
OG0000075	Pral.g_00279	Syaj.g_02457
OG0000076	Pral.g_00305	Syaj.g_02417
OG0000077	Pral.g_00969	Syaj.g_01831
OG0000078	Pral.g_00800	Syaj.g_02880
OG0000079	Pral.g_00787	Syaj.g_02609
OG0000081	Pral.g_00559	Syaj.g_02888
OG0000082	Pral.g_00057	Syaj.g_00229
OG0000084	Pral.g_01169	Syaj.g_01375
OG0000085	Pral.g_00099	Syaj.g_01707
OG0000086	Pral.g_00959	Syaj.g_01848
OG0000087	Pral.g_00906	Syaj.g_01945
OG0000088	Pral.g_00878	Syaj.g_01986
OG0000089	Pral.g_00676	Syaj.g_02829, Syaj.g_01915
OG0000090	Pral.g_00557	Syaj.g_00144
OG0000091	Pral.g_01443	Syaj.g_01275
OG0000092	Pral.g_01794, Pral.g_01244	Syaj.g_00339
OG0000093	Pral.g_01472	Syaj.g_01042
OG0000097	Pral.g_01416	Syaj.g_00589
OG0000098	Pral.g_01239	Syaj.g_02671
OG0000099	Pral.g_01201	Syaj.g_02503
OG0000100	Pral.g_01078	Syaj.g_00987
OG0000101	Pral.g_00243	Syaj.g_02738
OG0000102	Pral.g_00310	Syaj.g_02411
OG0000103	Pral.g_00397	Syaj.g_02243
OG0000104	Pral.g_00406	Syaj.g_02258
OG0000105	Pral.g_00765	Syaj.g_02573
OG0000106	Pral.g_01859	Syaj.g_01130
OG0000107	Pral.g_00171	Syaj.g_02637
OG0000108	Pral.g_00611	Syaj.g_00072
OG0000109	Pral.g_00596	Syaj.g_00087
OG0000110	Pral.g_00513	Syaj.g_00215
OG0000111	Pral.g_01739	Syaj.g_00437
OG0000112	Pral.g_01635	Syaj.g_00907
OG0000113	Pral.g_01511	Syaj.g_00992
OG0000114	Pral.g_01799	Syaj.g_00741
OG0000115	Pral.g_01141	Syaj.g_01402
OG0000116	Pral.g_01356	Syaj.g_00289
OG0000117	Pral.g_01398, Pral.g_01397, Pral.g_01396, Pral.g_01881	Syaj.g_00637
OG0000118	Pral.g_01269	Syaj.g_00267
OG0000119	Pral.g_01861, Pral.g_01063	Syaj.g_00317
OG0000120	Pral.g_00702	Syaj.g_02502
OG0000121	Pral.g_01159	Syaj.g_01383
OG0000122	Pral.g_01116	Syaj.g_01250
OG0000123	Pral.g_00250	Syaj.g_02745
OG0000124	Pral.g_00322	Syaj.g_02388
OG0000125	Pral.g_00358	Syaj.g_02117
OG0000126	Pral.g_00405	Syaj.g_02256
OG0000128	Pral.g_00421	Syaj.g_02274
OG0000129	Pral.g_01000	Syaj.g_02106
OG0000130	Pral.g_00978	Syaj.g_01818
OG0000131	Pral.g_00900	Syaj.g_01964
OG0000132	Pral.g_00880	Syaj.g_01984, Syaj.g_00688
OG0000133	Pral.g_00717	Syaj.g_00902
OG0000134	Pral.g_00674	Syaj.g_02832
OG0000135	Pral.g_01034	Syaj.g_02167
OG0000136	Pral.g_00653	Syaj.g_01550
OG0000137	Pral.g_00617	Syaj.g_01444
OG0000138	Pral.g_00595	Syaj.g_00088
OG0000139	Pral.g_00553	Syaj.g_00150
OG0000140	Pral.g_00552	Syaj.g_00153
OG0000141	Pral.g_00481	Syaj.g_01340
OG0000142	Pral.g_01436	Syaj.g_01283
OG0000143	Pral.g_01440	Syaj.g_01279
OG0000144	Pral.g_01453	Syaj.g_01151
OG0000145	Pral.g_01037	Syaj.g_00094
OG0000146	Pral.g_01636	Syaj.g_00908
OG0000147	Pral.g_01637	Syaj.g_00909
OG0000148	Pral.g_01505	Syaj.g_01003
OG0000149	Pral.g_01535	Syaj.g_00369
OG0000150	Pral.g_01545	Syaj.g_01339, Syaj.g_00154
OG0000151	Pral.g_01789	Syaj.g_01074
