Orthogroup	Pral	Prah
OG0000000	Pral.g_00037	Prah.g_01348
OG0000001	Pral.g_01236, Pral.g_01671, Pral.g_01296	Prah.g_00324, Prah.g_01343
OG0000002	Pral.g_01549, Pral.g_01554	Prah.g_00562
OG0000002	Pral.g_01340, Pral.g_00430, Pral.g_01342, Pral.g_01337, Pral.g_01052, Pral.g_01764	Prah.g_01226
OG0000004	Pral.g_01743	Prah.g_01022
OG0000004	Pral.g_00809	Prah.g_01413
OG0000005	Pral.g_01075	Prah.g_01652
OG0000006	Pral.g_00797	Prah.g_00475, Prah.g_01767
OG0000007	Pral.g_00593	Prah.g_01546
OG0000007	Pral.g_00107	Prah.g_01676
OG0000008	Pral.g_00020	Prah.g_00970
OG0000008	Pral.g_00021	Prah.g_00969
OG0000010	Pral.g_01832, Pral.g_01848, Pral.g_00618	Prah.g_00311
OG0000013	Pral.g_00712	Prah.g_01956
OG0000014	Pral.g_00732	Prah.g_02171
OG0000014	Pral.g_00637	Prah.g_00101
OG0000015	Pral.g_01813	Prah.g_01155, Prah.g_00576
OG0000017	Pral.g_00484	Prah.g_01397
OG0000017	Pral.g_00491	Prah.g_01405
OG0000018	Pral.g_01346, Pral.g_01516	Prah.g_00378
OG0000020	Pral.g_01891	Prah.g_01100
OG0000021	Pral.g_01667	Prah.g_01108, Prah.g_01112, Prah.g_01117
OG0000021	Pral.g_01738	Prah.g_01410
OG0000022	Pral.g_00044	Prah.g_00170
OG0000023	Pral.g_01687	Prah.g_00688
OG0000024	Pral.g_01895	Prah.g_01043
OG0000025	Pral.g_01523	Prah.g_00604
OG0000026	Pral.g_01012	Prah.g_00038
OG0000028	Pral.g_00719	Prah.g_02184
OG0000029	Pral.g_01890	Prah.g_01972
OG0000030	Pral.g_00316	Prah.g_00132, Prah.g_00131
OG0000032	Pral.g_01121	Prah.g_00358
OG0000033	Pral.g_00874	Prah.g_02307
OG0000034	Pral.g_01271	Prah.g_01376
OG0000035	Pral.g_01165, Pral.g_01161	Prah.g_00408
OG0000037	Pral.g_00938	Prah.g_01901
OG0000038	Pral.g_00356	Prah.g_02494, Prah.g_02496
OG0000039	Pral.g_01755	Prah.g_01758, Prah.g_02382
OG0000041	Pral.g_00155	Prah.g_01737
OG0000042	Pral.g_00313	Prah.g_00135, Prah.g_01256
OG0000045	Pral.g_01322	Prah.g_01837
OG0000046	Pral.g_00711	Prah.g_01955
OG0000047	Pral.g_00672	Prah.g_00321, Prah.g_00322
OG0000048	Pral.g_00768	Prah.g_02122
OG0000051	Pral.g_00095	Prah.g_01166
OG0000053	Pral.g_00066, Pral.g_01139	Prah.g_00381
OG0000054	Pral.g_00482	Prah.g_01394
OG0000055	Pral.g_01670	Prah.g_00942
OG0000056	Pral.g_01041	Prah.g_00543, Prah.g_01082, Prah.g_00342
OG0000057	Pral.g_01740	Prah.g_01027
OG0000061	Pral.g_01367	Prah.g_00104
OG0000062	Pral.g_01073	Prah.g_01654
OG0000063	Pral.g_00435	Prah.g_00042
OG0000065	Pral.g_00940	Prah.g_01897
OG0000066	Pral.g_00551	Prah.g_01485
OG0000067	Pral.g_01488	Prah.g_00667
OG0000068	Pral.g_01222	Prah.g_01576
OG0000070	Pral.g_00643	Prah.g_00252
OG0000071	Pral.g_01281	Prah.g_01364
OG0000072	Pral.g_00872	Prah.g_02309
OG0000073	Pral.g_00591	Prah.g_01544
OG0000075	Pral.g_00279	Prah.g_02232
OG0000076	Pral.g_00305	Prah.g_00150
OG0000077	Pral.g_00969	Prah.g_01850
OG0000078	Pral.g_00800	Prah.g_01773
OG0000079	Pral.g_00787	Prah.g_02090, Prah.g_01868
OG0000081	Pral.g_00559	Prah.g_01035
OG0000082	Pral.g_00057	Prah.g_01427
OG0000084	Pral.g_01169	Prah.g_00412
OG0000085	Pral.g_00099	Prah.g_01666
