Orthogroup	Pral	Syas
OG0000004	Pral.g_01743	Syas.g_00176
OG0000004	Pral.g_00809	Syas.g_00509, Syas.g_00174, Syas.g_00311, Syas.g_00072
OG0000005	Pral.g_01075	Syas.g_02704
OG0000006	Pral.g_00797	Syas.g_00942, Syas.g_01684, Syas.g_02565, Syas.g_00720
OG0000007	Pral.g_00593	Syas.g_01232
OG0000007	Pral.g_00107	Syas.g_02681
OG0000008	Pral.g_00020	Syas.g_00886
OG0000008	Pral.g_00021	Syas.g_00887
OG0000010	Pral.g_01832, Pral.g_01848, Pral.g_00618	Syas.g_01334
OG0000013	Pral.g_00712	Syas.g_00158, Syas.g_01552, Syas.g_01555, Syas.g_01557
OG0000014	Pral.g_00732	Syas.g_01816
OG0000017	Pral.g_00484	Syas.g_00856
OG0000017	Pral.g_00491	Syas.g_00849
OG0000018	Pral.g_01346, Pral.g_01516	Syas.g_01290
OG0000019	Pral.g_00790, Pral.g_01344	Syas.g_01696
OG0000022	Pral.g_00044	Syas.g_02758
OG0000025	Pral.g_01523	Syas.g_00231
OG0000026	Pral.g_01012	Syas.g_02070
OG0000027	Pral.g_00039, Pral.g_01036	Syas.g_01480
OG0000028	Pral.g_00719, Pral.g_00053	Syas.g_01793
OG0000030	Pral.g_00316	Syas.g_01644, Syas.g_01645
OG0000033	Pral.g_00874	Syas.g_02328
OG0000034	Pral.g_01271	Syas.g_02371, Syas.g_02838
OG0000035	Pral.g_01165, Pral.g_01161	Syas.g_02814, Syas.g_02818
OG0000037	Pral.g_00938	Syas.g_01479, Syas.g_00147, Syas.g_01928
OG0000038	Pral.g_00356	Syas.g_01885, Syas.g_01887
OG0000039	Pral.g_01755	Syas.g_02795
OG0000042	Pral.g_00313	Syas.g_01121, Syas.g_02147
OG0000044	Pral.g_01888	Syas.g_00894, Syas.g_02453
OG0000046	Pral.g_00711	Syas.g_01553, Syas.g_01556, Syas.g_01558
OG0000048	Pral.g_00768	Syas.g_01734
OG0000051	Pral.g_00095	Syas.g_01445
OG0000053	Pral.g_00066, Pral.g_01139	Syas.g_01287
OG0000054	Pral.g_00482	Syas.g_00961
OG0000055	Pral.g_00082	Syas.g_00203
OG0000058	Pral.g_01202	Syas.g_01151
OG0000061	Pral.g_01367, Pral.g_00639	Syas.g_01184
OG0000062	Pral.g_01073	Syas.g_02702, Syas.g_00070
OG0000063	Pral.g_00435	Syas.g_02074
OG0000064	Pral.g_00980	Syas.g_02423, Syas.g_00946
OG0000065	Pral.g_00940	Syas.g_02420
OG0000066	Pral.g_00551	Syas.g_00094
OG0000067	Pral.g_01488	Syas.g_00596
OG0000068	Pral.g_01222	Syas.g_00969, Syas.g_01261
OG0000070	Pral.g_00643	Syas.g_00173
OG0000072	Pral.g_00872	Syas.g_02326, Syas.g_01524
OG0000073	Pral.g_00591	Syas.g_01230
OG0000075	Pral.g_00279	Syas.g_01921, Syas.g_02194
OG0000076	Pral.g_00305	Syas.g_02156
OG0000078	Pral.g_00800	Syas.g_02308
OG0000079	Pral.g_00787	Syas.g_01699
OG0000081	Pral.g_00559	Syas.g_00391
