Orthogroup	Pral	Syao
OG0000001	Pral.g_01236, Pral.g_01671, Pral.g_01296	Syao.g_00314
OG0000004	Pral.g_01743	Syao.g_02374
OG0000004	Pral.g_00809	Syao.g_01271, Syao.g_01007
OG0000005	Pral.g_01075	Syao.g_01578
OG0000006	Pral.g_00797	Syao.g_01518
OG0000007	Pral.g_00593	Syao.g_00105
OG0000007	Pral.g_00107	Syao.g_01554
OG0000008	Pral.g_00021	Syao.g_01321
OG0000010	Pral.g_01832, Pral.g_01848, Pral.g_00618	Syao.g_02683
OG0000011	Pral.g_00064	Syao.g_01282
OG0000012	Pral.g_00015	Syao.g_01193
OG0000013	Pral.g_00712	Syao.g_01222, Syao.g_01844, Syao.g_01910
OG0000014	Pral.g_00732	Syao.g_02027
OG0000015	Pral.g_01813	Syao.g_00302
OG0000017	Pral.g_00484	Syao.g_01064
OG0000017	Pral.g_00491	Syao.g_00997
OG0000018	Pral.g_01346, Pral.g_01516	Syao.g_00071
OG0000019	Pral.g_00790, Pral.g_01344	Syao.g_02108
OG0000021	Pral.g_01667, Pral.g_01738	Syao.g_01002
OG0000022	Pral.g_00044	Syao.g_01218
OG0000023	Pral.g_01687	Syao.g_01266
OG0000025	Pral.g_01523	Syao.g_00436, Syao.g_00437
OG0000026	Pral.g_01012	Syao.g_02234
OG0000027	Pral.g_00039, Pral.g_01036	Syao.g_00202
OG0000028	Pral.g_00719, Pral.g_00053	Syao.g_02012
OG0000030	Pral.g_00316	Syao.g_02189, Syao.g_02188
OG0000031	Pral.g_01193	Syao.g_01083
OG0000032	Pral.g_01121	Syao.g_00090
OG0000033	Pral.g_00874	Syao.g_02507
OG0000035	Pral.g_01165, Pral.g_01161	Syao.g_01486
OG0000037	Pral.g_00938	Syao.g_00374
OG0000038	Pral.g_00356	Syao.g_02440, Syao.g_02442
OG0000039	Pral.g_01755	Syao.g_00704
OG0000042	Pral.g_00313	Syao.g_00019, Syao.g_01941
OG0000045	Pral.g_01322	Syao.g_01214, Syao.g_00148
OG0000046	Pral.g_00711	Syao.g_01845, Syao.g_01909
OG0000047	Pral.g_00672	Syao.g_01899
OG0000048	Pral.g_00768	Syao.g_02077
OG0000051	Pral.g_00095	Syao.g_01261
OG0000052	Pral.g_00987	Syao.g_01972
OG0000053	Pral.g_00066, Pral.g_01139	Syao.g_00067
OG0000055	Pral.g_00082	Syao.g_00498
OG0000058	Pral.g_01202	Syao.g_01080
OG0000059	Pral.g_00195	Syao.g_01959
OG0000061	Pral.g_01367, Pral.g_00639	Syao.g_00123
OG0000062	Pral.g_01073	Syao.g_01576
OG0000063	Pral.g_00435	Syao.g_02230
OG0000064	Pral.g_00980	Syao.g_02607, Syao.g_00495, Syao.g_01462, Syao.g_02605, Syao.g_01898
OG0000065	Pral.g_00940	Syao.g_02600
OG0000066	Pral.g_00551	Syao.g_01422
OG0000067	Pral.g_01488	Syao.g_00756
OG0000068	Pral.g_01222	Syao.g_00868, Syao.g_00036
OG0000069	Pral.g_01114, Pral.g_01164	Syao.g_00313
OG0000070	Pral.g_00643	Syao.g_00330
OG0000071	Pral.g_01281	Syao.g_01433
OG0000072	Pral.g_00872	Syao.g_02509, Syao.g_01749
OG0000073	Pral.g_00591	Syao.g_00103
OG0000075	Pral.g_00279	Syao.g_02257
OG0000076	Pral.g_00305	Syao.g_01949
OG0000079	Pral.g_00787	Syao.g_00574, Syao.g_00010, Syao.g_00581, Syao.g_01145, Syao.g_02105
OG0000082	Pral.g_00057	Syao.g_01035
OG0000084	Pral.g_01169	Syao.g_02606
OG0000085	Pral.g_00099	Syao.g_01569
OG0000086	Pral.g_00959	Syao.g_02653, Syao.g_01240
OG0000087	Pral.g_00906	Syao.g_02555
OG0000088	Pral.g_00878	Syao.g_02503
OG0000089	Pral.g_00676	Syao.g_01716
OG0000090	Pral.g_00557	Syao.g_01412
OG0000091	Pral.g_01443	Syao.g_00902
OG0000092	Pral.g_01794, Pral.g_01244	Syao.g_00656
OG0000093	Pral.g_01472	Syao.g_00739
OG0000097	Pral.g_01416	Syao.g_00973
OG0000098	Pral.g_01239	Syao.g_01374
OG0000099	Pral.g_01201	Syao.g_02019
OG0000100	Pral.g_01078	Syao.g_00787
OG0000101	Pral.g_00243	Syao.g_01840
OG0000102	Pral.g_00310	Syao.g_01945
OG0000103	Pral.g_00397	Syao.g_02340
OG0000104	Pral.g_00406	Syao.g_02157
OG0000105	Pral.g_00765	Syao.g_02071, Syao.g_02072
OG0000106	Pral.g_01859	Syao.g_01385
OG0000107	Pral.g_00171	Syao.g_01935
OG0000108	Pral.g_00611	Syao.g_00028
OG0000109	Pral.g_00596	Syao.g_00110
