Orthogroup	Pral	Pran
OG0000000	Pral.g_01331	Pran.g_00582
OG0000000	Pral.g_00037	Pran.g_01423, Pran.g_00931, Pran.g_00601
OG0000001	Pral.g_01296	Pran.g_01395
OG0000002	Pral.g_01340, Pral.g_00430, Pral.g_01342, Pral.g_01337, Pral.g_01052, Pral.g_01764	Pran.g_01500
OG0000004	Pral.g_01743	Pran.g_01483
OG0000004	Pral.g_00809	Pran.g_00200
OG0000005	Pral.g_01075	Pran.g_00657
OG0000006	Pral.g_00797	Pran.g_01951
OG0000007	Pral.g_00593	Pran.g_01681
OG0000007	Pral.g_00107	Pran.g_00970
OG0000009	Pral.g_01065, Pral.g_01163	Pran.g_00615
OG0000010	Pral.g_01832, Pral.g_01848, Pral.g_00618	Pran.g_01704
OG0000011	Pral.g_00064	Pran.g_01384
OG0000012	Pral.g_00015	Pran.g_01555
OG0000013	Pral.g_00712	Pran.g_01867
OG0000014	Pral.g_00732	Pran.g_01888
OG0000014	Pral.g_00637, Pral.g_01261	Pran.g_00755, Pran.g_00754
OG0000015	Pral.g_01813	Pran.g_01394
OG0000017	Pral.g_00491	Pran.g_01580
OG0000018	Pral.g_01346	Pran.g_00078
OG0000018	Pral.g_01516	Pran.g_01316
OG0000019	Pral.g_00790	Pran.g_01943
OG0000019	Pral.g_01344	Pran.g_01363
OG0000020	Pral.g_01038	Pran.g_00117
OG0000020	Pral.g_01891	Pran.g_01804
OG0000021	Pral.g_01667	Pran.g_01829
OG0000022	Pral.g_00044	Pran.g_01401
OG0000023	Pral.g_01687	Pran.g_01834
OG0000024	Pral.g_01895	Pran.g_01420
OG0000025	Pral.g_01523	Pran.g_01309, Pran.g_01863
OG0000026	Pral.g_01012	Pran.g_00930, Pran.g_00393, Pran.g_00168
OG0000027	Pral.g_01036	Pran.g_00583
OG0000028	Pral.g_00719	Pran.g_01874
OG0000029	Pral.g_01890	Pran.g_01410
OG0000030	Pral.g_00316	Pran.g_01170
OG0000031	Pral.g_01193	Pran.g_00753
OG0000033	Pral.g_00874	Pran.g_00263
OG0000034	Pral.g_01271	Pran.g_00866
