Orthogroup	Pral	Praq
OG0000000	Pral.g_01331	Praq.g_00117
OG0000000	Pral.g_00037	Praq.g_01956, Praq.g_00026
OG0000001	Pral.g_01296	Praq.g_01394, Praq.g_01393
OG0000002	Pral.g_01549, Pral.g_01554	Praq.g_00168
OG0000002	Pral.g_01340, Pral.g_00430, Pral.g_01342, Pral.g_01337, Pral.g_01052, Pral.g_01764	Praq.g_00807
OG0000004	Pral.g_01743	Praq.g_00824
OG0000004	Pral.g_00809	Praq.g_01770
OG0000005	Pral.g_01075	Praq.g_00370
OG0000006	Pral.g_00797	Praq.g_01761
OG0000007	Pral.g_00593	Praq.g_01105
OG0000007	Pral.g_00107	Praq.g_00497
OG0000008	Pral.g_00020	Praq.g_00071
OG0000010	Pral.g_01832, Pral.g_01848, Pral.g_00618	Praq.g_00525
OG0000011	Pral.g_00064	Praq.g_00100
OG0000012	Pral.g_00015	Praq.g_00979
OG0000013	Pral.g_00712	Praq.g_01675
OG0000014	Pral.g_00732	Praq.g_01696
OG0000015	Pral.g_01813	Praq.g_00065
OG0000017	Pral.g_00491	Praq.g_01004
OG0000018	Pral.g_01346	Praq.g_01314
OG0000018	Pral.g_01516	Praq.g_01425
OG0000019	Pral.g_00790	Praq.g_01753
OG0000019	Pral.g_01344	Praq.g_00649
OG0000020	Pral.g_01038	Praq.g_01281
OG0000020	Pral.g_00443, Pral.g_01883	Praq.g_00073
OG0000020	Pral.g_01891	Praq.g_00041, Praq.g_00080, Praq.g_00547
OG0000021	Pral.g_01667	Praq.g_01179
OG0000022	Pral.g_00044	Praq.g_00635
OG0000023	Pral.g_01687	Praq.g_01184
OG0000024	Pral.g_01895	Praq.g_00618
OG0000025	Pral.g_01523	Praq.g_01432, Praq.g_01671
OG0000026	Pral.g_01012	Praq.g_01234, Praq.g_01633
OG0000027	Pral.g_01036	Praq.g_00521
OG0000028	Pral.g_00719	Praq.g_01682
OG0000028	Pral.g_00053	Praq.g_00103
OG0000029	Pral.g_01890	Praq.g_00627
OG0000030	Pral.g_00316	Praq.g_00772
OG0000031	Pral.g_01193	Praq.g_00209
OG0000033	Pral.g_00874	Praq.g_01833
OG0000034	Pral.g_01271	Praq.g_00143
OG0000035	Pral.g_01161	Praq.g_00294
OG0000037	Pral.g_00938	Praq.g_01894
OG0000038	Pral.g_00356	Praq.g_00716
OG0000039	Pral.g_01755	Praq.g_00815
OG0000041	Pral.g_00155	Praq.g_00451
OG0000042	Pral.g_00313	Praq.g_00770
OG0000043	Pral.g_01347	Praq.g_01469
OG0000044	Pral.g_01888	Praq.g_00058
OG0000045	Pral.g_01322	Praq.g_01172
OG0000047	Pral.g_00672	Praq.g_01137
OG0000048	Pral.g_00768	Praq.g_01169
OG0000053	Pral.g_00066, Pral.g_01139	Praq.g_01246, Praq.g_00314
OG0000054	Pral.g_00482	Praq.g_00996
OG0000055	Pral.g_01670	Praq.g_00650
OG0000057	Pral.g_01740	Praq.g_00827
OG0000058	Pral.g_01202	Praq.g_00218, Praq.g_00271
