Orthogroup	Pral	Prax
OG0000000	Pral.g_01331	Prax.g_01917
OG0000000	Pral.g_00037	Prax.g_01608, Prax.g_00496
OG0000001	Pral.g_01296	Prax.g_00522
OG0000002	Pral.g_01549, Pral.g_01554	Prax.g_01870
OG0000002	Pral.g_01340, Pral.g_00430, Pral.g_01342, Pral.g_01337, Pral.g_01052, Pral.g_01764	Prax.g_00964
OG0000004	Pral.g_01743	Prax.g_00947
OG0000004	Pral.g_00809	Prax.g_00986
OG0000005	Pral.g_01075	Prax.g_01652
OG0000006	Pral.g_00797	Prax.g_01972
OG0000007	Pral.g_00593	Prax.g_00704
OG0000007	Pral.g_00107	Prax.g_01559
OG0000009	Pral.g_01065, Pral.g_01163	Prax.g_01950
OG0000010	Pral.g_01832, Pral.g_01848, Pral.g_00618	Prax.g_00728
OG0000011	Pral.g_00064	Prax.g_00454
OG0000012	Pral.g_00015	Prax.g_00082
OG0000013	Pral.g_00712	Prax.g_00846
OG0000014	Pral.g_00732	Prax.g_00869
OG0000014	Pral.g_01261	Prax.g_01763
OG0000015	Pral.g_01813	Prax.g_00523, Prax.g_00410
OG0000017	Pral.g_00491	Prax.g_00057
OG0000018	Pral.g_01346	Prax.g_00181
OG0000018	Pral.g_01516	Prax.g_00346
OG0000019	Pral.g_00790	Prax.g_00926
OG0000019	Pral.g_01344	Prax.g_00393
OG0000020	Pral.g_01038	Prax.g_00138
OG0000021	Pral.g_01667	Prax.g_01587, Prax.g_00808
OG0000022	Pral.g_00044	Prax.g_00415
OG0000023	Pral.g_01687	Prax.g_00813
OG0000024	Pral.g_01895	Prax.g_00432
OG0000025	Pral.g_01523	Prax.g_00338, Prax.g_00842
OG0000026	Pral.g_01012	Prax.g_00458, Prax.g_00282, Prax.g_01220
OG0000027	Pral.g_01036	Prax.g_01916
OG0000028	Pral.g_00719	Prax.g_00855
OG0000029	Pral.g_01890	Prax.g_00425
OG0000030	Pral.g_00316	Prax.g_01404
OG0000031	Pral.g_01193	Prax.g_01831
OG0000033	Pral.g_00874	Prax.g_01049
OG0000034	Pral.g_01271	Prax.g_01889
OG0000035	Pral.g_01161	Prax.g_01728, Prax.g_01733
OG0000037	Pral.g_00938	Prax.g_01110
OG0000038	Pral.g_00356	Prax.g_01445
OG0000039	Pral.g_01755	Prax.g_00956
OG0000041	Pral.g_00155	Prax.g_01512
OG0000042	Pral.g_00313	Prax.g_01401
OG0000043	Pral.g_01347	Prax.g_00301, Prax.g_00501, Prax.g_00530
OG0000045	Pral.g_01322	Prax.g_00802
