Orthogroup	Pral	Syae
OG0000001	Pral.g_01236, Pral.g_01671, Pral.g_01296	Syae.g_02061
OG0000004	Pral.g_01743	Syae.g_00779
OG0000004	Pral.g_00809	Syae.g_00042, Syae.g_02231
OG0000005	Pral.g_01075	Syae.g_01143
OG0000006	Pral.g_00797	Syae.g_02030, Syae.g_02248
OG0000007	Pral.g_00593	Syae.g_02328
OG0000007	Pral.g_00107	Syae.g_01163
OG0000008	Pral.g_00020	Syae.g_00753
OG0000008	Pral.g_00021	Syae.g_00752
OG0000009	Pral.g_01065, Pral.g_01163	Syae.g_00561, Syae.g_00171
OG0000010	Pral.g_01832, Pral.g_01848, Pral.g_00618	Syae.g_02529
OG0000013	Pral.g_00712	Syae.g_02169, Syae.g_02155, Syae.g_02160
OG0000014	Pral.g_00732	Syae.g_01930
OG0000014	Pral.g_01261	Syae.g_01850
OG0000015	Pral.g_01813	Syae.g_00590
OG0000017	Pral.g_00484	Syae.g_02469
OG0000017	Pral.g_00491	Syae.g_02462
OG0000018	Pral.g_01346, Pral.g_01516	Syae.g_02625
OG0000019	Pral.g_00790, Pral.g_01344	Syae.g_02015
OG0000021	Pral.g_01667	Syae.g_01261
OG0000022	Pral.g_00044	Syae.g_00144
OG0000023	Pral.g_01687	Syae.g_00439, Syae.g_00930
OG0000025	Pral.g_01523	Syae.g_00833
OG0000026	Pral.g_01012	Syae.g_01748
OG0000027	Pral.g_00039, Pral.g_01036	Syae.g_00103, Syae.g_00814
OG0000028	Pral.g_00719, Pral.g_00053	Syae.g_01916
OG0000029	Pral.g_01890	Syae.g_00136
OG0000030	Pral.g_00316	Syae.g_01817, Syae.g_01816
OG0000032	Pral.g_01121	Syae.g_02607
OG0000033	Pral.g_00874	Syae.g_01453
OG0000034	Pral.g_01271	Syae.g_00975, Syae.g_01424
OG0000035	Pral.g_01165, Pral.g_01161	Syae.g_02653
OG0000037	Pral.g_00938	Syae.g_01367
OG0000038	Pral.g_00356	Syae.g_01571
OG0000039	Pral.g_01755	Syae.g_00822, Syae.g_02495
OG0000041	Pral.g_00155	Syae.g_01042
OG0000042	Pral.g_00313	Syae.g_01821
OG0000043	Pral.g_01347	Syae.g_00117
OG0000044	Pral.g_01888	Syae.g_01067
OG0000046	Pral.g_00711	Syae.g_02154, Syae.g_02161, Syae.g_02168
OG0000047	Pral.g_00672	Syae.g_02184
OG0000048	Pral.g_00768	Syae.g_01982
OG0000050	Pral.g_01829	Syae.g_00122
OG0000053	Pral.g_00066, Pral.g_01139	Syae.g_02629
OG0000054	Pral.g_00482	Syae.g_00014
OG0000055	Pral.g_01670	Syae.g_00817
OG0000057	Pral.g_01740	Syae.g_00782
OG0000058	Pral.g_01202	Syae.g_01905
OG0000059	Pral.g_00195	Syae.g_02074
OG0000061	Pral.g_01367, Pral.g_00639	Syae.g_00921
OG0000062	Pral.g_01073	Syae.g_01145
OG0000063	Pral.g_00435	Syae.g_01752
OG0000064	Pral.g_00980	Syae.g_00012, Syae.g_01631, Syae.g_00194, Syae.g_01137
OG0000065	Pral.g_00940	Syae.g_00722, Syae.g_01363
OG0000066	Pral.g_00551	Syae.g_02386
OG0000067	Pral.g_01488	Syae.g_00521
OG0000068	Pral.g_01222	Syae.g_02299
OG0000069	Pral.g_01114, Pral.g_01164	Syae.g_00458
OG0000070	Pral.g_00643	Syae.g_00979
OG0000071	Pral.g_01281	Syae.g_00961
OG0000072	Pral.g_00872	Syae.g_01455
OG0000073	Pral.g_00591	Syae.g_02330
OG0000075	Pral.g_00279	Syae.g_01871
OG0000076	Pral.g_00305	Syae.g_01829
OG0000077	Pral.g_00969	Syae.g_01297
OG0000078	Pral.g_00800	Syae.g_02243
OG0000079	Pral.g_00787	Syae.g_02011
OG0000081	Pral.g_00559	Syae.g_02261
OG0000082	Pral.g_00057	Syae.g_02447
OG0000084	Pral.g_01169	Syae.g_02656
OG0000085	Pral.g_00099	Syae.g_01152
OG0000086	Pral.g_00959	Syae.g_01333
OG0000087	Pral.g_00906	Syae.g_01414
OG0000088	Pral.g_00878	Syae.g_01449
OG0000089	Pral.g_00676	Syae.g_02219
OG0000090	Pral.g_00557	Syae.g_02374
OG0000091	Pral.g_01443	Syae.g_00082
OG0000092	Pral.g_01794, Pral.g_01244	Syae.g_00884
OG0000093	Pral.g_01472	Syae.g_00537
OG0000095	Pral.g_01561	Syae.g_01624
OG0000097	Pral.g_01416	Syae.g_00683
OG0000098	Pral.g_01239	Syae.g_02058
OG0000099	Pral.g_01201	Syae.g_01913, Syae.g_01226
OG0000100	Pral.g_01078	Syae.g_00489
OG0000101	Pral.g_00243	Syae.g_02125
OG0000102	Pral.g_00310	Syae.g_01824
OG0000103	Pral.g_00397	Syae.g_01694
OG0000104	Pral.g_00406	Syae.g_01708
OG0000105	Pral.g_00765	Syae.g_01977
OG0000106	Pral.g_01859	Syae.g_00272
OG0000107	Pral.g_00171	Syae.g_02032
OG0000108	Pral.g_00611	Syae.g_02309
OG0000109	Pral.g_00596	Syae.g_02324
OG0000110	Pral.g_00513	Syae.g_02435
