Orthogroup	Pral	Syad
OG0000001	Pral.g_01236, Pral.g_01671, Pral.g_01296	Syad.g_00628
OG0000002	Pral.g_01549, Pral.g_01554, Pral.g_01340, Pral.g_00430, Pral.g_01342, Pral.g_01337, Pral.g_01052, Pral.g_01764	Syad.g_00619
OG0000004	Pral.g_01743	Syad.g_01304
OG0000004	Pral.g_00809	Syad.g_02184, Syad.g_00810
OG0000005	Pral.g_01075	Syad.g_02596
OG0000006	Pral.g_00797	Syad.g_00588, Syad.g_00829
OG0000007	Pral.g_00593	Syad.g_00923
OG0000007	Pral.g_00107	Syad.g_02623
OG0000008	Pral.g_00021	Syad.g_01371
OG0000009	Pral.g_01065, Pral.g_01163	Syad.g_01952, Syad.g_00868
OG0000010	Pral.g_01832, Pral.g_01848, Pral.g_00618	Syad.g_02354
OG0000012	Pral.g_00015	Syad.g_01702
OG0000013	Pral.g_00712	Syad.g_00737, Syad.g_00724, Syad.g_00729
OG0000014	Pral.g_00732	Syad.g_00480
OG0000014	Pral.g_00637	Syad.g_00260
OG0000015	Pral.g_01813	Syad.g_01600, Syad.g_01601
OG0000017	Pral.g_00484	Syad.g_01091
OG0000017	Pral.g_00491	Syad.g_01084
OG0000018	Pral.g_01346, Pral.g_01516	Syad.g_02306
OG0000019	Pral.g_00790, Pral.g_01344	Syad.g_00569
OG0000020	Pral.g_01038, Pral.g_00443, Pral.g_01883, Pral.g_01891	Syad.g_00845
OG0000021	Pral.g_01738	Syad.g_00874
OG0000022	Pral.g_00044	Syad.g_02090
OG0000023	Pral.g_01687	Syad.g_01701, Syad.g_02337, Syad.g_01583
OG0000024	Pral.g_01895	Syad.g_01374
OG0000025	Pral.g_01523	Syad.g_01241
OG0000026	Pral.g_01012	Syad.g_00198
OG0000027	Pral.g_00039, Pral.g_01036	Syad.g_01257
OG0000028	Pral.g_00719, Pral.g_00053	Syad.g_00463
OG0000029	Pral.g_01890	Syad.g_02099
OG0000030	Pral.g_00316	Syad.g_00328, Syad.g_00327
OG0000032	Pral.g_01121	Syad.g_02326
OG0000033	Pral.g_00874	Syad.g_02903
OG0000034	Pral.g_01271	Syad.g_02420, Syad.g_02872
OG0000035	Pral.g_01165, Pral.g_01161	Syad.g_02275
OG0000037	Pral.g_00938	Syad.g_02805
OG0000038	Pral.g_00356	Syad.g_03038
OG0000039	Pral.g_01755	Syad.g_01249, Syad.g_01111
OG0000041	Pral.g_00155	Syad.g_02498
OG0000042	Pral.g_00313	Syad.g_00333
OG0000043	Pral.g_01347	Syad.g_02119
OG0000044	Pral.g_01888	Syad.g_02214
OG0000046	Pral.g_00711	Syad.g_00723, Syad.g_00730, Syad.g_00736
OG0000047	Pral.g_00672	Syad.g_00754
OG0000048	Pral.g_00768	Syad.g_00534
OG0000050	Pral.g_01829	Syad.g_02114
OG0000053	Pral.g_00066, Pral.g_01139	Syad.g_02302
OG0000054	Pral.g_00482	Syad.g_02209
OG0000055	Pral.g_01670	Syad.g_01255
OG0000057	Pral.g_01740	Syad.g_01301
OG0000058	Pral.g_01202	Syad.g_00452
OG0000059	Pral.g_00195	Syad.g_00642
OG0000061	Pral.g_01367, Pral.g_00639	Syad.g_01152
OG0000062	Pral.g_01073	Syad.g_02598
OG0000063	Pral.g_00435	Syad.g_00202
OG0000064	Pral.g_00980	Syad.g_00873, Syad.g_00081, Syad.g_02125
OG0000065	Pral.g_00940	Syad.g_02574, Syad.g_02801
OG0000066	Pral.g_00551	Syad.g_00992
OG0000067	Pral.g_01488	Syad.g_01889
OG0000068	Pral.g_01222	Syad.g_00891
OG0000070	Pral.g_00643	Syad.g_02424
OG0000071	Pral.g_01281	Syad.g_02405
OG0000072	Pral.g_00872	Syad.g_02905
OG0000073	Pral.g_00591	Syad.g_00926
OG0000075	Pral.g_00279	Syad.g_00416
OG0000076	Pral.g_00305	Syad.g_00348
OG0000077	Pral.g_00969	Syad.g_02741
OG0000078	Pral.g_00800	Syad.g_00824
OG0000079	Pral.g_00787	Syad.g_00565
OG0000081	Pral.g_00559	Syad.g_00833
OG0000082	Pral.g_00057	Syad.g_01063
OG0000084	Pral.g_01169	Syad.g_02272
OG0000085	Pral.g_00099	Syad.g_02612
OG0000086	Pral.g_00959	Syad.g_02770
OG0000087	Pral.g_00906	Syad.g_02860
OG0000088	Pral.g_00878	Syad.g_02899
OG0000089	Pral.g_00676	Syad.g_00785, Syad.g_02829
OG0000090	Pral.g_00557	Syad.g_00977
OG0000091	Pral.g_01443	Syad.g_02144
OG0000092	Pral.g_01794, Pral.g_01244	Syad.g_01190
OG0000093	Pral.g_01472	Syad.g_01905
OG0000097	Pral.g_01416	Syad.g_01458
OG0000098	Pral.g_01239	Syad.g_00625
OG0000099	Pral.g_01201	Syad.g_00460
OG0000100	Pral.g_01078	Syad.g_01846
OG0000101	Pral.g_00243	Syad.g_00694
OG0000102	Pral.g_00310	Syad.g_00343
OG0000103	Pral.g_00397	Syad.g_00143
OG0000104	Pral.g_00406	Syad.g_00158
OG0000105	Pral.g_00765	Syad.g_00530
OG0000106	Pral.g_01859	Syad.g_01993
OG0000107	Pral.g_00171	Syad.g_00590
OG0000108	Pral.g_00611	Syad.g_00904
OG0000109	Pral.g_00596	Syad.g_00919
OG0000110	Pral.g_00513	Syad.g_01048
OG0000111	Pral.g_01739	Syad.g_01300
OG0000112	Pral.g_01635	Syad.g_01766
OG0000113	Pral.g_01511	Syad.g_01851
OG0000114	Pral.g_01799	Syad.g_01617
OG0000115	Pral.g_01141	Syad.g_02300
OG0000116	Pral.g_01356	Syad.g_01123
OG0000117	Pral.g_01398, Pral.g_01397, Pral.g_01396, Pral.g_01881	Syad.g_01510
OG0000118	Pral.g_01269	Syad.g_01104
OG0000119	Pral.g_01861, Pral.g_01063	Syad.g_01168
OG0000120	Pral.g_00702	Syad.g_00459
OG0000121	Pral.g_01159	Syad.g_02280
OG0000122	Pral.g_01116	Syad.g_02122
OG0000123	Pral.g_00250	Syad.g_00701
OG0000124	Pral.g_00322	Syad.g_00320
OG0000125	Pral.g_00358	Syad.g_03040
OG0000126	Pral.g_00405	Syad.g_00156
OG0000128	Pral.g_00421	Syad.g_00174
OG0000129	Pral.g_01000	Syad.g_03028
OG0000130	Pral.g_00978	Syad.g_02728
OG0000131	Pral.g_00900	Syad.g_02876
