Orthogroup	Pral	Prai
OG0000000	Pral.g_01331	Prai.g_00905, Prai.g_01772
OG0000000	Pral.g_00037	Prai.g_01612, Prai.g_01592
OG0000001	Pral.g_01296	Prai.g_01236
OG0000002	Pral.g_01549, Pral.g_01554	Prai.g_01363
OG0000002	Pral.g_01340, Pral.g_00430, Pral.g_01342, Pral.g_01337, Pral.g_01052, Pral.g_01764	Prai.g_00707
OG0000004	Pral.g_01743	Prai.g_00724
OG0000004	Pral.g_00809	Prai.g_00243
OG0000005	Pral.g_01075	Prai.g_01538
OG0000006	Pral.g_00797	Prai.g_00252, Prai.g_00254
OG0000007	Pral.g_00593	Prai.g_00527
OG0000007	Pral.g_00107	Prai.g_01638
OG0000008	Pral.g_00020, Pral.g_00021	Prai.g_00701
OG0000009	Pral.g_01065, Pral.g_01163	Prai.g_01578
OG0000010	Pral.g_01832, Pral.g_01848, Pral.g_00618	Prai.g_00504
OG0000012	Pral.g_00015	Prai.g_00652
OG0000013	Pral.g_00712	Prai.g_00340
OG0000014	Pral.g_00732	Prai.g_00319
OG0000015	Pral.g_01813	Prai.g_01243
OG0000017	Pral.g_00491	Prai.g_00626
OG0000018	Pral.g_01346	Prai.g_01153
OG0000018	Pral.g_01516	Prai.g_00820
OG0000019	Pral.g_00790	Prai.g_00262
OG0000019	Pral.g_01344	Prai.g_00867
OG0000020	Pral.g_01038	Prai.g_01125
OG0000020	Pral.g_00443, Pral.g_01883	Prai.g_01248
OG0000020	Pral.g_01891	Prai.g_00400
OG0000021	Pral.g_01667	Prai.g_00378
OG0000022	Pral.g_00044	Prai.g_00885
OG0000023	Pral.g_01687	Prai.g_00373
OG0000024	Pral.g_01895	Prai.g_00899
OG0000025	Pral.g_01523	Prai.g_00812, Prai.g_00344
OG0000026	Pral.g_01012	Prai.g_00031, Prai.g_01074
OG0000027	Pral.g_01036	Prai.g_00904
OG0000028	Pral.g_00719	Prai.g_00333
OG0000028	Pral.g_00053	Prai.g_01297
OG0000029	Pral.g_01890	Prai.g_00890
OG0000030	Pral.g_00316	Prai.g_01848
OG0000031	Pral.g_01193	Prai.g_01444
OG0000033	Pral.g_00874	Prai.g_00180
OG0000034	Pral.g_01271	Prai.g_01345
OG0000035	Pral.g_01161	Prai.g_01463
OG0000037	Pral.g_00938	Prai.g_00109
OG0000038	Pral.g_00356	Prai.g_01890
OG0000039	Pral.g_01755	Prai.g_00715
OG0000041	Pral.g_00155	Prai.g_01684
OG0000042	Pral.g_00313	Prai.g_01845
OG0000043	Pral.g_01347	Prai.g_01064
OG0000045	Pral.g_01322	Prai.g_00384
OG0000047	Pral.g_00672	Prai.g_00424
OG0000048	Pral.g_00768	Prai.g_00387
OG0000051	Pral.g_00095	Prai.g_01263
OG0000053	Pral.g_00066, Pral.g_01139	Prai.g_01483
OG0000054	Pral.g_00482	Prai.g_00634
OG0000055	Pral.g_01670	Prai.g_00866
OG0000057	Pral.g_01740	Prai.g_00727
OG0000058	Pral.g_01202	Prai.g_01859
OG0000059	Pral.g_00195	Prai.g_01725, Prai.g_01425
OG0000061	Pral.g_01367, Pral.g_00639	Prai.g_01171
OG0000062	Pral.g_01073	Prai.g_01540
OG0000063	Pral.g_00435	Prai.g_01261
OG0000065	Pral.g_00940	Prai.g_00107
OG0000066	Pral.g_00551	Prai.g_00567
OG0000067	Pral.g_01488	Prai.g_00848
OG0000068	Pral.g_01222	Prai.g_01370
OG0000069	Pral.g_01114, Pral.g_01164	Prai.g_01579
OG0000070	Pral.g_00643	Prai.g_00481
OG0000071	Pral.g_01281	Prai.g_01335
OG0000072	Pral.g_00872	Prai.g_00182
OG0000073	Pral.g_00591	Prai.g_00529
OG0000074	Pral.g_01760	Prai.g_00711
OG0000075	Pral.g_00279	Prai.g_01814
OG0000076	Pral.g_00305	Prai.g_01838
OG0000077	Pral.g_00969	Prai.g_00078
OG0000078	Pral.g_00800	Prai.g_00250
OG0000079	Pral.g_00787	Prai.g_00265
OG0000081	Pral.g_00559	Prai.g_00559
OG0000082	Pral.g_00057	Prai.g_00613
OG0000083	Pral.g_01898	Prai.g_01313, Prai.g_00441
OG0000084	Pral.g_01169	Prai.g_01459
OG0000085	Pral.g_00099	Prai.g_01631
OG0000086	Pral.g_00959	Prai.g_00088
OG0000087	Pral.g_00906	Prai.g_00139
OG0000088	Pral.g_00878	Prai.g_00177
OG0000089	Pral.g_00676	Prai.g_00368
OG0000090	Pral.g_00557	Prai.g_00561
OG0000091	Pral.g_01443	Prai.g_00671
OG0000092	Pral.g_01794	Prai.g_01041
OG0000093	Pral.g_01472	Prai.g_01021
OG0000094	Pral.g_01604	Prai.g_00937
OG0000095	Pral.g_01561	Prai.g_00918
OG0000096	Pral.g_00444	Prai.g_01588
OG0000097	Pral.g_01416	Prai.g_01214
OG0000098	Pral.g_01239	Prai.g_01353
OG0000099	Pral.g_01201	Prai.g_01393
OG0000100	Pral.g_01078	Prai.g_01536
OG0000101	Pral.g_00243	Prai.g_01782
OG0000102	Pral.g_00310	Prai.g_01843
OG0000103	Pral.g_00397	Prai.g_01923
OG0000104	Pral.g_00406	Prai.g_01932
OG0000105	Pral.g_00765	Prai.g_00286, Prai.g_00287
OG0000106	Pral.g_01859	Prai.g_00383
OG0000107	Pral.g_00171	Prai.g_00397
OG0000108	Pral.g_00611	Prai.g_00510
OG0000109	Pral.g_00596	Prai.g_00524
OG0000110	Pral.g_00513	Prai.g_00603
OG0000111	Pral.g_01739	Prai.g_00728
OG0000112	Pral.g_01635	Prai.g_00882
OG0000113	Pral.g_01511	Prai.g_00825
OG0000114	Pral.g_01799	Prai.g_01046
OG0000115	Pral.g_01141	Prai.g_01119
OG0000116	Pral.g_01356	Prai.g_01162
OG0000117	Pral.g_01398, Pral.g_01397	Prai.g_01273
OG0000118	Pral.g_01269	Prai.g_01347
OG0000119	Pral.g_01861, Pral.g_01063	Prai.g_01366
OG0000120	Pral.g_00702	Prai.g_01443
OG0000121	Pral.g_01159	Prai.g_01465
OG0000123	Pral.g_00250	Prai.g_01789
OG0000124	Pral.g_00322	Prai.g_01854
OG0000125	Pral.g_00358	Prai.g_01892
OG0000126	Pral.g_00405	Prai.g_01931
OG0000128	Pral.g_00421	Prai.g_00011
OG0000129	Pral.g_01000	Prai.g_00051
OG0000130	Pral.g_00978	Prai.g_00069
OG0000131	Pral.g_00900	Prai.g_00156
OG0000132	Pral.g_00880	Prai.g_00175
OG0000133	Pral.g_00717	Prai.g_00335
OG0000134	Pral.g_00674	Prai.g_00369
OG0000135	Pral.g_01034	Prai.g_00393
OG0000136	Pral.g_00653	Prai.g_00472
OG0000137	Pral.g_00617	Prai.g_00505
OG0000138	Pral.g_00595	Prai.g_00525
OG0000139	Pral.g_00553	Prai.g_00565
OG0000140	Pral.g_00552	Prai.g_00566
OG0000141	Pral.g_00481	Prai.g_00635
OG0000142	Pral.g_01436	Prai.g_00664
OG0000143	Pral.g_01440	Prai.g_00668
OG0000144	Pral.g_01453	Prai.g_00681
OG0000145	Pral.g_01037	Prai.g_00883
OG0000146	Pral.g_01636	Prai.g_00881
OG0000147	Pral.g_01637	Prai.g_00880
OG0000148	Pral.g_01505	Prai.g_00831
OG0000149	Pral.g_01535	Prai.g_00800
OG0000150	Pral.g_01545	Prai.g_00792
OG0000151	Pral.g_01789	Prai.g_01036
OG0000152	Pral.g_01627	Prai.g_00989
OG0000153	Pral.g_01578	Prai.g_00970
OG0000154	Pral.g_01595	Prai.g_00943
OG0000155	Pral.g_01390	Prai.g_01191
OG0000156	Pral.g_01292	Prai.g_01323
OG0000157	Pral.g_01291	Prai.g_01324
OG0000158	Pral.g_00287	Prai.g_01392
OG0000159	Pral.g_01263	Prai.g_01321, Prai.g_01390
OG0000160	Pral.g_01160	Prai.g_01464
OG0000161	Pral.g_01154	Prai.g_01470
OG0000162	Pral.g_01148	Prai.g_01476
OG0000163	Pral.g_01106	Prai.g_01509
OG0000164	Pral.g_00131	Prai.g_01662
OG0000165	Pral.g_00138	Prai.g_01669
OG0000166	Pral.g_00206	Prai.g_01740
OG0000167	Pral.g_00277	Prai.g_01812
OG0000168	Pral.g_00288	Prai.g_01822
OG0000169	Pral.g_00298	Prai.g_01832
OG0000170	Pral.g_00301	Prai.g_01834
OG0000171	Pral.g_00321	Prai.g_01853
OG0000172	Pral.g_00328	Prai.g_01863
OG0000173	Pral.g_00343	Prai.g_01878
OG0000174	Pral.g_00375	Prai.g_01905
OG0000175	Pral.g_00387	Prai.g_01915
OG0000176	Pral.g_00414	Prai.g_00004
OG0000177	Pral.g_00415	Prai.g_00005
OG0000178	Pral.g_00416	Prai.g_00006
OG0000179	Pral.g_01028	Prai.g_00016
OG0000180	Pral.g_01027	Prai.g_00017
OG0000181	Pral.g_01026	Prai.g_00018
OG0000182	Pral.g_01025	Prai.g_00019
OG0000183	Pral.g_01021	Prai.g_00023
OG0000184	Pral.g_00996	Prai.g_00053
OG0000185	Pral.g_00993	Prai.g_00056
OG0000186	Pral.g_00984	Prai.g_00064
OG0000187	Pral.g_00983	Prai.g_00065
OG0000188	Pral.g_00965	Prai.g_00082
