Orthogroup	Pral	Syan
OG0000004	Pral.g_01743	Syan.g_00183
OG0000004	Pral.g_00809	Syan.g_00989
OG0000005	Pral.g_01075	Syan.g_01378
OG0000006	Pral.g_00797	Syan.g_00057, Syan.g_00936, Syan.g_01505, Syan.g_02101, Syan.g_02441
OG0000007	Pral.g_00593	Syan.g_02743
OG0000007	Pral.g_00107	Syan.g_01400
OG0000008	Pral.g_00020	Syan.g_00640, Syan.g_02532
OG0000008	Pral.g_00021	Syan.g_00641, Syan.g_02531
OG0000009	Pral.g_01065, Pral.g_01163	Syan.g_02972
OG0000010	Pral.g_01832, Pral.g_01848, Pral.g_00618	Syan.g_02847
OG0000012	Pral.g_00015	Syan.g_01076, Syan.g_00452, Syan.g_02349, Syan.g_02485
OG0000013	Pral.g_00712	Syan.g_02156, Syan.g_02159, Syan.g_00101
OG0000014	Pral.g_00732	Syan.g_01987
OG0000017	Pral.g_00484	Syan.g_01013
OG0000017	Pral.g_00491	Syan.g_01006
OG0000018	Pral.g_01346, Pral.g_01516	Syan.g_02816
OG0000019	Pral.g_00790, Pral.g_01344	Syan.g_02088
OG0000021	Pral.g_01667, Pral.g_01738	Syan.g_01001
OG0000022	Pral.g_00044	Syan.g_00089
OG0000023	Pral.g_01687	Syan.g_00404
OG0000025	Pral.g_01523	Syan.g_00374
OG0000026	Pral.g_01012	Syan.g_01743
OG0000027	Pral.g_00039, Pral.g_01036	Syan.g_02678
OG0000028	Pral.g_00719, Pral.g_00053	Syan.g_01971
OG0000030	Pral.g_00316	Syan.g_01884, Syan.g_01883
OG0000032	Pral.g_01121	Syan.g_02835
OG0000033	Pral.g_00874	Syan.g_03036
OG0000034	Pral.g_01271	Syan.g_01227, Syan.g_03003
OG0000035	Pral.g_01165, Pral.g_01161	Syan.g_01276
OG0000037	Pral.g_00938	Syan.g_00136, Syan.g_02978, Syan.g_00917
OG0000038	Pral.g_00356	Syan.g_00064, Syan.g_01569, Syan.g_01571
OG0000039	Pral.g_01755	Syan.g_02771, Syan.g_00535
OG0000041	Pral.g_00155	Syan.g_01465
OG0000042	Pral.g_00313	Syan.g_00991, Syan.g_02643, Syan.g_01888
OG0000044	Pral.g_01888	Syan.g_01065
OG0000045	Pral.g_01322	Syan.g_00086, Syan.g_00151
OG0000046	Pral.g_00711	Syan.g_02157, Syan.g_02160
OG0000048	Pral.g_00768	Syan.g_02036
OG0000052	Pral.g_00987	Syan.g_01954, Syan.g_01953
OG0000053	Pral.g_00066, Pral.g_01139	Syan.g_02812
OG0000054	Pral.g_00482	Syan.g_02503
OG0000055	Pral.g_01670, Pral.g_00082	Syan.g_00312
OG0000058	Pral.g_01202	Syan.g_01128, Syan.g_01124
OG0000061	Pral.g_01367, Pral.g_00639	Syan.g_02696
OG0000062	Pral.g_01073	Syan.g_01380, Syan.g_00098
