Orthogroup	Syah	Syal
OG0000001	Syah.g_00726	Syal.g_02193
OG0000001	Syah.g_01516	Syal.g_02215
OG0000001	Syah.g_00040, Syah.g_00041	Syal.g_00874, Syal.g_01184
OG0000004	Syah.g_02017	Syal.g_01809
OG0000004	Syah.g_01967	Syal.g_02718
OG0000004	Syah.g_00901	Syal.g_00691
OG0000005	Syah.g_02403	Syal.g_00606
OG0000005	Syah.g_02363	Syal.g_00565
OG0000005	Syah.g_01827	Syal.g_01664
OG0000006	Syah.g_00683, Syah.g_00915, Syah.g_00681, Syah.g_00918	Syal.g_00674
OG0000006	Syah.g_01912	Syal.g_02611
OG0000007	Syah.g_01016	Syal.g_02918
OG0000007	Syah.g_02384	Syal.g_00587
OG0000008	Syah.g_01994	Syal.g_02512
OG0000008	Syah.g_01993	Syal.g_01783
OG0000009	Syah.g_02457	Syal.g_02089
OG0000009	Syah.g_01910, Syah.g_02535	Syal.g_00818
OG0000010	Syah.g_01220	Syal.g_00464
OG0000012	Syah.g_01340	Syal.g_02535, Syal.g_01639
OG0000013	Syah.g_00831	Syal.g_00322
OG0000013	Syah.g_00817	Syal.g_00310
OG0000013	Syah.g_00822	Syal.g_00315
OG0000014	Syah.g_00127	Syal.g_01305
OG0000016	Syah.g_00359	Syal.g_00111
OG0000016	Syah.g_01402	Syal.g_01734
OG0000017	Syah.g_01159	Syal.g_02745
OG0000017	Syah.g_01152	Syal.g_02752
OG0000018	Syah.g_01264	Syal.g_00410
OG0000019	Syah.g_00669	Syal.g_01209
OG0000022	Syah.g_01881	Syal.g_02587
OG0000023	Syah.g_00930	Syal.g_02485, Syal.g_02858, Syal.g_01894
OG0000024	Syah.g_01990	Syal.g_02597
OG0000025	Syah.g_02082	Syal.g_02459
OG0000026	Syah.g_00340	Syal.g_00132
OG0000027	Syah.g_01541	Syal.g_02543
OG0000028	Syah.g_00141	Syal.g_01319
OG0000030	Syah.g_00264	Syal.g_01511
OG0000030	Syah.g_00265	Syal.g_01512
OG0000031	Syah.g_00146	Syal.g_01404, Syal.g_01432
OG0000032	Syah.g_01246	Syal.g_00428
OG0000033	Syah.g_00078	Syal.g_00912
