Orthogroup	Syah	Prat
OG0000001	Syah.g_00726	Prat.g_01285, Prat.g_01286, Prat.g_00851
OG0000002	Syah.g_01829	Prat.g_00977, Prat.g_01184, Prat.g_01487, Prat.g_01182, Prat.g_01187, Prat.g_01462, Prat.g_00751
OG0000004	Syah.g_02017	Prat.g_00772
OG0000004	Syah.g_01967, Syah.g_00901	Prat.g_00236
OG0000005	Syah.g_02363	Prat.g_01440
OG0000006	Syah.g_00683, Syah.g_00915, Syah.g_00681, Syah.g_00918	Prat.g_00248
OG0000007	Syah.g_01016	Prat.g_00458
OG0000007	Syah.g_02384	Prat.g_01592
OG0000008	Syah.g_01994	Prat.g_00376
OG0000008	Syah.g_01993	Prat.g_00377
OG0000009	Syah.g_02457	Prat.g_01451
OG0000010	Syah.g_01220	Prat.g_00682, Prat.g_00662, Prat.g_00433
OG0000012	Syah.g_01960	Prat.g_00586
OG0000013	Syah.g_00831, Syah.g_00817, Syah.g_00822	Prat.g_00334
OG0000014	Syah.g_00127	Prat.g_00314
OG0000014	Syah.g_00323	Prat.g_01267
OG0000015	Syah.g_01511, Syah.g_01510	Prat.g_00701
OG0000016	Syah.g_00359	Prat.g_00014
OG0000016	Syah.g_01402, Syah.g_01859	Prat.g_01219
OG0000017	Syah.g_01159	Prat.g_00567
OG0000017	Syah.g_01152	Prat.g_00560
OG0000018	Syah.g_01264	Prat.g_01177, Prat.g_01009
OG0000019	Syah.g_00669	Prat.g_00255, Prat.g_01180
OG0000022	Syah.g_01881	Prat.g_01192, Prat.g_01448
OG0000023	Syah.g_01330, Syah.g_02167, Syah.g_00930	Prat.g_00834
OG0000024	Syah.g_01990	Prat.g_00622, Prat.g_00749
OG0000025	Syah.g_02082	Prat.g_01003
OG0000026	Syah.g_00340	Prat.g_00033
OG0000027	Syah.g_01541	Prat.g_01548, Prat.g_01474
OG0000028	Syah.g_00141	Prat.g_00327, Prat.g_00380
OG0000030	Syah.g_00264, Syah.g_00265	Prat.g_01799
OG0000031	Syah.g_00322	Prat.g_01266
OG0000032	Syah.g_01246	Prat.g_01394
OG0000033	Syah.g_00211	Prat.g_01265
OG0000033	Syah.g_00078	Prat.g_00170
OG0000034	Syah.g_00048, Syah.g_02213	Prat.g_01259
OG0000035	Syah.g_01293	Prat.g_01352, Prat.g_01353
OG0000037	Syah.g_02541, Syah.g_00956, Syah.g_01365	Prat.g_00106
OG0000038	Syah.g_00508, Syah.g_00506	Prat.g_01839
OG0000039	Syah.g_02074	Prat.g_00760
OG0000040	Syah.g_01908	Prat.g_01578
OG0000041	Syah.g_02271	Prat.g_01640
OG0000042	Syah.g_00261	Prat.g_01796
OG0000044	Syah.g_01194	Prat.g_00619
OG0000045	Syah.g_01872	Prat.g_01203
OG0000046	Syah.g_00816, Syah.g_00823, Syah.g_00830	Prat.g_00335
OG0000047	Syah.g_00847	Prat.g_00374
OG0000048	Syah.g_00637	Prat.g_00278
OG0000053	Syah.g_01267	Prat.g_01375
OG0000054	Syah.g_01982	Prat.g_00569
OG0000055	Syah.g_02071	Prat.g_00852
OG0000057	Syah.g_02020	Prat.g_00775
OG0000058	Syah.g_00152	Prat.g_01311
OG0000059	Syah.g_00737	Prat.g_01679
OG0000061	Syah.g_02158	Prat.g_01156
OG0000062	Syah.g_02365	Prat.g_01442
OG0000063	Syah.g_00337	Prat.g_01516
OG0000064	Syah.g_01353, Syah.g_02357	Prat.g_00064
OG0000065	Syah.g_02443, Syah.g_02537	Prat.g_00104
OG0000066	Syah.g_01073	Prat.g_01499
OG0000067	Syah.g_01779	Prat.g_01037
OG0000068	Syah.g_00986	Prat.g_01291
OG0000069	Syah.g_01715	Prat.g_01400
OG0000070	Syah.g_02217	Prat.g_00412
OG0000071	Syah.g_02199	Prat.g_01249
OG0000072	Syah.g_00080	Prat.g_00172
OG0000073	Syah.g_01018	Prat.g_00462
OG0000074	Syah.g_00951	Prat.g_00696, Prat.g_00755, Prat.g_01577
OG0000075	Syah.g_00186	Prat.g_01761
OG0000076	Syah.g_00250	Prat.g_01788
OG0000077	Syah.g_02494	Prat.g_00075
OG0000079	Syah.g_00665	Prat.g_00258
OG0000080	Syah.g_00290	Prat.g_01323
OG0000081	Syah.g_00922	Prat.g_00493
OG0000082	Syah.g_01136	Prat.g_01507
OG0000084	Syah.g_01296	Prat.g_01348
OG0000085	Syah.g_02372	Prat.g_01584
OG0000086	Syah.g_02511	Prat.g_00086
OG0000087	Syah.g_00038	Prat.g_00138
OG0000088	Syah.g_00074	Prat.g_00166
OG0000089	Syah.g_00888	Prat.g_00370
OG0000090	Syah.g_01064	Prat.g_00495
OG0000091	Syah.g_01927	Prat.g_01082
OG0000093	Syah.g_01794	Prat.g_01053
OG0000097	Syah.g_01400	Prat.g_01111
OG0000098	Syah.g_00723	Prat.g_01282
OG0000099	Syah.g_00144	Prat.g_01312
OG0000100	Syah.g_01747	Prat.g_01437
OG0000101	Syah.g_00785	Prat.g_01726
OG0000102	Syah.g_00255	Prat.g_01793
OG0000103	Syah.g_00391	Prat.g_01880
OG0000104	Syah.g_00377	Prat.g_01889
OG0000105	Syah.g_00632	Prat.g_00281
OG0000106	Syah.g_01544	Prat.g_00637
OG0000107	Syah.g_00688	Prat.g_01656
OG0000108	Syah.g_00997	Prat.g_00440
OG0000109	Syah.g_01012	Prat.g_00455
OG0000110	Syah.g_01124	Prat.g_00539
OG0000112	Syah.g_01613	Prat.g_00888
OG0000113	Syah.g_01752	Prat.g_01014
OG0000114	Syah.g_01529	Prat.g_00716
OG0000115	Syah.g_01269	Prat.g_01373
OG0000116	Syah.g_02175	Prat.g_01166
OG0000117	Syah.g_01425	Prat.g_01129
OG0000118	Syah.g_01173	Prat.g_01261
OG0000120	Syah.g_00145	Prat.g_00344
OG0000121	Syah.g_01287	Prat.g_01355
OG0000122	Syah.g_01900	Prat.g_00781, Prat.g_01398
OG0000123	Syah.g_00793	Prat.g_01733
OG0000124	Syah.g_00272	Prat.g_01805
OG0000125	Syah.g_00504	Prat.g_01841
OG0000126	Syah.g_00379	Prat.g_01888
OG0000128	Syah.g_00361	Prat.g_00012, Prat.g_00011
OG0000129	Syah.g_00516	Prat.g_00047
OG0000130	Syah.g_02483	Prat.g_00066
OG0000131	Syah.g_00052	Prat.g_00144
OG0000132	Syah.g_00072	Prat.g_00164
OG0000133	Syah.g_01618	Prat.g_00329
OG0000134	Syah.g_00891	Prat.g_00372
OG0000135	Syah.g_00465	Prat.g_01477
OG0000136	Syah.g_02227	Prat.g_00401
OG0000137	Syah.g_01221	Prat.g_00434
OG0000138	Syah.g_01013	Prat.g_00456
OG0000139	Syah.g_01070	Prat.g_00499
OG0000140	Syah.g_01071	Prat.g_00500
OG0000141	Syah.g_01981	Prat.g_00570
OG0000142	Syah.g_01935	Prat.g_01090
OG0000143	Syah.g_01931	Prat.g_01086
OG0000144	Syah.g_01824	Prat.g_01072
OG0000145	Syah.g_01019	Prat.g_01472
OG0000146	Syah.g_01612	Prat.g_00887
