Orthogroup	Syah	Prbf
OG0000001	Syah.g_00726	Prbf.g_00068, Prbf.g_00831
OG0000002	Syah.g_01829	Prbf.g_01182, Prbf.g_01177, Prbf.g_00888, Prbf.g_00089, Prbf.g_00890, Prbf.g_00883, Prbf.g_00260, Prbf.g_01285
OG0000004	Syah.g_02017	Prbf.g_01264
OG0000004	Syah.g_01967, Syah.g_00901	Prbf.g_01570
OG0000005	Syah.g_02363	Prbf.g_00240
OG0000006	Syah.g_00683, Syah.g_00915, Syah.g_00681, Syah.g_00918	Prbf.g_01580
OG0000007	Syah.g_01016	Prbf.g_01780
OG0000007	Syah.g_02384	Prbf.g_00693
OG0000008	Syah.g_01994	Prbf.g_00793
OG0000008	Syah.g_01993	Prbf.g_00792
OG0000009	Syah.g_02457	Prbf.g_00252
OG0000010	Syah.g_01220	Prbf.g_00847, Prbf.g_01056, Prbf.g_01757
OG0000012	Syah.g_01960	Prbf.g_01905
OG0000013	Syah.g_00831, Syah.g_00817, Syah.g_00822	Prbf.g_01665
OG0000014	Syah.g_00127	Prbf.g_01647
OG0000015	Syah.g_01511, Syah.g_01510	Prbf.g_00754, Prbf.g_00708
OG0000016	Syah.g_01402, Syah.g_01859	Prbf.g_00860
OG0000017	Syah.g_01159	Prbf.g_01887
OG0000017	Syah.g_01152	Prbf.g_01880
OG0000018	Syah.g_01264	Prbf.g_00896, Prbf.g_01217
OG0000019	Syah.g_00669	Prbf.g_01588, Prbf.g_00894
OG0000022	Syah.g_01881	Prbf.g_00248
OG0000023	Syah.g_01330, Syah.g_02167, Syah.g_00930	Prbf.g_00287
OG0000024	Syah.g_01990	Prbf.g_01052, Prbf.g_01288
OG0000025	Syah.g_02082	Prbf.g_01209
OG0000026	Syah.g_00340	Prbf.g_01354
OG0000027	Syah.g_01541	Prbf.g_00774, Prbf.g_00817
OG0000028	Syah.g_00141	Prbf.g_00794
OG0000029	Syah.g_01292	Prbf.g_00603, Prbf.g_00804, Prbf.g_00762
OG0000030	Syah.g_00264, Syah.g_00265	Prbf.g_00484
OG0000031	Syah.g_00226, Syah.g_00322	Prbf.g_00116
OG0000032	Syah.g_01246	Prbf.g_00196
OG0000033	Syah.g_00211	Prbf.g_00123
OG0000033	Syah.g_00078	Prbf.g_01503
OG0000034	Syah.g_00048, Syah.g_02213	Prbf.g_00015
OG0000035	Syah.g_01293	Prbf.g_00157
OG0000037	Syah.g_02541, Syah.g_00956, Syah.g_01365	Prbf.g_01437
OG0000038	Syah.g_00508, Syah.g_00506	Prbf.g_00445
OG0000039	Syah.g_02074	Prbf.g_01276
OG0000041	Syah.g_02271	Prbf.g_00646
OG0000042	Syah.g_00261	Prbf.g_00487
OG0000045	Syah.g_01872	Prbf.g_00874
OG0000046	Syah.g_00816, Syah.g_00823, Syah.g_00830	Prbf.g_01666
OG0000047	Syah.g_00847	Prbf.g_01707
OG0000048	Syah.g_00637	Prbf.g_00039, Prbf.g_01611
OG0000052	Syah.g_00171	Prbf.g_00135
OG0000053	Syah.g_01267	Prbf.g_00748, Prbf.g_00178
OG0000054	Syah.g_01982	Prbf.g_01889
OG0000055	Syah.g_02071	Prbf.g_00869
OG0000055	Syah.g_01878	Prbf.g_00719
OG0000057	Syah.g_02020	Prbf.g_01261
OG0000058	Syah.g_00152	Prbf.g_00117
OG0000059	Syah.g_00737	Prbf.g_00606
OG0000061	Syah.g_02158	Prbf.g_00918
OG0000062	Syah.g_02365	Prbf.g_00242
OG0000063	Syah.g_00337	Prbf.g_00808
OG0000064	Syah.g_01353, Syah.g_02357	Prbf.g_01394
OG0000065	Syah.g_02443, Syah.g_02537	Prbf.g_01435
OG0000066	Syah.g_01073	Prbf.g_01820, Prbf.g_00781
OG0000067	Syah.g_01779	Prbf.g_01245
OG0000068	Syah.g_00986	Prbf.g_00095
OG0000069	Syah.g_01715	Prbf.g_01738
OG0000070	Syah.g_02217	Prbf.g_01734
OG0000071	Syah.g_02199	Prbf.g_00026
OG0000072	Syah.g_00080	Prbf.g_01505
OG0000073	Syah.g_01018	Prbf.g_01783
OG0000074	Syah.g_00951	Prbf.g_00295, Prbf.g_00836, Prbf.g_01281
OG0000075	Syah.g_00186	Prbf.g_00522
OG0000076	Syah.g_00250	Prbf.g_00496
OG0000077	Syah.g_02494	Prbf.g_01405
OG0000079	Syah.g_00665	Prbf.g_01591
OG0000081	Syah.g_00922	Prbf.g_01812
OG0000082	Syah.g_01136	Prbf.g_01867, Prbf.g_00704
OG0000084	Syah.g_01296	Prbf.g_00154
OG0000085	Syah.g_02372	Prbf.g_00701, Prbf.g_00822
OG0000086	Syah.g_02511	Prbf.g_01414
OG0000087	Syah.g_00038	Prbf.g_01469
OG0000088	Syah.g_00074	Prbf.g_01500
OG0000089	Syah.g_00888	Prbf.g_01701
OG0000090	Syah.g_01064	Prbf.g_01814
OG0000091	Syah.g_01927	Prbf.g_00990
OG0000097	Syah.g_01400	Prbf.g_00964
OG0000098	Syah.g_00723	Prbf.g_00071
OG0000099	Syah.g_00144	Prbf.g_00118
OG0000100	Syah.g_01747	Prbf.g_00236
OG0000101	Syah.g_00785	Prbf.g_00558
OG0000102	Syah.g_00255	Prbf.g_00491
OG0000103	Syah.g_00391	Prbf.g_00406
OG0000104	Syah.g_00377	Prbf.g_00397
OG0000105	Syah.g_00632	Prbf.g_01614
OG0000106	Syah.g_01544	Prbf.g_00320
OG0000107	Syah.g_00688	Prbf.g_00629
OG0000108	Syah.g_00997	Prbf.g_01763
OG0000109	Syah.g_01012	Prbf.g_01777
OG0000110	Syah.g_01124	Prbf.g_01856
OG0000112	Syah.g_01613	Prbf.g_01929
OG0000113	Syah.g_01752	Prbf.g_01222
OG0000114	Syah.g_01529	Prbf.g_01320
OG0000115	Syah.g_01269	Prbf.g_00062
OG0000116	Syah.g_02175	Prbf.g_00907
OG0000117	Syah.g_01425	Prbf.g_00945
OG0000118	Syah.g_01173	Prbf.g_00013
OG0000120	Syah.g_00145	Prbf.g_00115
OG0000121	Syah.g_01287	Prbf.g_00159
OG0000122	Syah.g_01900	Prbf.g_00055, Prbf.g_00200
OG0000123	Syah.g_00793	Prbf.g_00551
OG0000124	Syah.g_00272	Prbf.g_00478
OG0000125	Syah.g_00504	Prbf.g_00443
OG0000126	Syah.g_00379	Prbf.g_00398
OG0000128	Syah.g_00361	Prbf.g_00382
OG0000129	Syah.g_00516	Prbf.g_01367
OG0000130	Syah.g_02483	Prbf.g_01396
OG0000131	Syah.g_00052	Prbf.g_01478
OG0000132	Syah.g_00072	Prbf.g_01498
OG0000133	Syah.g_01618	Prbf.g_01661
OG0000134	Syah.g_00891	Prbf.g_01703
OG0000135	Syah.g_00465	Prbf.g_00044
