Orthogroup	Syah	Prbe
OG0000001	Syah.g_00726	Prbe.g_00400, Prbe.g_00112
OG0000002	Syah.g_01829	Prbe.g_01285, Prbe.g_01290, Prbe.g_01579, Prbe.g_00379, Prbe.g_01577, Prbe.g_01584, Prbe.g_00208, Prbe.g_00452
OG0000004	Syah.g_02017	Prbe.g_01203
OG0000004	Syah.g_01967, Syah.g_00901	Prbe.g_01784
OG0000005	Syah.g_02363	Prbe.g_00228
OG0000006	Syah.g_00683, Syah.g_00915, Syah.g_00681, Syah.g_00918	Prbe.g_01794
OG0000007	Syah.g_01016	Prbe.g_00636
OG0000007	Syah.g_02384	Prbe.g_00985
OG0000008	Syah.g_01994	Prbe.g_00036
OG0000008	Syah.g_01993	Prbe.g_00037
OG0000009	Syah.g_02457	Prbe.g_00216
OG0000010	Syah.g_01220	Prbe.g_00096, Prbe.g_01411, Prbe.g_00659
OG0000012	Syah.g_01960	Prbe.g_00511
OG0000013	Syah.g_00831, Syah.g_00817, Syah.g_00822	Prbe.g_01879
OG0000014	Syah.g_00127	Prbe.g_01861
OG0000015	Syah.g_01511, Syah.g_01510	Prbe.g_01046, Prbe.g_01000
OG0000016	Syah.g_01402, Syah.g_01859	Prbe.g_01607
OG0000017	Syah.g_01159	Prbe.g_00529
OG0000017	Syah.g_01152	Prbe.g_00536
OG0000018	Syah.g_01264	Prbe.g_01571, Prbe.g_01250
OG0000019	Syah.g_00669	Prbe.g_01802, Prbe.g_01573
OG0000022	Syah.g_01881	Prbe.g_00220
OG0000023	Syah.g_01330, Syah.g_02167, Syah.g_00930	Prbe.g_00062
OG0000024	Syah.g_01990	Prbe.g_01415, Prbe.g_00449
OG0000025	Syah.g_02082	Prbe.g_01258
OG0000026	Syah.g_00340	Prbe.g_00132
OG0000027	Syah.g_01541	Prbe.g_01121, Prbe.g_00012
OG0000028	Syah.g_00141	Prbe.g_00034
OG0000029	Syah.g_01292	Prbe.g_01091, Prbe.g_00025, Prbe.g_01054, Prbe.g_01133
OG0000030	Syah.g_00264, Syah.g_00265	Prbe.g_00763
OG0000031	Syah.g_00226, Syah.g_00322	Prbe.g_00352
OG0000032	Syah.g_01246	Prbe.g_00272
OG0000033	Syah.g_00211	Prbe.g_00345
