Orthogroup	Syah	Syai
OG0000001	Syah.g_00726	Syai.g_01716
OG0000001	Syah.g_01516	Syai.g_01197, Syai.g_02594
OG0000001	Syah.g_00040	Syai.g_02595
OG0000001	Syah.g_00710	Syai.g_01729
OG0000002	Syah.g_01829	Syai.g_01728
OG0000004	Syah.g_02017	Syai.g_01994
OG0000004	Syah.g_01967	Syai.g_01062
OG0000004	Syah.g_00901	Syai.g_00530
OG0000005	Syah.g_02403	Syai.g_02393
OG0000005	Syah.g_02363	Syai.g_02356
OG0000005	Syah.g_01827	Syai.g_02068, Syai.g_01611
OG0000006	Syah.g_00683, Syah.g_00915, Syah.g_00681, Syah.g_00918	Syai.g_00317, Syai.g_00547
OG0000006	Syah.g_01912	Syai.g_01126
OG0000007	Syah.g_01016	Syai.g_00657
OG0000007	Syah.g_02384	Syai.g_02378
OG0000008	Syah.g_01994	Syai.g_01956
OG0000008	Syah.g_01993	Syai.g_01955
OG0000009	Syah.g_02457	Syai.g_01626
OG0000009	Syah.g_02535	Syai.g_02541
OG0000010	Syah.g_01220	Syai.g_00864
OG0000011	Syah.g_01991	Syai.g_01952
OG0000012	Syah.g_02169	Syai.g_01987
OG0000012	Syah.g_01340	Syai.g_01529, Syai.g_01650
OG0000012	Syah.g_01960	Syai.g_01068
OG0000013	Syah.g_00831	Syai.g_00450
OG0000013	Syah.g_00817	Syai.g_00436
OG0000013	Syah.g_00822	Syai.g_00442
OG0000014	Syah.g_00127	Syai.g_00220
OG0000015	Syah.g_01511	Syai.g_01246
OG0000015	Syah.g_01510	Syai.g_01245
OG0000016	Syah.g_00359	Syai.g_00014
OG0000016	Syah.g_01402	Syai.g_01785
OG0000016	Syah.g_01859	Syai.g_01632
OG0000017	Syah.g_01159	Syai.g_00808
OG0000017	Syah.g_01152	Syai.g_00801
OG0000018	Syah.g_01264	Syai.g_00915
OG0000019	Syah.g_00669	Syai.g_00304
OG0000022	Syah.g_01881	Syai.g_01159
OG0000023	Syah.g_01330, Syah.g_02167	Syai.g_01027, Syai.g_01875, Syai.g_02821, Syai.g_01681, Syai.g_01022
OG0000023	Syah.g_00930	Syai.g_02318
OG0000024	Syah.g_01990	Syai.g_01951
OG0000025	Syah.g_02082	Syai.g_02044
OG0000026	Syah.g_00340	Syai.g_00038
OG0000027	Syah.g_01541	Syai.g_01654
OG0000028	Syah.g_00141	Syai.g_00205
OG0000029	Syah.g_01292	Syai.g_01035
OG0000030	Syah.g_00264	Syai.g_00096
OG0000030	Syah.g_00265	Syai.g_00095
OG0000031	Syah.g_00146	Syai.g_00197
OG0000032	Syah.g_01246	Syai.g_00895
OG0000033	Syah.g_00078	Syai.g_02634
OG0000034	Syah.g_00048, Syah.g_02213	Syai.g_02192, Syai.g_02604
