Orthogroup	Syah	Prbi
OG0000001	Syah.g_00726	Prbi.g_01424, Prbi.g_01542, Prbi.g_01763, Prbi.g_01270
OG0000002	Syah.g_01829	Prbi.g_01432, Prbi.g_00681
OG0000004	Syah.g_02017	Prbi.g_00698
OG0000004	Syah.g_01967, Syah.g_00901	Prbi.g_00256
OG0000005	Syah.g_02403	Prbi.g_01800
OG0000005	Syah.g_02363	Prbi.g_01666
OG0000006	Syah.g_00683, Syah.g_00915, Syah.g_00681, Syah.g_00918	Prbi.g_00265
OG0000007	Syah.g_01016	Prbi.g_00500
OG0000007	Syah.g_02384	Prbi.g_01787
OG0000008	Syah.g_01994	Prbi.g_01764
OG0000008	Syah.g_01993	Prbi.g_01540, Prbi.g_01765, Prbi.g_01539
OG0000009	Syah.g_02457	Prbi.g_01338, Prbi.g_01701
OG0000009	Syah.g_01910, Syah.g_02535	Prbi.g_00112
OG0000010	Syah.g_01220	Prbi.g_01094, Prbi.g_00477
OG0000012	Syah.g_02169, Syah.g_01340, Syah.g_01960	Prbi.g_00625
OG0000013	Syah.g_00831, Syah.g_00817, Syah.g_00822	Prbi.g_00351
OG0000014	Syah.g_00127	Prbi.g_00330
OG0000014	Syah.g_00323	Prbi.g_01475
OG0000015	Syah.g_01511, Syah.g_01510	Prbi.g_00810, Prbi.g_01304
OG0000016	Syah.g_00359	Prbi.g_00013
OG0000017	Syah.g_01152	Prbi.g_00600
OG0000018	Syah.g_01264	Prbi.g_01188, Prbi.g_00874
OG0000019	Syah.g_00669	Prbi.g_00273, Prbi.g_00827
OG0000022	Syah.g_01881	Prbi.g_00805, Prbi.g_01170
OG0000023	Syah.g_01330, Syah.g_02167, Syah.g_00930	Prbi.g_00384
OG0000024	Syah.g_01990	Prbi.g_00788, Prbi.g_00678
OG0000025	Syah.g_02082	Prbi.g_00882, Prbi.g_00355
OG0000026	Syah.g_00340	Prbi.g_00031, Prbi.g_01101
OG0000027	Syah.g_01541	Prbi.g_00472, Prbi.g_01374
OG0000028	Syah.g_00141	Prbi.g_00344, Prbi.g_01319, Prbi.g_01768
OG0000029	Syah.g_01292	Prbi.g_00399, Prbi.g_00796
OG0000030	Syah.g_00264, Syah.g_00265	Prbi.g_02004
OG0000031	Syah.g_00226	Prbi.g_01467
OG0000033	Syah.g_00078	Prbi.g_00193
OG0000034	Syah.g_00048, Syah.g_02213	Prbi.g_01401
OG0000035	Syah.g_01293	Prbi.g_01589, Prbi.g_01591
OG0000037	Syah.g_02541, Syah.g_00956, Syah.g_01365	Prbi.g_00116
OG0000038	Syah.g_00508, Syah.g_00506	Prbi.g_02057
OG0000039	Syah.g_02074	Prbi.g_00689
OG0000040	Syah.g_01908	Prbi.g_01738
OG0000041	Syah.g_02271	Prbi.g_01833
OG0000042	Syah.g_00261	Prbi.g_02001
OG0000043	Syah.g_01546	Prbi.g_01334
OG0000044	Syah.g_01194	Prbi.g_01744, Prbi.g_01760
OG0000045	Syah.g_01872	Prbi.g_00395
OG0000047	Syah.g_00847	Prbi.g_00354
OG0000048	Syah.g_00637	Prbi.g_00398
OG0000051	Syah.g_02473	Prbi.g_01364
OG0000052	Syah.g_00171	Prbi.g_01478
OG0000053	Syah.g_01267	Prbi.g_01611
OG0000054	Syah.g_01982	Prbi.g_00608
OG0000055	Syah.g_02071	Prbi.g_00828
OG0000057	Syah.g_02020	Prbi.g_00702
OG0000058	Syah.g_00152	Prbi.g_01461
OG0000059	Syah.g_00737	Prbi.g_01873, Prbi.g_01717
OG0000061	Syah.g_02158	Prbi.g_01207
OG0000063	Syah.g_00337	Prbi.g_00033
OG0000065	Syah.g_02443, Syah.g_02537	Prbi.g_00114
OG0000066	Syah.g_01073	Prbi.g_00542
OG0000067	Syah.g_01779	Prbi.g_00847
OG0000068	Syah.g_00986	Prbi.g_01439
OG0000069	Syah.g_01715	Prbi.g_01702
OG0000070	Syah.g_02217	Prbi.g_00451
OG0000071	Syah.g_02199	Prbi.g_01391
OG0000072	Syah.g_00080	Prbi.g_00195
OG0000073	Syah.g_01018	Prbi.g_00502
OG0000074	Syah.g_00951	Prbi.g_00685
OG0000075	Syah.g_00186	Prbi.g_01970
OG0000076	Syah.g_00250	Prbi.g_01994
OG0000077	Syah.g_02494	Prbi.g_00085
OG0000079	Syah.g_00665	Prbi.g_00276
OG0000080	Syah.g_00290	Prbi.g_00410, Prbi.g_01492
OG0000081	Syah.g_00922	Prbi.g_00534
OG0000082	Syah.g_01136	Prbi.g_00587
OG0000084	Syah.g_01296	Prbi.g_01585
OG0000085	Syah.g_02372	Prbi.g_01780
OG0000086	Syah.g_02511	Prbi.g_00095
OG0000087	Syah.g_00038	Prbi.g_00147
OG0000088	Syah.g_00074	Prbi.g_00190
OG0000089	Syah.g_00888	Prbi.g_00380
OG0000090	Syah.g_01064	Prbi.g_00536
OG0000091	Syah.g_01927	Prbi.g_00645
OG0000094	Syah.g_01692	Prbi.g_01067
OG0000097	Syah.g_01400	Prbi.g_01248
OG0000098	Syah.g_00723	Prbi.g_01421
OG0000099	Syah.g_00144	Prbi.g_01462
OG0000100	Syah.g_01747	Prbi.g_01664
OG0000101	Syah.g_00785	Prbi.g_01938
OG0000102	Syah.g_00255	Prbi.g_01999
OG0000103	Syah.g_00391	Prbi.g_02091
OG0000104	Syah.g_00377	Prbi.g_02099
OG0000105	Syah.g_00632	Prbi.g_00298
OG0000106	Syah.g_01544	Prbi.g_00394
OG0000107	Syah.g_00688	Prbi.g_00409
OG0000108	Syah.g_00997	Prbi.g_00483
OG0000109	Syah.g_01012	Prbi.g_00497
OG0000110	Syah.g_01124	Prbi.g_00577
OG0000112	Syah.g_01613	Prbi.g_00811
OG0000113	Syah.g_01752	Prbi.g_00869
OG0000114	Syah.g_01529	Prbi.g_00951
OG0000115	Syah.g_01269	Prbi.g_01148
OG0000116	Syah.g_02175	Prbi.g_01197
OG0000117	Syah.g_01425	Prbi.g_01330
OG0000118	Syah.g_01173	Prbi.g_01403
OG0000120	Syah.g_00145	Prbi.g_01460
OG0000121	Syah.g_01287	Prbi.g_01593
OG0000122	Syah.g_01900	Prbi.g_01630
OG0000123	Syah.g_00793	Prbi.g_01945
OG0000124	Syah.g_00272	Prbi.g_02010
OG0000125	Syah.g_00504	Prbi.g_02059
OG0000126	Syah.g_00379	Prbi.g_02098
OG0000128	Syah.g_00361	Prbi.g_00011
OG0000129	Syah.g_00516	Prbi.g_00053
OG0000130	Syah.g_02483	Prbi.g_00076
OG0000131	Syah.g_00052	Prbi.g_00169
