Orthogroup	Syah	Syae
OG0000001	Syah.g_00726	Syae.g_02061
OG0000001	Syah.g_01516	Syae.g_01416
OG0000001	Syah.g_00040, Syah.g_00041	Syae.g_01417
OG0000001	Syah.g_00710	Syae.g_02055
OG0000004	Syah.g_02017	Syae.g_00779
OG0000004	Syah.g_01967	Syae.g_00042
OG0000004	Syah.g_00901	Syae.g_02231
OG0000005	Syah.g_02403	Syae.g_01179
OG0000005	Syah.g_02363	Syae.g_01143
OG0000005	Syah.g_01827	Syae.g_00257
OG0000006	Syah.g_00683, Syah.g_00915, Syah.g_00681, Syah.g_00918	Syae.g_02030, Syae.g_02248
OG0000006	Syah.g_01912	Syae.g_00096
OG0000007	Syah.g_01016	Syae.g_02328
OG0000007	Syah.g_02384	Syae.g_01163
OG0000008	Syah.g_01994	Syae.g_00753
OG0000008	Syah.g_01993	Syae.g_00752
OG0000009	Syah.g_02457	Syae.g_00561, Syae.g_00171
OG0000009	Syah.g_01910	Syae.g_00100
OG0000009	Syah.g_02535	Syae.g_01361
OG0000010	Syah.g_01220	Syae.g_02529
OG0000011	Syah.g_01991	Syae.g_00750
OG0000012	Syah.g_01340	Syae.g_02397, Syae.g_02562
OG0000012	Syah.g_01960	Syae.g_00049
OG0000013	Syah.g_00831	Syae.g_02169
OG0000013	Syah.g_00817	Syae.g_02155
OG0000013	Syah.g_00822	Syae.g_02160
OG0000014	Syah.g_00127	Syae.g_01930
OG0000014	Syah.g_00323	Syae.g_01850
OG0000015	Syah.g_01511	Syae.g_00590
OG0000016	Syah.g_00359	Syae.g_01726
OG0000016	Syah.g_01402	Syae.g_00681
OG0000016	Syah.g_01859	Syae.g_00233
OG0000017	Syah.g_01159	Syae.g_02469
OG0000017	Syah.g_01152	Syae.g_02462
OG0000018	Syah.g_01264	Syae.g_02625
OG0000019	Syah.g_00669	Syae.g_02015
OG0000022	Syah.g_01881	Syae.g_00144
OG0000023	Syah.g_01330, Syah.g_02167	Syae.g_00439
OG0000023	Syah.g_00930	Syae.g_00930
OG0000025	Syah.g_02082	Syae.g_00833
OG0000026	Syah.g_00340	Syae.g_01748
OG0000027	Syah.g_01541	Syae.g_00814
OG0000028	Syah.g_00141	Syae.g_01916
OG0000029	Syah.g_01292	Syae.g_00136
OG0000030	Syah.g_00264	Syae.g_01817
OG0000030	Syah.g_00265	Syae.g_01816
OG0000031	Syah.g_00146	Syae.g_01911
OG0000032	Syah.g_01246	Syae.g_02607
OG0000033	Syah.g_00078	Syae.g_01453
OG0000034	Syah.g_00048, Syah.g_02213	Syae.g_00975, Syae.g_01424
OG0000035	Syah.g_01293	Syae.g_02653
OG0000037	Syah.g_02541, Syah.g_00956, Syah.g_01365	Syae.g_01367
OG0000038	Syah.g_00508	Syae.g_01571
OG0000039	Syah.g_02074	Syae.g_00822
OG0000040	Syah.g_00431	Syae.g_01653
