Orthogroup	Syah	Prbc
OG0000001	Syah.g_00726	Prbc.g_00588, Prbc.g_00892, Prbc.g_01530, Prbc.g_00925
OG0000002	Syah.g_01829	Prbc.g_01920, Prbc.g_01475, Prbc.g_01474, Prbc.g_01479, Prbc.g_01473, Prbc.g_01478, Prbc.g_01759
OG0000004	Syah.g_02017	Prbc.g_01381
OG0000004	Syah.g_01967, Syah.g_00901	Prbc.g_00339
OG0000005	Syah.g_02403	Prbc.g_00098
OG0000005	Syah.g_02363	Prbc.g_00788
OG0000006	Syah.g_00683, Syah.g_00915, Syah.g_00681, Syah.g_00918	Prbc.g_02202
OG0000007	Syah.g_01016	Prbc.g_01556
OG0000007	Syah.g_02384	Prbc.g_00832
OG0000008	Syah.g_01994	Prbc.g_00893
OG0000008	Syah.g_01993	Prbc.g_00894
OG0000009	Syah.g_02457	Prbc.g_01344
OG0000010	Syah.g_01220	Prbc.g_02115, Prbc.g_01533
OG0000013	Syah.g_00831, Syah.g_00817, Syah.g_00822	Prbc.g_01219
OG0000014	Syah.g_00127	Prbc.g_01198
OG0000014	Syah.g_00223, Syah.g_00323	Prbc.g_00680
OG0000015	Syah.g_01511, Syah.g_01510	Prbc.g_00599
OG0000016	Syah.g_00359	Prbc.g_01083
OG0000016	Syah.g_01402, Syah.g_01859	Prbc.g_00929
OG0000017	Syah.g_01152	Prbc.g_01681
OG0000018	Syah.g_01264	Prbc.g_01468, Prbc.g_01887
OG0000019	Syah.g_00669	Prbc.g_01836
OG0000022	Syah.g_01881	Prbc.g_00166, Prbc.g_01288
OG0000023	Syah.g_01330, Syah.g_02167, Syah.g_00930	Prbc.g_00006, Prbc.g_00047, Prbc.g_00071
OG0000024	Syah.g_01990	Prbc.g_00598, Prbc.g_01755
OG0000025	Syah.g_02082	Prbc.g_01115, Prbc.g_00528, Prbc.g_01894
OG0000026	Syah.g_00340	Prbc.g_01101
OG0000027	Syah.g_01541	Prbc.g_00072
OG0000028	Syah.g_00141	Prbc.g_00653
OG0000030	Syah.g_00264, Syah.g_00265	Prbc.g_00199
OG0000031	Syah.g_00226, Syah.g_00322	Prbc.g_01228
OG0000032	Syah.g_01246	Prbc.g_00746
OG0000033	Syah.g_00078	Prbc.g_00402
OG0000034	Syah.g_00048, Syah.g_02213	Prbc.g_00575
OG0000035	Syah.g_01293	Prbc.g_00709
OG0000037	Syah.g_02541, Syah.g_00956, Syah.g_01365	Prbc.g_00464
OG0000038	Syah.g_00508, Syah.g_00506	Prbc.g_00995
OG0000039	Syah.g_02074	Prbc.g_01768
OG0000040	Syah.g_01908	Prbc.g_00909, Prbc.g_00811
OG0000041	Syah.g_02271	Prbc.g_00877
OG0000042	Syah.g_00261	Prbc.g_00203
OG0000043	Syah.g_01546	Prbc.g_00135
OG0000044	Syah.g_01194	Prbc.g_00533
OG0000045	Syah.g_01872	Prbc.g_02137
OG0000046	Syah.g_00816, Syah.g_00823, Syah.g_00830	Prbc.g_01220
OG0000047	Syah.g_00847	Prbc.g_01273, Prbc.g_01227
OG0000048	Syah.g_00637	Prbc.g_01165
OG0000053	Syah.g_01267	Prbc.g_00728
OG0000054	Syah.g_01982	Prbc.g_01683
OG0000055	Syah.g_02071	Prbc.g_01822
OG0000055	Syah.g_01878	Prbc.g_00907
OG0000057	Syah.g_02020	Prbc.g_01780, Prbc.g_00055
OG0000058	Syah.g_00152	Prbc.g_01928
OG0000059	Syah.g_00737	Prbc.g_00958
OG0000061	Syah.g_02158	Prbc.g_01446
OG0000063	Syah.g_00337	Prbc.g_00932
OG0000065	Syah.g_02443, Syah.g_02537	Prbc.g_00466
OG0000066	Syah.g_01073	Prbc.g_01618
OG0000067	Syah.g_01779	Prbc.g_01858
OG0000068	Syah.g_00986	Prbc.g_00657
OG0000069	Syah.g_01715	Prbc.g_02181, Prbc.g_00752
OG0000070	Syah.g_02217	Prbc.g_01511
OG0000071	Syah.g_02199	Prbc.g_00566
OG0000072	Syah.g_00080	Prbc.g_00400
OG0000073	Syah.g_01018	Prbc.g_01579
OG0000074	Syah.g_00951	Prbc.g_02148, Prbc.g_01960, Prbc.g_01763
OG0000075	Syah.g_00186	Prbc.g_00236
OG0000076	Syah.g_00250	Prbc.g_00211
OG0000077	Syah.g_02494	Prbc.g_00495
OG0000079	Syah.g_00665	Prbc.g_01148
OG0000080	Syah.g_00290	Prbc.g_00679
OG0000081	Syah.g_00922	Prbc.g_01610
OG0000082	Syah.g_01136	Prbc.g_00891
OG0000084	Syah.g_01296	Prbc.g_00705
OG0000085	Syah.g_02372	Prbc.g_00826
OG0000086	Syah.g_02511	Prbc.g_00485
OG0000087	Syah.g_00038	Prbc.g_00432
OG0000088	Syah.g_00074	Prbc.g_00405
OG0000089	Syah.g_00888	Prbc.g_01268
OG0000090	Syah.g_01064	Prbc.g_01612
OG0000091	Syah.g_01927	Prbc.g_01719
OG0000097	Syah.g_01400	Prbc.g_01400
OG0000098	Syah.g_00723	Prbc.g_00585
OG0000099	Syah.g_00144	Prbc.g_01229
OG0000100	Syah.g_01747	Prbc.g_00785
OG0000101	Syah.g_00785	Prbc.g_00284
OG0000102	Syah.g_00255	Prbc.g_00206
OG0000103	Syah.g_00391	Prbc.g_01053
OG0000104	Syah.g_00377	Prbc.g_01065
OG0000105	Syah.g_00632	Prbc.g_01167
OG0000106	Syah.g_01544	Prbc.g_00134, Prbc.g_00641
OG0000107	Syah.g_00688	Prbc.g_00934
OG0000108	Syah.g_00997	Prbc.g_01540
OG0000109	Syah.g_01012	Prbc.g_01553
OG0000110	Syah.g_01124	Prbc.g_01654
OG0000112	Syah.g_01613	Prbc.g_02028
OG0000113	Syah.g_01752	Prbc.g_01882, Prbc.g_00153
OG0000114	Syah.g_01529	Prbc.g_01977
OG0000115	Syah.g_01269	Prbc.g_00801
OG0000116	Syah.g_02175	Prbc.g_01457
OG0000117	Syah.g_01425	Prbc.g_00102
OG0000118	Syah.g_01173	Prbc.g_00577
OG0000120	Syah.g_00145	Prbc.g_01753
OG0000121	Syah.g_01287	Prbc.g_00711
OG0000122	Syah.g_01900	Prbc.g_00750
OG0000123	Syah.g_00793	Prbc.g_00277
OG0000124	Syah.g_00272	Prbc.g_00193
OG0000125	Syah.g_00504	Prbc.g_00997
OG0000126	Syah.g_00379	Prbc.g_01063
OG0000128	Syah.g_00361	Prbc.g_01081
OG0000129	Syah.g_00516	Prbc.g_01122
OG0000130	Syah.g_02483	Prbc.g_00504
OG0000131	Syah.g_00052	Prbc.g_00426
OG0000132	Syah.g_00072	Prbc.g_00407
OG0000133	Syah.g_01618	Prbc.g_01214
