Orthogroup	Syah	Prbl
OG0000001	Syah.g_00726	Prbl.g_00725, Prbl.g_00121, Prbl.g_02599
OG0000001	Syah.g_00040, Syah.g_00041	Prbl.g_00808, Prbl.g_02598
OG0000002	Syah.g_01829	Prbl.g_01582, Prbl.g_01092
OG0000004	Syah.g_02017	Prbl.g_00021
OG0000004	Syah.g_01967, Syah.g_00901	Prbl.g_01771
OG0000005	Syah.g_02363	Prbl.g_00419
OG0000006	Syah.g_00683, Syah.g_00915, Syah.g_00681, Syah.g_00918	Prbl.g_02601
OG0000007	Syah.g_01016	Prbl.g_00531
OG0000007	Syah.g_02384	Prbl.g_00394
OG0000008	Syah.g_01994	Prbl.g_01855
OG0000008	Syah.g_01993	Prbl.g_01854
OG0000009	Syah.g_01910, Syah.g_02535	Prbl.g_00155, Prbl.g_00554
OG0000010	Syah.g_01220	Prbl.g_01341
OG0000012	Syah.g_01960	Prbl.g_01618
OG0000013	Syah.g_00831, Syah.g_00817, Syah.g_00822	Prbl.g_01183
OG0000014	Syah.g_00127	Prbl.g_01416
OG0000015	Syah.g_01511, Syah.g_01510	Prbl.g_01566
OG0000017	Syah.g_01159	Prbl.g_01755
OG0000017	Syah.g_01152	Prbl.g_01763
OG0000018	Syah.g_01264	Prbl.g_00694
OG0000019	Syah.g_00669	Prbl.g_01097
OG0000022	Syah.g_01881	Prbl.g_01310, Prbl.g_01072
OG0000023	Syah.g_01330, Syah.g_02167, Syah.g_00930	Prbl.g_02355
OG0000024	Syah.g_01990	Prbl.g_00040
OG0000025	Syah.g_02082	Prbl.g_01539
OG0000026	Syah.g_00340	Prbl.g_01977
OG0000028	Syah.g_00141	Prbl.g_00900
OG0000029	Syah.g_01292	Prbl.g_01163
OG0000030	Syah.g_00264	Prbl.g_02061
OG0000030	Syah.g_00265	Prbl.g_02060
OG0000032	Syah.g_01246	Prbl.g_00712
OG0000033	Syah.g_00078	Prbl.g_00278
OG0000034	Syah.g_00048, Syah.g_02213	Prbl.g_01734
OG0000035	Syah.g_01293	Prbl.g_00242
OG0000036	Syah.g_00964	Prbl.g_02665
OG0000036	Syah.g_00963	Prbl.g_00735
OG0000037	Syah.g_02541, Syah.g_00956, Syah.g_01365	Prbl.g_00548
OG0000038	Syah.g_00508	Prbl.g_02235
OG0000038	Syah.g_00506	Prbl.g_02233
OG0000041	Syah.g_02271	Prbl.g_00339
OG0000042	Syah.g_00261	Prbl.g_01236, Prbl.g_01121
OG0000045	Syah.g_02356, Syah.g_01872	Prbl.g_00609
OG0000046	Syah.g_00816, Syah.g_00823, Syah.g_00830	Prbl.g_01184
