Orthogroup	Syah	Prai
OG0000001	Syah.g_00726	Prai.g_01235, Prai.g_01356, Prai.g_01236
OG0000002	Syah.g_01829	Prai.g_01363, Prai.g_00707
OG0000004	Syah.g_02017	Prai.g_00724
OG0000004	Syah.g_01967, Syah.g_00901	Prai.g_00243
OG0000005	Syah.g_02403	Prai.g_01651
OG0000005	Syah.g_02363	Prai.g_01538
OG0000006	Syah.g_00683, Syah.g_00915, Syah.g_00681, Syah.g_00918	Prai.g_00252, Prai.g_00254
OG0000007	Syah.g_01016	Prai.g_00527
OG0000007	Syah.g_02384	Prai.g_01638
OG0000008	Syah.g_01994, Syah.g_01993	Prai.g_00701
OG0000009	Syah.g_02457	Prai.g_01578
OG0000009	Syah.g_01910, Syah.g_02535	Prai.g_00105
OG0000010	Syah.g_01220	Prai.g_01292, Prai.g_01067, Prai.g_00504
OG0000012	Syah.g_02169, Syah.g_01340, Syah.g_01960	Prai.g_00652
OG0000013	Syah.g_00831, Syah.g_00817, Syah.g_00822	Prai.g_00340
OG0000014	Syah.g_00127	Prai.g_00319
OG0000015	Syah.g_01511, Syah.g_01510	Prai.g_01243
OG0000016	Syah.g_00359	Prai.g_00013
OG0000016	Syah.g_01859	Prai.g_01573
OG0000017	Syah.g_01152	Prai.g_00626
OG0000018	Syah.g_01264	Prai.g_01153, Prai.g_00820
OG0000019	Syah.g_00669	Prai.g_00262, Prai.g_00867
OG0000022	Syah.g_01881	Prai.g_00885, Prai.g_01139
OG0000023	Syah.g_01330, Syah.g_02167, Syah.g_00930	Prai.g_00373
OG0000024	Syah.g_01990	Prai.g_00899, Prai.g_00704
OG0000025	Syah.g_02082	Prai.g_00812, Prai.g_00344
OG0000026	Syah.g_00340	Prai.g_00031, Prai.g_01074
OG0000027	Syah.g_01541	Prai.g_00904
OG0000028	Syah.g_00141	Prai.g_00333, Prai.g_01297
OG0000029	Syah.g_01292	Prai.g_00890
OG0000030	Syah.g_00264, Syah.g_00265	Prai.g_01848
OG0000031	Syah.g_00226, Syah.g_00322	Prai.g_01444
OG0000033	Syah.g_00078	Prai.g_00180
OG0000034	Syah.g_00048, Syah.g_02213	Prai.g_01345
OG0000035	Syah.g_01293	Prai.g_01463
OG0000037	Syah.g_02541, Syah.g_00956, Syah.g_01365	Prai.g_00109
OG0000038	Syah.g_00508, Syah.g_00506	Prai.g_01890
OG0000039	Syah.g_02074	Prai.g_00715
OG0000041	Syah.g_02271	Prai.g_01684
OG0000042	Syah.g_00261	Prai.g_01845
OG0000043	Syah.g_01546	Prai.g_00910
OG0000045	Syah.g_02356	Prai.g_01274
OG0000045	Syah.g_01872	Prai.g_00384
OG0000047	Syah.g_00847	Prai.g_00424, Prai.g_00343
OG0000048	Syah.g_00637	Prai.g_00387
OG0000051	Syah.g_02473	Prai.g_00434
OG0000052	Syah.g_00171	Prai.g_00154
OG0000053	Syah.g_01267	Prai.g_01483
OG0000054	Syah.g_01982	Prai.g_00634
OG0000055	Syah.g_02071	Prai.g_00866
OG0000057	Syah.g_02020	Prai.g_00727
OG0000058	Syah.g_00152	Prai.g_01859
OG0000059	Syah.g_00737	Prai.g_01725, Prai.g_01425
OG0000061	Syah.g_02158, Syah.g_00215	Prai.g_01171
OG0000063	Syah.g_00337	Prai.g_00033, Prai.g_01261
OG0000065	Syah.g_02443, Syah.g_02537	Prai.g_00107
OG0000066	Syah.g_01073	Prai.g_00567
OG0000067	Syah.g_01779	Prai.g_00848
OG0000068	Syah.g_00986	Prai.g_01370
OG0000069	Syah.g_01715	Prai.g_01579
OG0000070	Syah.g_02217	Prai.g_00481
OG0000071	Syah.g_02199	Prai.g_01335
OG0000072	Syah.g_00080	Prai.g_00182
OG0000073	Syah.g_01018	Prai.g_00529
OG0000074	Syah.g_00951	Prai.g_00711
OG0000075	Syah.g_00186	Prai.g_01814
OG0000076	Syah.g_00250	Prai.g_01838
OG0000077	Syah.g_02494	Prai.g_00078
OG0000079	Syah.g_00665	Prai.g_00265
OG0000080	Syah.g_00290	Prai.g_01411, Prai.g_00399
OG0000081	Syah.g_00922	Prai.g_00559
OG0000082	Syah.g_01136	Prai.g_00613
OG0000084	Syah.g_01296	Prai.g_01459
OG0000085	Syah.g_02372	Prai.g_01631
OG0000086	Syah.g_02511	Prai.g_00088
OG0000087	Syah.g_00038	Prai.g_00139
