Orthogroup	Syah	Prap
OG0000001	Syah.g_00726	Prap.g_01925, Prap.g_00653
OG0000002	Syah.g_01829	Prap.g_00720, Prap.g_00715, Prap.g_00486, Prap.g_01946, Prap.g_00484, Prap.g_00491, Prap.g_00224, Prap.g_00823
OG0000004	Syah.g_02017	Prap.g_00802
OG0000004	Syah.g_01967, Syah.g_00901	Prap.g_01480
OG0000005	Syah.g_02363	Prap.g_00204
OG0000006	Syah.g_00683, Syah.g_00915, Syah.g_00681, Syah.g_00918	Prap.g_01470
OG0000007	Syah.g_01016	Prap.g_01270
OG0000007	Syah.g_02384	Prap.g_01779
OG0000008	Syah.g_01994	Prap.g_01888
OG0000008	Syah.g_01993	Prap.g_01887
OG0000009	Syah.g_02457	Prap.g_00216
OG0000010	Syah.g_01220	Prap.g_00669, Prap.g_00318, Prap.g_01293
OG0000012	Syah.g_01960	Prap.g_01145
OG0000013	Syah.g_00831, Syah.g_00817, Syah.g_00822	Prap.g_01385
OG0000014	Syah.g_00127	Prap.g_01403
OG0000015	Syah.g_01511, Syah.g_01510	Prap.g_01840, Prap.g_01794
OG0000016	Syah.g_01402, Syah.g_01859	Prap.g_00514
OG0000017	Syah.g_01159	Prap.g_01163
OG0000017	Syah.g_01152	Prap.g_01170
OG0000018	Syah.g_01264	Prap.g_00478, Prap.g_00755
OG0000019	Syah.g_00669	Prap.g_01462, Prap.g_00480
OG0000022	Syah.g_01881	Prap.g_00212
OG0000023	Syah.g_01330, Syah.g_02167, Syah.g_00930	Prap.g_00029
OG0000024	Syah.g_01990	Prap.g_00322, Prap.g_00826
OG0000025	Syah.g_02082	Prap.g_00747
OG0000026	Syah.g_00340	Prap.g_00923
OG0000027	Syah.g_01541	Prap.g_01860, Prap.g_01912
OG0000028	Syah.g_00141	Prap.g_01889
OG0000029	Syah.g_01292	Prap.g_01688, Prap.g_01899, Prap.g_01848
OG0000030	Syah.g_00264, Syah.g_00265	Prap.g_01569
OG0000031	Syah.g_00226, Syah.g_00322	Prap.g_00080
OG0000032	Syah.g_01246	Prap.g_00160
OG0000033	Syah.g_00211	Prap.g_00087
OG0000033	Syah.g_00078	Prap.g_01001
OG0000034	Syah.g_00048, Syah.g_02213	Prap.g_00572
OG0000035	Syah.g_01293	Prap.g_00121
OG0000037	Syah.g_02541, Syah.g_00956, Syah.g_01365	Prap.g_01067
OG0000038	Syah.g_00508, Syah.g_00506	Prap.g_01530
OG0000039	Syah.g_02074	Prap.g_00814
OG0000041	Syah.g_02271	Prap.g_01731
OG0000042	Syah.g_00261	Prap.g_01572
OG0000045	Syah.g_01872	Prap.g_00500
OG0000046	Syah.g_00816, Syah.g_00823, Syah.g_00830	Prap.g_01384
OG0000047	Syah.g_00847	Prap.g_01343
OG0000048	Syah.g_00637	Prap.g_00548, Prap.g_01439
OG0000052	Syah.g_00171	Prap.g_00099
OG0000053	Syah.g_01267	Prap.g_01834, Prap.g_00142
OG0000054	Syah.g_01982	Prap.g_01161
OG0000055	Syah.g_02071	Prap.g_00505
OG0000055	Syah.g_01878	Prap.g_01805
OG0000057	Syah.g_02020	Prap.g_00799
OG0000058	Syah.g_00152	Prap.g_00081
OG0000059	Syah.g_00737	Prap.g_01691
OG0000061	Syah.g_02158	Prap.g_00456
OG0000062	Syah.g_02365	Prap.g_00206
OG0000063	Syah.g_00337	Prap.g_01903
OG0000064	Syah.g_01353, Syah.g_02357	Prap.g_00883
OG0000065	Syah.g_02443, Syah.g_02537	Prap.g_01069
OG0000066	Syah.g_01073	Prap.g_01230, Prap.g_01867
OG0000067	Syah.g_01779	Prap.g_00783
OG0000068	Syah.g_00986	Prap.g_00059
OG0000069	Syah.g_01715	Prap.g_01312
OG0000070	Syah.g_02217	Prap.g_01316
OG0000071	Syah.g_02199	Prap.g_00561
OG0000072	Syah.g_00080	Prap.g_00999
OG0000073	Syah.g_01018	Prap.g_01267
OG0000074	Syah.g_00951	Prap.g_00021, Prap.g_00658, Prap.g_00819
OG0000075	Syah.g_00186	Prap.g_01606
OG0000076	Syah.g_00250	Prap.g_01580
OG0000077	Syah.g_02494	Prap.g_01099
OG0000079	Syah.g_00665	Prap.g_01459
OG0000081	Syah.g_00922	Prap.g_01238
OG0000082	Syah.g_01136	Prap.g_01183, Prap.g_01790
OG0000084	Syah.g_01296	Prap.g_00118
OG0000085	Syah.g_02372	Prap.g_01787, Prap.g_01917
OG0000086	Syah.g_02511	Prap.g_01090
OG0000087	Syah.g_00038	Prap.g_01035
OG0000088	Syah.g_00074	Prap.g_01004
OG0000089	Syah.g_00888	Prap.g_01349
OG0000090	Syah.g_01064	Prap.g_01236
OG0000091	Syah.g_01927	Prap.g_00384
OG0000097	Syah.g_01400	Prap.g_00410
OG0000098	Syah.g_00723	Prap.g_01928
OG0000099	Syah.g_00144	Prap.g_00082
OG0000100	Syah.g_01747	Prap.g_00200
OG0000101	Syah.g_00785	Prap.g_01642
OG0000102	Syah.g_00255	Prap.g_01575
OG0000103	Syah.g_00391	Prap.g_01491
OG0000104	Syah.g_00377	Prap.g_01869
OG0000105	Syah.g_00632	Prap.g_01436
OG0000106	Syah.g_01544	Prap.g_00591
OG0000107	Syah.g_00688	Prap.g_01714
OG0000108	Syah.g_00997	Prap.g_01287
OG0000109	Syah.g_01012	Prap.g_01273
OG0000110	Syah.g_01124	Prap.g_01194
OG0000112	Syah.g_01613	Prap.g_01121
OG0000113	Syah.g_01752	Prap.g_00760
OG0000114	Syah.g_01529	Prap.g_00858
OG0000115	Syah.g_01269	Prap.g_00525
OG0000116	Syah.g_02175	Prap.g_00467
OG0000117	Syah.g_01425	Prap.g_00429
