Orthogroup	Syah	Praa
OG0000001	Syah.g_00726	Praa.g_01351, Praa.g_01220, Praa.g_01222
OG0000002	Syah.g_01829	Praa.g_01359, Praa.g_00678
OG0000004	Syah.g_02017	Praa.g_00695
OG0000004	Syah.g_01967, Syah.g_00901	Praa.g_00232
OG0000005	Syah.g_02403	Praa.g_01648
OG0000005	Syah.g_02363	Praa.g_01553
OG0000006	Syah.g_00683, Syah.g_00915, Syah.g_00681, Syah.g_00918	Praa.g_00241, Praa.g_01245
OG0000007	Syah.g_01016	Praa.g_00497
OG0000007	Syah.g_02384	Praa.g_01635
OG0000008	Syah.g_01994	Praa.g_01241
OG0000009	Syah.g_02457	Praa.g_01264, Praa.g_01589
OG0000009	Syah.g_01910, Syah.g_02535	Praa.g_00105
OG0000010	Syah.g_01220	Praa.g_01047, Praa.g_00474
OG0000012	Syah.g_02169, Syah.g_01340, Syah.g_01960	Praa.g_00623
OG0000013	Syah.g_00831, Syah.g_00817, Syah.g_00822	Praa.g_00327
OG0000014	Syah.g_00127	Praa.g_00306
OG0000014	Syah.g_00223, Syah.g_00323	Praa.g_01409
OG0000015	Syah.g_01511, Syah.g_01510	Praa.g_00765
OG0000016	Syah.g_00359	Praa.g_00013
OG0000017	Syah.g_01152	Praa.g_00598
OG0000018	Syah.g_01264	Praa.g_01141, Praa.g_00831
OG0000019	Syah.g_00669	Praa.g_00249, Praa.g_00782
OG0000022	Syah.g_01881	Praa.g_00763, Praa.g_01124
OG0000023	Syah.g_01330, Syah.g_02167, Syah.g_00930	Praa.g_00359
OG0000024	Syah.g_01990	Praa.g_00747, Praa.g_00675
OG0000025	Syah.g_02082	Praa.g_00839, Praa.g_00331
OG0000026	Syah.g_00340	Praa.g_00031, Praa.g_01054
OG0000027	Syah.g_01541	Praa.g_00470, Praa.g_01301
OG0000028	Syah.g_00141	Praa.g_00320, Praa.g_01248
OG0000029	Syah.g_01292	Praa.g_00374, Praa.g_00754
OG0000030	Syah.g_00264, Syah.g_00265	Praa.g_01842
OG0000033	Syah.g_00211	Praa.g_01437
OG0000033	Syah.g_00078	Praa.g_00169
OG0000034	Syah.g_00048, Syah.g_02213	Praa.g_01328
OG0000035	Syah.g_01293	Praa.g_01476
OG0000037	Syah.g_02541, Syah.g_00956, Syah.g_01365	Praa.g_00109
OG0000038	Syah.g_00508, Syah.g_00506	Praa.g_01883
OG0000039	Syah.g_02074	Praa.g_00686
OG0000040	Syah.g_01908	Praa.g_01618
OG0000041	Syah.g_02271	Praa.g_01683
OG0000042	Syah.g_00261	Praa.g_01839
OG0000043	Syah.g_01546	Praa.g_01259
OG0000045	Syah.g_01872	Praa.g_00370
OG0000047	Syah.g_00847	Praa.g_00330
OG0000048	Syah.g_00637	Praa.g_00373
OG0000051	Syah.g_02473	Praa.g_01291
OG0000052	Syah.g_00171	Praa.g_01447, Praa.g_01407
OG0000053	Syah.g_01267	Praa.g_01496
OG0000054	Syah.g_01982	Praa.g_00606
OG0000055	Syah.g_02071	Praa.g_00783
OG0000057	Syah.g_02020	Praa.g_00698
