Orthogroup	Syah	Syan
OG0000001	Syah.g_00040, Syah.g_00041	Syan.g_02266
OG0000001	Syah.g_00710	Syan.g_01149
OG0000004	Syah.g_02017	Syan.g_00183
OG0000004	Syah.g_01967	Syan.g_00989
OG0000005	Syah.g_02403	Syan.g_01423
OG0000005	Syah.g_02363	Syan.g_01378
OG0000005	Syah.g_01827	Syan.g_00449
OG0000006	Syah.g_00683, Syah.g_00915, Syah.g_00681, Syah.g_00918	Syan.g_01505, Syan.g_02101, Syan.g_02441
OG0000006	Syah.g_01912	Syan.g_00791
OG0000007	Syah.g_01016	Syan.g_02743
OG0000007	Syah.g_02384	Syan.g_01400
OG0000008	Syah.g_01994	Syan.g_00640, Syan.g_02532
OG0000008	Syah.g_01993	Syan.g_00641, Syan.g_02531
OG0000009	Syah.g_02457, Syah.g_01910, Syah.g_02535	Syan.g_02972
OG0000010	Syah.g_01220	Syan.g_02847
OG0000012	Syah.g_02169, Syah.g_01340, Syah.g_01960	Syan.g_01076, Syan.g_00452, Syan.g_02349, Syan.g_02485
OG0000014	Syah.g_00127	Syan.g_01987
OG0000016	Syah.g_00359	Syan.g_01766
OG0000016	Syah.g_01402	Syan.g_02598
OG0000017	Syah.g_01159	Syan.g_01013
OG0000017	Syah.g_01152	Syan.g_01006
OG0000018	Syah.g_01264	Syan.g_02816
OG0000019	Syah.g_00669	Syan.g_02088
OG0000022	Syah.g_01881	Syan.g_00089
OG0000023	Syah.g_01330, Syah.g_02167, Syah.g_00930	Syan.g_00404
OG0000025	Syah.g_02082	Syan.g_00374
OG0000026	Syah.g_00340	Syan.g_01743
OG0000027	Syah.g_01541	Syan.g_02678
OG0000028	Syah.g_00141	Syan.g_01971
OG0000030	Syah.g_00264	Syan.g_01884
OG0000030	Syah.g_00265	Syan.g_01883
OG0000031	Syah.g_00146	Syan.g_01967
OG0000032	Syah.g_01246	Syan.g_02835
OG0000033	Syah.g_00211, Syah.g_00078	Syan.g_03036
OG0000034	Syah.g_00048, Syah.g_02213	Syan.g_01227, Syan.g_03003
OG0000035	Syah.g_01293	Syan.g_01276
OG0000036	Syah.g_00962	Syan.g_02789
OG0000037	Syah.g_02541	Syan.g_00136
OG0000037	Syah.g_00956, Syah.g_01365	Syan.g_02978, Syan.g_00917
OG0000038	Syah.g_00508	Syan.g_01569
OG0000038	Syah.g_00506	Syan.g_01571
OG0000040	Syah.g_00431	Syan.g_01651
OG0000041	Syah.g_02271	Syan.g_01465
OG0000042	Syah.g_00261	Syan.g_00991, Syan.g_02643, Syan.g_01888
OG0000044	Syah.g_01194, Syah.g_02454, Syah.g_02072	Syan.g_01065
OG0000045	Syah.g_01872	Syan.g_00151
OG0000048	Syah.g_00637	Syan.g_02036
OG0000053	Syah.g_01267	Syan.g_02812
OG0000054	Syah.g_01982	Syan.g_02503
OG0000054	Syah.g_01862	Syan.g_00231, Syan.g_00506
OG0000055	Syah.g_02071, Syah.g_01878	Syan.g_00312
OG0000058	Syah.g_00152	Syan.g_01128, Syan.g_01124
OG0000060	Syah.g_01515	Syan.g_00277
OG0000061	Syah.g_02158	Syan.g_02696
OG0000062	Syah.g_02365	Syan.g_01380
OG0000063	Syah.g_00337	Syan.g_01739
OG0000065	Syah.g_02443, Syah.g_02537	Syan.g_02974
OG0000066	Syah.g_01073	Syan.g_01156
OG0000067	Syah.g_01779	Syan.g_00690
OG0000068	Syah.g_00986	Syan.g_00845, Syan.g_00257, Syan.g_02773
OG0000069	Syah.g_01715	Syan.g_00278
OG0000070	Syah.g_02217	Syan.g_00289
OG0000071	Syah.g_02199, Syah.g_01863	Syan.g_01213
OG0000072	Syah.g_00080	Syan.g_03038
OG0000073	Syah.g_01018	Syan.g_02741
OG0000075	Syah.g_00186	Syan.g_00981, Syan.g_01937
OG0000076	Syah.g_00250	Syan.g_01896
OG0000077	Syah.g_02494	Syan.g_02919, Syan.g_02579
OG0000079	Syah.g_00665	Syan.g_02079, Syan.g_02067, Syan.g_02085
OG0000080	Syah.g_00290	Syan.g_01110
OG0000082	Syah.g_01136	Syan.g_00952
OG0000084	Syah.g_02105	Syan.g_01283
OG0000085	Syah.g_02372	Syan.g_01387
OG0000086	Syah.g_02511	Syan.g_02946, Syan.g_02515, Syan.g_00114
OG0000087	Syah.g_00038	Syan.g_02268
OG0000088	Syah.g_00074	Syan.g_03031
OG0000089	Syah.g_00888	Syan.g_02316
OG0000090	Syah.g_01064	Syan.g_01166
