Orthogroup	Syah	Syaj
OG0000001	Syah.g_00726	Syaj.g_02674
OG0000001	Syah.g_01516	Syaj.g_01949
OG0000001	Syah.g_00040, Syah.g_00041	Syaj.g_01950
OG0000001	Syah.g_00710	Syaj.g_02660
OG0000002	Syah.g_01829	Syaj.g_02667
OG0000004	Syah.g_02017	Syaj.g_00441
OG0000004	Syah.g_01967	Syaj.g_01314
OG0000004	Syah.g_00901	Syaj.g_02853
OG0000005	Syah.g_02403	Syaj.g_01736
OG0000005	Syah.g_02363	Syaj.g_01698
OG0000005	Syah.g_01827	Syaj.g_01155
OG0000006	Syah.g_00683, Syah.g_00915, Syah.g_00681, Syah.g_00918	Syaj.g_02635
OG0000007	Syah.g_01016	Syaj.g_00091
OG0000007	Syah.g_02384	Syaj.g_01721
OG0000008	Syah.g_01994	Syaj.g_00496
OG0000008	Syah.g_01993	Syaj.g_00497
OG0000009	Syah.g_02457	Syaj.g_01069
OG0000009	Syah.g_02535	Syaj.g_01885
OG0000010	Syah.g_01220	Syaj.g_01445
OG0000012	Syah.g_02169, Syah.g_01340	Syaj.g_00172
OG0000012	Syah.g_01960	Syaj.g_01306
OG0000013	Syah.g_00831	Syaj.g_02782
OG0000013	Syah.g_00817	Syaj.g_02769
OG0000013	Syah.g_00822	Syaj.g_02774
OG0000014	Syah.g_00127	Syaj.g_02522
OG0000014	Syah.g_00323	Syaj.g_02344
OG0000015	Syah.g_01511	Syaj.g_00725
OG0000015	Syah.g_01510	Syaj.g_02659
OG0000016	Syah.g_00359	Syaj.g_02276
OG0000016	Syah.g_01402	Syaj.g_00590
OG0000016	Syah.g_01859	Syaj.g_01191
OG0000017	Syah.g_01159	Syaj.g_00255
OG0000017	Syah.g_01152	Syaj.g_00248
OG0000018	Syah.g_01264	Syaj.g_01413
OG0000019	Syah.g_00669	Syaj.g_02613
OG0000022	Syah.g_01881	Syaj.g_01220
OG0000023	Syah.g_00930	Syaj.g_01791
OG0000024	Syah.g_01990	Syaj.g_00500
OG0000025	Syah.g_02082	Syaj.g_00383
OG0000026	Syah.g_00340	Syaj.g_02298
OG0000027	Syah.g_01541	Syaj.g_00396
OG0000028	Syah.g_00141	Syaj.g_02506
OG0000029	Syah.g_01292	Syaj.g_01229
OG0000030	Syah.g_00264	Syaj.g_02396
OG0000030	Syah.g_00265	Syaj.g_02395
OG0000031	Syah.g_00146	Syaj.g_02501
OG0000032	Syah.g_01246	Syaj.g_01432
OG0000033	Syah.g_00078	Syaj.g_01990
OG0000034	Syah.g_00048, Syah.g_02213	Syaj.g_01959
OG0000035	Syah.g_01293	Syaj.g_01378
OG0000037	Syah.g_02541	Syaj.g_01891
OG0000038	Syah.g_00508	Syaj.g_02115
OG0000039	Syah.g_02074	Syaj.g_00392
OG0000040	Syah.g_00431	Syaj.g_02208
OG0000041	Syah.g_02271	Syaj.g_01602
OG0000041	Syah.g_02039	Syaj.g_00418
OG0000042	Syah.g_00261	Syaj.g_02399
OG0000043	Syah.g_02119	Syaj.g_01085
OG0000043	Syah.g_01546	Syaj.g_01247
OG0000044	Syah.g_01194	Syaj.g_01344
OG0000045	Syah.g_02356	Syaj.g_00132
