Orthogroup	Syah	Syao
OG0000001	Syah.g_00726, Syah.g_01516	Syao.g_00314
OG0000001	Syah.g_00040, Syah.g_00041	Syao.g_02557, Syao.g_02556, Syao.g_01317, Syao.g_02558
OG0000004	Syah.g_02017	Syao.g_02374
OG0000004	Syah.g_01967	Syao.g_01007
OG0000005	Syah.g_02403	Syao.g_01680
OG0000005	Syah.g_02363	Syao.g_01578
OG0000005	Syah.g_01827	Syao.g_01210
OG0000006	Syah.g_01912	Syao.g_00919
OG0000007	Syah.g_01016	Syao.g_00105
OG0000007	Syah.g_02384	Syao.g_01554
OG0000008	Syah.g_01993	Syao.g_01321
OG0000009	Syah.g_01910, Syah.g_02535	Syao.g_02598
OG0000010	Syah.g_01220	Syao.g_02683
OG0000011	Syah.g_01991	Syao.g_01282
OG0000012	Syah.g_02169, Syah.g_01340, Syah.g_01960	Syao.g_01193
OG0000013	Syah.g_00817	Syao.g_01844
OG0000013	Syah.g_00822	Syao.g_01910
OG0000014	Syah.g_00127	Syao.g_02027
OG0000015	Syah.g_01511, Syah.g_01510	Syao.g_00302
OG0000016	Syah.g_00359	Syao.g_01955
OG0000017	Syah.g_01159	Syao.g_01064
OG0000017	Syah.g_01152	Syao.g_00997
OG0000018	Syah.g_01264	Syao.g_00071
OG0000019	Syah.g_00669	Syao.g_02108
OG0000022	Syah.g_01881	Syao.g_01218
OG0000023	Syah.g_01330, Syah.g_02167, Syah.g_00930	Syao.g_01266
OG0000025	Syah.g_02082	Syao.g_00436, Syao.g_00437
OG0000026	Syah.g_00340	Syao.g_02234
OG0000027	Syah.g_01541	Syao.g_00202
OG0000028	Syah.g_00141	Syao.g_02012
OG0000030	Syah.g_00264	Syao.g_02189
OG0000030	Syah.g_00265	Syao.g_02188
OG0000031	Syah.g_00146	Syao.g_02008
OG0000031	Syah.g_00226, Syah.g_00322	Syao.g_01083
OG0000032	Syah.g_01246	Syao.g_00090
OG0000033	Syah.g_00211, Syah.g_00078	Syao.g_02507
OG0000035	Syah.g_01293	Syao.g_01486
OG0000036	Syah.g_00962	Syao.g_00727, Syao.g_00580, Syao.g_01142, Syao.g_00725, Syao.g_02193, Syao.g_00726
OG0000036	Syah.g_00964, Syah.g_00963	Syao.g_00572
OG0000037	Syah.g_02541	Syao.g_00374
OG0000038	Syah.g_00508	Syao.g_02440
OG0000038	Syah.g_00506	Syao.g_02442
OG0000040	Syah.g_00431	Syao.g_00711
OG0000041	Syah.g_02039	Syao.g_01637
OG0000042	Syah.g_00261	Syao.g_00019, Syao.g_01941
OG0000045	Syah.g_01872	Syao.g_00148
OG0000046	Syah.g_00823	Syao.g_01909
OG0000047	Syah.g_00847	Syao.g_01899
OG0000048	Syah.g_00637	Syao.g_02077
OG0000051	Syah.g_02473	Syao.g_01261
OG0000052	Syah.g_00171	Syao.g_01085, Syao.g_02520
OG0000053	Syah.g_01267	Syao.g_00067
OG0000054	Syah.g_01862	Syao.g_00295, Syao.g_00625
OG0000055	Syah.g_01878	Syao.g_00498
OG0000058	Syah.g_00152	Syao.g_01080
OG0000059	Syah.g_00737	Syao.g_01959
OG0000060	Syah.g_01515	Syao.g_00312
OG0000061	Syah.g_02158	Syao.g_00123
OG0000062	Syah.g_02365	Syao.g_01576
OG0000063	Syah.g_00337	Syao.g_02230
OG0000064	Syah.g_02357	Syao.g_01898
OG0000065	Syah.g_02443, Syah.g_02537	Syao.g_02600
OG0000066	Syah.g_01073	Syao.g_01422
OG0000067	Syah.g_01779	Syao.g_00756
OG0000068	Syah.g_00986	Syao.g_00868, Syao.g_00036
OG0000069	Syah.g_01715	Syao.g_00313
OG0000070	Syah.g_02217	Syao.g_00330
OG0000071	Syah.g_02199, Syah.g_01863	Syao.g_01433
OG0000072	Syah.g_00080	Syao.g_02509
OG0000073	Syah.g_01018	Syao.g_00103
OG0000075	Syah.g_00186	Syao.g_02257
OG0000076	Syah.g_00250	Syao.g_01949, Syao.g_01251
OG0000077	Syah.g_02494	Syao.g_02629
OG0000079	Syah.g_00665	Syao.g_00574, Syao.g_00010, Syao.g_00581, Syao.g_01145, Syao.g_02105
OG0000082	Syah.g_01136	Syao.g_01035
OG0000084	Syah.g_02105	Syao.g_01509
OG0000084	Syah.g_01296	Syao.g_02606
OG0000085	Syah.g_02372	Syao.g_01569
OG0000086	Syah.g_02511	Syao.g_02653, Syao.g_01240
OG0000087	Syah.g_00038	Syao.g_02555
OG0000088	Syah.g_00074	Syao.g_02503
OG0000089	Syah.g_00888	Syao.g_01716
OG0000090	Syah.g_01064	Syao.g_01412
OG0000091	Syah.g_01927	Syao.g_00902
OG0000093	Syah.g_01794	Syao.g_00739
OG0000094	Syah.g_01692	Syao.g_00458
OG0000095	Syah.g_02030	Syao.g_00331
OG0000098	Syah.g_00723	Syao.g_01374
OG0000099	Syah.g_00144	Syao.g_02019
OG0000100	Syah.g_01747	Syao.g_00787
OG0000102	Syah.g_00255	Syao.g_01945
OG0000104	Syah.g_00377	Syao.g_02157
OG0000105	Syah.g_00632	Syao.g_02071, Syao.g_02072
OG0000106	Syah.g_01544	Syao.g_01385
OG0000107	Syah.g_00688	Syao.g_01935
OG0000108	Syah.g_00997	Syao.g_00028
OG0000110	Syah.g_01124	Syao.g_01051
OG0000112	Syah.g_01613	Syao.g_00683, Syao.g_00303
OG0000113	Syah.g_01752	Syao.g_00782
OG0000114	Syah.g_01529	Syao.g_00965
OG0000115	Syah.g_01269	Syao.g_00065, Syao.g_01464
OG0000116	Syah.g_02175	Syao.g_00137
OG0000117	Syah.g_01425	Syao.g_00169
OG0000118	Syah.g_01173	Syao.g_01475
OG0000120	Syah.g_00145	Syao.g_02009
OG0000121	Syah.g_01287	Syao.g_01489
OG0000122	Syah.g_01900	Syao.g_01247
OG0000123	Syah.g_00793	Syao.g_01832
OG0000124	Syah.g_00272	Syao.g_02179
OG0000125	Syah.g_00504	Syao.g_02444
OG0000126	Syah.g_00379	Syao.g_02198
OG0000128	Syah.g_00361	Syao.g_02149
OG0000129	Syah.g_00516	Syao.g_02434
OG0000130	Syah.g_02483	Syao.g_02617
OG0000131	Syah.g_00052	Syao.g_02480
OG0000132	Syah.g_00072	Syao.g_02501
OG0000133	Syah.g_01618	Syao.g_00678
OG0000134	Syah.g_00891	Syao.g_01719
OG0000135	Syah.g_00465	Syao.g_00147
OG0000136	Syah.g_02227	Syao.g_01614, Syao.g_01613
OG0000137	Syah.g_01221	Syao.g_02682
OG0000138	Syah.g_01013	Syao.g_00108
OG0000139	Syah.g_01070	Syao.g_02005
OG0000140	Syah.g_01071	Syao.g_01373, Syao.g_01372
OG0000141	Syah.g_01981	Syao.g_01202
OG0000142	Syah.g_01935	Syao.g_00894
OG0000143	Syah.g_01931	Syao.g_00898
OG0000145	Syah.g_01019	Syao.g_00102
OG0000146	Syah.g_01612	Syao.g_00684, Syao.g_00304
OG0000147	Syah.g_01611	Syao.g_00305, Syao.g_00685
OG0000148	Syah.g_01758	Syao.g_00776
OG0000149	Syah.g_02096	Syao.g_00534
OG0000150	Syah.g_01980	Syao.g_01203
OG0000151	Syah.g_01820	Syao.g_00975
OG0000152	Syah.g_01622	Syao.g_00674
