Orthogroup	Pran	Prba
OG0000000	Pran.g_00582	Prba.g_01174
OG0000000	Pran.g_00601	Prba.g_00269
OG0000000	Pran.g_00001	Prba.g_00003
OG0000000	Pran.g_00001	Prba.g_00270
OG0000000	Pran.g_00602	Prba.g_00003
OG0000000	Pran.g_00602	Prba.g_00270
OG0000000	Pran.g_00894	Prba.g_01172
OG0000002	Pran.g_01500	Prba.g_01639
OG0000004	Pran.g_01483	Prba.g_01622
OG0000004	Pran.g_00200	Prba.g_00451
OG0000005	Pran.g_00983	Prba.g_00607
OG0000005	Pran.g_00657	Prba.g_00312
OG0000006	Pran.g_01951	Prba.g_00460
OG0000007	Pran.g_01681	Prba.g_00964
OG0000007	Pran.g_00970	Prba.g_00226
OG0000008	Pran.g_01506	Prba.g_01645
OG0000009	Pran.g_00615	Prba.g_01142, Prba.g_00276
OG0000009	Pran.g_00328	Prba.g_01893
OG0000010	Pran.g_01704	Prba.g_00987
OG0000010	Pran.g_00175	Prba.g_01256
OG0000011	Pran.g_01384	Prba.g_01132
OG0000012	Pran.g_01555	Prba.g_01694
OG0000013	Pran.g_01867	Prba.g_00543
OG0000014	Pran.g_01888	Prba.g_00522
OG0000014	Pran.g_00755, Pran.g_00754	Prba.g_00159
OG0000015	Pran.g_01394	Prba.g_01538
OG0000017	Pran.g_01580	Prba.g_01719
OG0000018	Pran.g_01316	Prba.g_01472
OG0000018	Pran.g_00078	Prba.g_00083
OG0000019	Pran.g_01943	Prba.g_00468
OG0000019	Pran.g_01363	Prba.g_01519
OG0000020	Pran.g_00117	Prba.g_00737
OG0000021	Pran.g_01829	Prba.g_00245, Prba.g_00858
OG0000022	Pran.g_00097	Prba.g_00101
OG0000022	Pran.g_01401	Prba.g_01543
OG0000023	Pran.g_01834	Prba.g_00854
OG0000024	Pran.g_01420	Prba.g_01558
OG0000024	Pran.g_01503	Prba.g_01642
OG0000025	Pran.g_01863	Prba.g_00547
OG0000025	Pran.g_01309	Prba.g_01464
OG0000026	Pran.g_00393	Prba.g_01824
OG0000026	Pran.g_00168	Prba.g_01249
OG0000027	Pran.g_00583	Prba.g_00991, Prba.g_01175
OG0000028	Pran.g_01874	Prba.g_00536
OG0000029	Pran.g_01410	Prba.g_01551
OG0000030	Pran.g_01170	Prba.g_00778
OG0000031	Pran.g_00753	Prba.g_00173
