Orthogroup	Pran	Prbh
OG0000000	Pran.g_00582	Prbh.g_01853
OG0000000	Pran.g_01423, Pran.g_00931, Pran.g_00601	Prbh.g_01903
OG0000002	Pran.g_01500	Prbh.g_01313, Prbh.g_00006, Prbh.g_01311, Prbh.g_01317, Prbh.g_00199, Prbh.g_00912
OG0000004	Pran.g_01483	Prbh.g_00933
OG0000004	Pran.g_00200	Prbh.g_00548
OG0000005	Pran.g_00657	Prbh.g_00182
OG0000006	Pran.g_01951	Prbh.g_00538
OG0000007	Pran.g_01681	Prbh.g_00334
OG0000007	Pran.g_00970	Prbh.g_01782
OG0000009	Pran.g_00615	Prbh.g_00377, Prbh.g_00193, Prbh.g_01841
OG0000010	Pran.g_01704	Prbh.g_00357
OG0000010	Pran.g_00175	Prbh.g_00848, Prbh.g_01143
OG0000011	Pran.g_01384	Prbh.g_01835
OG0000012	Pran.g_01555	Prbh.g_01460
OG0000013	Pran.g_01867	Prbh.g_00452
OG0000014	Pran.g_01888	Prbh.g_00472
OG0000015	Pran.g_01394	Prbh.g_00840, Prbh.g_01869
OG0000016	Pran.g_00620	Prbh.g_01336
OG0000017	Pran.g_01580	Prbh.g_00232, Prbh.g_00225
OG0000018	Pran.g_01316	Prbh.g_00981
OG0000018	Pran.g_00078	Prbh.g_01305
OG0000019	Pran.g_01943	Prbh.g_00530
OG0000019	Pran.g_01363	Prbh.g_01307
OG0000020	Pran.g_01804	Prbh.g_01898
OG0000021	Pran.g_01829	Prbh.g_00203, Prbh.g_00938
OG0000022	Pran.g_01401	Prbh.g_00190
OG0000023	Pran.g_01834	Prbh.g_00833
OG0000024	Pran.g_01420	Prbh.g_01147
OG0000024	Pran.g_01503	Prbh.g_00909
OG0000025	Pran.g_01863, Pran.g_01309	Prbh.g_00988
OG0000026	Pran.g_00168	Prbh.g_00749
OG0000028	Pran.g_01874	Prbh.g_00459
OG0000029	Pran.g_01410	Prbh.g_01885
OG0000030	Pran.g_01170	Prbh.g_01570
OG0000031	Pran.g_00753	Prbh.g_00064
OG0000034	Pran.g_00866	Prbh.g_01383
OG0000035	Pran.g_00733	Prbh.g_00096, Prbh.g_00099
OG0000037	Pran.g_00324	Prbh.g_00674
OG0000038	Pran.g_01210	Prbh.g_01530
OG0000039	Pran.g_01492	Prbh.g_00921
OG0000040	Pran.g_00923	Prbh.g_01815
OG0000041	Pran.g_01016	Prbh.g_01734
OG0000042	Pran.g_01167	Prbh.g_01573
OG0000043	Pran.g_00179	Prbh.g_01304
OG0000044	Pran.g_00949	Prbh.g_01794
OG0000048	Pran.g_01772, Pran.g_01820	Prbh.g_00508
OG0000050	Pran.g_01789, Pran.g_00936, Pran.g_00946	Prbh.g_01445, Prbh.g_00850
OG0000053	Pran.g_00713	Prbh.g_00120, Prbh.g_01834
OG0000054	Pran.g_01572	Prbh.g_00223
OG0000055	Pran.g_01362	Prbh.g_01332, Prbh.g_01797
OG0000057	Pran.g_01480	Prbh.g_00936
OG0000058	Pran.g_00807	Prbh.g_00030
OG0000059	Pran.g_01056	Prbh.g_01695
OG0000061	Pran.g_00060	Prbh.g_01283
OG0000062	Pran.g_00655	Prbh.g_00184
OG0000065	Pran.g_00326	Prbh.g_00676
OG0000066	Pran.g_01639	Prbh.g_01856
OG0000067	Pran.g_01343	Prbh.g_00953
OG0000068	Pran.g_00841	Prbh.g_00009
OG0000069	Pran.g_00614	Prbh.g_00376
OG0000070	Pran.g_01727	Prbh.g_00382
OG0000071	Pran.g_00938, Pran.g_00876	Prbh.g_01373
