Orthogroup	Pran	Syah
OG0000002	Pran.g_01500	Syah.g_01829
OG0000004	Pran.g_01483	Syah.g_02017
OG0000004	Pran.g_00200	Syah.g_01967, Syah.g_00901
OG0000005	Pran.g_00983	Syah.g_02403
OG0000005	Pran.g_00657	Syah.g_02363
OG0000006	Pran.g_01951	Syah.g_01912, Syah.g_00683, Syah.g_00915, Syah.g_00681, Syah.g_00918
OG0000007	Pran.g_01681	Syah.g_01016
OG0000007	Pran.g_00970	Syah.g_02384
OG0000009	Pran.g_00615	Syah.g_02457
OG0000009	Pran.g_00328	Syah.g_01910, Syah.g_02535
OG0000010	Pran.g_00175	Syah.g_01220
OG0000011	Pran.g_01384	Syah.g_01991
OG0000012	Pran.g_01555	Syah.g_01960, Syah.g_02169, Syah.g_01340
OG0000013	Pran.g_01867	Syah.g_00822, Syah.g_00831, Syah.g_00817
OG0000014	Pran.g_01888	Syah.g_00127
OG0000014	Pran.g_00755, Pran.g_00754	Syah.g_00223, Syah.g_00323
OG0000015	Pran.g_01394	Syah.g_01511, Syah.g_01510
OG0000016	Pran.g_00620	Syah.g_01859
OG0000017	Pran.g_01580	Syah.g_01152, Syah.g_01159
OG0000018	Pran.g_00078	Syah.g_01264
OG0000019	Pran.g_01943, Pran.g_01363	Syah.g_00669
OG0000022	Pran.g_00097	Syah.g_01881
OG0000023	Pran.g_01834	Syah.g_01330, Syah.g_02167, Syah.g_00930
OG0000024	Pran.g_01420, Pran.g_01503	Syah.g_01990
OG0000025	Pran.g_01863, Pran.g_01309	Syah.g_02082
OG0000026	Pran.g_00930, Pran.g_00393, Pran.g_00168	Syah.g_00340
OG0000027	Pran.g_00583	Syah.g_01541
OG0000028	Pran.g_01874	Syah.g_00141
OG0000029	Pran.g_01410	Syah.g_01292
OG0000030	Pran.g_01170	Syah.g_00264, Syah.g_00265
OG0000031	Pran.g_00753	Syah.g_00146, Syah.g_00226, Syah.g_00322
OG0000033	Pran.g_00800	Syah.g_00078
OG0000034	Pran.g_00866	Syah.g_00048, Syah.g_02213
OG0000035	Pran.g_00733	Syah.g_01293
OG0000037	Pran.g_00324	Syah.g_02541, Syah.g_00956, Syah.g_01365
OG0000038	Pran.g_01210	Syah.g_00508, Syah.g_00506
OG0000039	Pran.g_01492	Syah.g_02074
OG0000040	Pran.g_00923	Syah.g_01908
OG0000040	Pran.g_00079	Syah.g_00431
OG0000041	Pran.g_01016	Syah.g_02271, Syah.g_02039
OG0000042	Pran.g_01167	Syah.g_00261
OG0000044	Pran.g_00949	Syah.g_02454, Syah.g_02072, Syah.g_01194
OG0000045	Pran.g_01823	Syah.g_01872
OG0000047	Pran.g_01864	Syah.g_00847
OG0000048	Pran.g_01772, Pran.g_01820	Syah.g_00637
OG0000050	Pran.g_00149	Syah.g_00941
OG0000051	Pran.g_00898	Syah.g_02473
OG0000053	Pran.g_00713	Syah.g_01267
OG0000054	Pran.g_01572	Syah.g_01982, Syah.g_01862
OG0000055	Pran.g_01362	Syah.g_01878, Syah.g_02071
OG0000057	Pran.g_01480	Syah.g_02020
OG0000059	Pran.g_01056	Syah.g_00737
OG0000060	Pran.g_01399	Syah.g_01515
OG0000061	Pran.g_00060	Syah.g_02158
OG0000062	Pran.g_00655	Syah.g_02365
OG0000063	Pran.g_00391	Syah.g_00337
OG0000065	Pran.g_00326	Syah.g_02537, Syah.g_02443
OG0000066	Pran.g_01639	Syah.g_01073
OG0000067	Pran.g_01343	Syah.g_01779
OG0000068	Pran.g_00841	Syah.g_00986
OG0000069	Pran.g_00614	Syah.g_01715
OG0000070	Pran.g_01727	Syah.g_02217
OG0000071	Pran.g_00938, Pran.g_00876	Syah.g_01863, Syah.g_02199
OG0000072	Pran.g_00261	Syah.g_00080
OG0000073	Pran.g_01679	Syah.g_01018
OG0000074	Pran.g_01496	Syah.g_00951
