Orthogroup	Pran	Syas
OG0000004	Pran.g_01483	Syas.g_00176
OG0000004	Pran.g_00200	Syas.g_00509, Syas.g_00174, Syas.g_00311, Syas.g_00072
OG0000005	Pran.g_00983	Syas.g_02665
OG0000005	Pran.g_00657	Syas.g_02704
OG0000006	Pran.g_01951	Syas.g_00720, Syas.g_00942, Syas.g_01684, Syas.g_02565
OG0000007	Pran.g_01681	Syas.g_01232
OG0000007	Pran.g_00970	Syas.g_02681
OG0000009	Pran.g_00328	Syas.g_01450
OG0000010	Pran.g_00175	Syas.g_01334
OG0000012	Pran.g_01555	Syas.g_00111, Syas.g_00827
OG0000013	Pran.g_01867	Syas.g_00158, Syas.g_01552, Syas.g_01555, Syas.g_01557
OG0000014	Pran.g_01888	Syas.g_01816
OG0000015	Pran.g_01394	Syas.g_02007, Syas.g_00968
OG0000017	Pran.g_01580	Syas.g_00849, Syas.g_00856
OG0000018	Pran.g_00078	Syas.g_01290
OG0000019	Pran.g_01943, Pran.g_01363	Syas.g_01696
OG0000022	Pran.g_00097	Syas.g_02758
OG0000025	Pran.g_01863, Pran.g_01309	Syas.g_00231
OG0000026	Pran.g_00930, Pran.g_00393, Pran.g_00168	Syas.g_02070
OG0000027	Pran.g_00583	Syas.g_01480
OG0000028	Pran.g_01874	Syas.g_01793
OG0000030	Pran.g_01170	Syas.g_01644, Syas.g_01645
OG0000031	Pran.g_00753	Syas.g_01827
OG0000033	Pran.g_00800	Syas.g_02328
OG0000034	Pran.g_00866	Syas.g_02371, Syas.g_02838
OG0000035	Pran.g_00733	Syas.g_02814, Syas.g_02818
OG0000037	Pran.g_00324	Syas.g_01479, Syas.g_00147, Syas.g_01928
OG0000038	Pran.g_01210	Syas.g_01885, Syas.g_01887
OG0000039	Pran.g_01492	Syas.g_02795
OG0000040	Pran.g_00923	Syas.g_02028
OG0000040	Pran.g_00079	Syas.g_01972
OG0000041	Pran.g_01016	Syas.g_00996, Syas.g_02585
OG0000042	Pran.g_01167	Syas.g_01121, Syas.g_02147
OG0000044	Pran.g_00949	Syas.g_00894, Syas.g_02453
OG0000048	Pran.g_01772, Pran.g_01820	Syas.g_01734
OG0000051	Pran.g_00944, Pran.g_00898	Syas.g_01445
OG0000053	Pran.g_00713	Syas.g_01287
OG0000054	Pran.g_01572	Syas.g_00961, Syas.g_00957
OG0000055	Pran.g_01362	Syas.g_00203
OG0000057	Pran.g_01480	Syas.g_01055, Syas.g_01038
OG0000059	Pran.g_01056	Syas.g_01639
OG0000060	Pran.g_01399	Syas.g_01343, Syas.g_01002, Syas.g_01680, Syas.g_00975
OG0000061	Pran.g_00060	Syas.g_01184
OG0000062	Pran.g_00655	Syas.g_02702
OG0000063	Pran.g_00391	Syas.g_02074
OG0000065	Pran.g_00326	Syas.g_02420
OG0000066	Pran.g_01639	Syas.g_00094
OG0000067	Pran.g_01343	Syas.g_00596, Syas.g_00352, Syas.g_02346
OG0000068	Pran.g_00841	Syas.g_00969, Syas.g_01261
OG0000069	Pran.g_00614	Syas.g_00779, Syas.g_00876
OG0000070	Pran.g_01727	Syas.g_00173
OG0000071	Pran.g_00938, Pran.g_00876	Syas.g_02854
OG0000072	Pran.g_00261	Syas.g_02326, Syas.g_01524
OG0000073	Pran.g_01679	Syas.g_00358, Syas.g_00264, Syas.g_01230
OG0000075	Pran.g_01137	Syas.g_01921, Syas.g_02194
OG0000076	Pran.g_01160	Syas.g_02156
OG0000077	Pran.g_00354	Syas.g_02510
OG0000078	Pran.g_00194	Syas.g_02561, Syas.g_02308
OG0000079	Pran.g_01940	Syas.g_01699
OG0000080	Pran.g_00796, Pran.g_00794	Syas.g_02616, Syas.g_02149
OG0000081	Pran.g_01647	Syas.g_00391
OG0000082	Pran.g_01593	Syas.g_00837
OG0000085	Pran.g_00963	Syas.g_02695
OG0000086	Pran.g_00344	Syas.g_02470
OG0000087	Pran.g_00295	Syas.g_02374
OG0000089	Pran.g_01839	Syas.g_01512
OG0000090	Pran.g_01645	Syas.g_00062
OG0000091	Pran.g_01536	Syas.g_00907, Syas.g_00146
OG0000094	Pran.g_00549	Syas.g_00208, Syas.g_01716
OG0000095	Pran.g_00903	Syas.g_01021
OG0000097	Pran.g_00019	Syas.g_00114, Syas.g_01443
OG0000098	Pran.g_00855	Syas.g_00091
OG0000099	Pran.g_00806	Syas.g_01826
OG0000100	Pran.g_00659	Syas.g_00567
OG0000101	Pran.g_01105	Syas.g_01589
OG0000102	Pran.g_01165	Syas.g_02152, Syas.g_01395
OG0000103	Pran.g_01244	Syas.g_02009
OG0000104	Pran.g_01253	Syas.g_02027, Syas.g_02026
OG0000105	Pran.g_01920	Syas.g_01739
OG0000106	Pran.g_01824	Syas.g_01451
OG0000107	Pran.g_01808	Syas.g_01669
OG0000108	Pran.g_01698	Syas.g_01253
OG0000109	Pran.g_01684	Syas.g_01236
OG0000110	Pran.g_01603	Syas.g_00359, Syas.g_00818
OG0000111	Pran.g_01479	Syas.g_01037
OG0000112	Pran.g_01378	Syas.g_00452
OG0000113	Pran.g_01321	Syas.g_00571
OG0000114	Pran.g_00429	Syas.g_00252, Syas.g_00674
OG0000115	Pran.g_00123	Syas.g_02548, Syas.g_01285
OG0000116	Pran.g_00070	Syas.g_01198, Syas.g_00317
OG0000117	Pran.g_01466	Syas.g_01122
OG0000118	Pran.g_00864	Syas.g_02835
OG0000120	Pran.g_00752	Syas.g_01828
OG0000121	Pran.g_00731	Syas.g_02821
OG0000122	Pran.g_00693	Syas.g_00393
OG0000123	Pran.g_01112	Syas.g_01582
OG0000124	Pran.g_01176	Syas.g_02137
OG0000125	Pran.g_01212	Syas.g_01889
OG0000126	Pran.g_01252	Syas.g_01992
OG0000128	Pran.g_01268	Syas.g_02046
OG0000129	Pran.g_00381	Syas.g_01880
OG0000130	Pran.g_00363	Syas.g_02522
OG0000131	Pran.g_00288	Syas.g_02367
OG0000132	Pran.g_00268	Syas.g_02334
OG0000133	Pran.g_01872	Syas.g_00457
OG0000134	Pran.g_01838	Syas.g_01509
OG0000135	Pran.g_01812	Syas.g_01938
OG0000136	Pran.g_01739	Syas.g_02740
OG0000137	Pran.g_01703	Syas.g_01333
OG0000138	Pran.g_01683	Syas.g_01235
OG0000139	Pran.g_01641	Syas.g_00069
OG0000140	Pran.g_01640	Syas.g_00090
OG0000141	Pran.g_01571	Syas.g_00875
OG0000142	Pran.g_01543	Syas.g_00746
OG0000143	Pran.g_01539	Syas.g_00742
OG0000144	Pran.g_01526	Syas.g_00718
OG0000145	Pran.g_01400	Syas.g_00948
OG0000146	Pran.g_01377	Syas.g_00451
OG0000147	Pran.g_01376	Syas.g_00450
OG0000148	Pran.g_01327	Syas.g_00577
OG0000149	Pran.g_01297	Syas.g_00282
OG0000150	Pran.g_01289	Syas.g_00874
OG0000151	Pran.g_00439	Syas.g_00148, Syas.g_00659
OG0000152	Pran.g_00487	Syas.g_00461
OG0000153	Pran.g_00506	Syas.g_00543
OG0000154	Pran.g_00542	Syas.g_00219
OG0000155	Pran.g_00040	Syas.g_01131
OG0000156	Pran.g_00887	Syas.g_01206
OG0000157	Pran.g_00886	Syas.g_01207
OG0000158	Pran.g_00822	Syas.g_02185
OG0000160	Pran.g_00732	Syas.g_02820
OG0000161	Pran.g_00726	Syas.g_02826
OG0000162	Pran.g_00720	Syas.g_02751
OG0000163	Pran.g_00686	Syas.g_01488
OG0000164	Pran.g_00994	Syas.g_02648
OG0000165	Pran.g_01001	Syas.g_02609
OG0000166	Pran.g_01069, Pran.g_01068	Syas.g_01629
OG0000167	Pran.g_01135	Syas.g_01449
OG0000168	Pran.g_01144	Syas.g_02184
OG0000169	Pran.g_01154	Syas.g_02170
OG0000170	Pran.g_01156	Syas.g_02161
OG0000171	Pran.g_01175	Syas.g_02139
OG0000172	Pran.g_01184	Syas.g_02110
OG0000173	Pran.g_01199	Syas.g_02092
OG0000174	Pran.g_01226	Syas.g_01940
OG0000175	Pran.g_01236	Syas.g_01994
OG0000176	Pran.g_01261	Syas.g_02038
OG0000177	Pran.g_01262	Syas.g_02039
OG0000178	Pran.g_01263	Syas.g_02040
OG0000179	Pran.g_00408	Syas.g_02054
OG0000180	Pran.g_00407	Syas.g_02055
OG0000181	Pran.g_00406	Syas.g_02056
OG0000182	Pran.g_00405	Syas.g_02057
OG0000183	Pran.g_00401	Syas.g_02061
OG0000184	Pran.g_00379	Syas.g_01872
OG0000185	Pran.g_00376	Syas.g_01861
OG0000186	Pran.g_00368	Syas.g_02525
OG0000187	Pran.g_00367	Syas.g_02524
OG0000188	Pran.g_00350	Syas.g_02502
OG0000189	Pran.g_00337	Syas.g_02432
OG0000190	Pran.g_00336	Syas.g_00133
OG0000191	Pran.g_00316	Syas.g_02400
OG0000192	Pran.g_00312	Syas.g_02395
OG0000193	Pran.g_00287	Syas.g_02366
OG0000194	Pran.g_00283	Syas.g_02363
OG0000195	Pran.g_00281	Syas.g_02360
OG0000196	Pran.g_00271	Syas.g_02337
OG0000197	Pran.g_00270	Syas.g_02336
OG0000198	Pran.g_00269	Syas.g_02335
OG0000199	Pran.g_00262	Syas.g_02327
OG0000200	Pran.g_00248	Syas.g_02298
OG0000201	Pran.g_00240	Syas.g_02279
OG0000202	Pran.g_00239	Syas.g_02278
OG0000203	Pran.g_00238	Syas.g_02277
OG0000204	Pran.g_00237	Syas.g_02276
OG0000205	Pran.g_00230	Syas.g_02267
OG0000206	Pran.g_00225	Syas.g_02240
OG0000207	Pran.g_00223	Syas.g_02237
OG0000208	Pran.g_00222	Syas.g_02236
OG0000209	Pran.g_00213	Syas.g_01837
OG0000210	Pran.g_00212	Syas.g_01838
OG0000211	Pran.g_00199	Syas.g_02552
OG0000212	Pran.g_00193	Syas.g_02562
OG0000213	Pran.g_01935	Syas.g_01707
