Orthogroup	Pran	Prbk
OG0000000	Pran.g_00582	Prbk.g_00167, Prbk.g_00166
OG0000000	Pran.g_01423, Pran.g_00931, Pran.g_00601	Prbk.g_00165
OG0000002	Pran.g_01500	Prbk.g_01649
OG0000004	Pran.g_01483	Prbk.g_01760
OG0000004	Pran.g_00200	Prbk.g_01134
OG0000005	Pran.g_00657	Prbk.g_00933
OG0000006	Pran.g_01951	Prbk.g_02695
OG0000007	Pran.g_00970	Prbk.g_00907
OG0000009	Pran.g_00328	Prbk.g_01932, Prbk.g_00013
OG0000010	Pran.g_00175	Prbk.g_02112
OG0000011	Pran.g_00925	Prbk.g_01851
OG0000012	Pran.g_01555	Prbk.g_02610
OG0000013	Pran.g_01867	Prbk.g_00853
OG0000014	Pran.g_01888	Prbk.g_00454
OG0000015	Pran.g_01394	Prbk.g_02558
OG0000017	Pran.g_01580	Prbk.g_01142, Prbk.g_01150
OG0000018	Pran.g_00078	Prbk.g_01227
OG0000019	Pran.g_01943, Pran.g_01363	Prbk.g_01644, Prbk.g_01004
OG0000020	Pran.g_01804	Prbk.g_01331, Prbk.g_02697
OG0000021	Pran.g_01829	Prbk.g_01960, Prbk.g_01137
OG0000022	Pran.g_00097	Prbk.g_01667
OG0000022	Pran.g_01401	Prbk.g_00212
OG0000023	Pran.g_01834	Prbk.g_02448
OG0000024	Pran.g_01420, Pran.g_01503	Prbk.g_01780
OG0000025	Pran.g_01863, Pran.g_01309	Prbk.g_02531
OG0000026	Pran.g_00930, Pran.g_00393, Pran.g_00168	Prbk.g_01617
OG0000028	Pran.g_01874	Prbk.g_00469
OG0000029	Pran.g_01410	Prbk.g_00833
OG0000030	Pran.g_01170	Prbk.g_01532, Prbk.g_01533
OG0000031	Pran.g_00753	Prbk.g_00534, Prbk.g_00539
OG0000033	Pran.g_00800	Prbk.g_00776
OG0000034	Pran.g_00866	Prbk.g_01171
OG0000035	Pran.g_00733	Prbk.g_00259
OG0000037	Pran.g_00324	Prbk.g_00007
OG0000038	Pran.g_01210	Prbk.g_02164, Prbk.g_02166
OG0000039	Pran.g_01492	Prbk.g_01385, Prbk.g_00642
OG0000041	Pran.g_01016	Prbk.g_01406
OG0000042	Pran.g_01167	Prbk.g_01495, Prbk.g_00140
OG0000044	Pran.g_00949	Prbk.g_01462, Prbk.g_01351, Prbk.g_02675, Prbk.g_01732
OG0000047	Pran.g_01864	Prbk.g_01202
OG0000048	Pran.g_01772, Pran.g_01820	Prbk.g_00405
OG0000053	Pran.g_00713	Prbk.g_01230
OG0000054	Pran.g_01572	Prbk.g_01153
OG0000057	Pran.g_01480	Prbk.g_01765
OG0000059	Pran.g_01056	Prbk.g_00992
OG0000060	Pran.g_01399	Prbk.g_02058, Prbk.g_01286
OG0000061	Pran.g_00060	Prbk.g_01019
OG0000062	Pran.g_00655	Prbk.g_00931
OG0000063	Pran.g_00391	Prbk.g_01613
OG0000065	Pran.g_00326	Prbk.g_00011
OG0000066	Pran.g_01639	Prbk.g_01094
OG0000067	Pran.g_01343	Prbk.g_02468
OG0000068	Pran.g_00841	Prbk.g_02052
OG0000070	Pran.g_01727	Prbk.g_00310
OG0000071	Pran.g_00938, Pran.g_00876	Prbk.g_01183
OG0000072	Pran.g_00261	Prbk.g_00778
OG0000073	Pran.g_01679	Prbk.g_01862
OG0000075	Pran.g_01137	Prbk.g_00514
OG0000076	Pran.g_01160	Prbk.g_00237
OG0000077	Pran.g_00354	Prbk.g_00307, Prbk.g_01308
OG0000078	Pran.g_00194	Prbk.g_01515
OG0000079	Pran.g_01940	Prbk.g_01000
OG0000081	Pran.g_01647	Prbk.g_00733, Prbk.g_01772
OG0000082	Pran.g_01593	Prbk.g_01122
OG0000084	Pran.g_00737	Prbk.g_00255
OG0000085	Pran.g_00963	Prbk.g_00919
OG0000086	Pran.g_00344	Prbk.g_01295
OG0000087	Pran.g_00295	Prbk.g_00559
OG0000088	Pran.g_00266	Prbk.g_00773, Prbk.g_01836
OG0000089	Pran.g_01839	Prbk.g_00364
OG0000090	Pran.g_01645	Prbk.g_01080
OG0000091	Pran.g_01536	Prbk.g_02639
OG0000093	Pran.g_00455	Prbk.g_02444
OG0000094	Pran.g_00549	Prbk.g_02190
OG0000095	Pran.g_00903	Prbk.g_00056
OG0000097	Pran.g_00019	Prbk.g_00189
OG0000098	Pran.g_00855	Prbk.g_01199
OG0000099	Pran.g_00806	Prbk.g_00476
OG0000100	Pran.g_00659	Prbk.g_01360, Prbk.g_02498
OG0000101	Pran.g_01105	Prbk.g_00796, Prbk.g_00944
OG0000102	Pran.g_01165	Prbk.g_01484
OG0000103	Pran.g_01244	Prbk.g_02260
OG0000104	Pran.g_01253	Prbk.g_02274
OG0000105	Pran.g_01920	Prbk.g_00409
OG0000106	Pran.g_01824	Prbk.g_00925
OG0000107	Pran.g_01808	Prbk.g_01902
OG0000108	Pran.g_01698	Prbk.g_02061
OG0000109	Pran.g_01684	Prbk.g_02077
OG0000110	Pran.g_01603	Prbk.g_01110
OG0000111	Pran.g_01479	Prbk.g_01766
OG0000112	Pran.g_01378	Prbk.g_02332
OG0000113	Pran.g_01321	Prbk.g_02493
OG0000114	Pran.g_00429	Prbk.g_02396
OG0000115	Pran.g_00123	Prbk.g_01234
OG0000116	Pran.g_00070	Prbk.g_01034
OG0000117	Pran.g_01466	Prbk.g_01496
OG0000118	Pran.g_00864	Prbk.g_01169
OG0000119	Pran.g_00845	Prbk.g_01746, Prbk.g_01786
OG0000120	Pran.g_00752	Prbk.g_00477
OG0000121	Pran.g_00731	Prbk.g_00267, Prbk.g_00261
OG0000122	Pran.g_00693	Prbk.g_02664
OG0000123	Pran.g_01112	Prbk.g_00805
OG0000124	Pran.g_01176	Prbk.g_01539
OG0000125	Pran.g_01212	Prbk.g_02168
OG0000126	Pran.g_01252	Prbk.g_02272
OG0000128	Pran.g_01268	Prbk.g_02290
