Orthogroup	Prbl	Pral
OG0000000	Prbl.g_00118, Prbl.g_00117	Pral.g_01331
OG0000000	Prbl.g_00116	Pral.g_00037
OG0000001	Prbl.g_00725, Prbl.g_00121, Prbl.g_02599, Prbl.g_00808, Prbl.g_02598, Prbl.g_02578	Pral.g_01236
OG0000002	Prbl.g_01582	Pral.g_01549, Pral.g_01554
OG0000002	Prbl.g_01092	Pral.g_01340, Pral.g_00430, Pral.g_01342, Pral.g_01337, Pral.g_01052, Pral.g_01764
OG0000004	Prbl.g_00021	Pral.g_01743
OG0000004	Prbl.g_01771	Pral.g_00809
OG0000005	Prbl.g_00419	Pral.g_01075
OG0000006	Prbl.g_02601	Pral.g_00797
OG0000007	Prbl.g_00531	Pral.g_00593
OG0000007	Prbl.g_00394	Pral.g_00107
OG0000008	Prbl.g_01855	Pral.g_00020
OG0000008	Prbl.g_01854	Pral.g_00021
OG0000010	Prbl.g_01341	Pral.g_01832, Pral.g_01848
OG0000013	Prbl.g_01183	Pral.g_00712
OG0000014	Prbl.g_01416	Pral.g_00732
OG0000015	Prbl.g_01566	Pral.g_01813
OG0000017	Prbl.g_01763	Pral.g_00491
OG0000017	Prbl.g_01755	Pral.g_00484
OG0000018	Prbl.g_00694	Pral.g_01346
OG0000019	Prbl.g_01097, Prbl.g_01509	Pral.g_00790, Pral.g_01344
OG0000020	Prbl.g_01026, Prbl.g_01386	Pral.g_01891
OG0000021	Prbl.g_01531	Pral.g_01667
OG0000021	Prbl.g_01768	Pral.g_01738
OG0000022	Prbl.g_01310	Pral.g_00044
OG0000023	Prbl.g_02355	Pral.g_01687
OG0000024	Prbl.g_00040	Pral.g_01895
OG0000025	Prbl.g_01539	Pral.g_01523
OG0000026	Prbl.g_01977	Pral.g_01012
OG0000028	Prbl.g_00900	Pral.g_00719
OG0000029	Prbl.g_01163	Pral.g_01890
OG0000030	Prbl.g_02061, Prbl.g_02060	Pral.g_00316
OG0000032	Prbl.g_00712	Pral.g_01121
OG0000033	Prbl.g_00278	Pral.g_00874
OG0000034	Prbl.g_01734	Pral.g_01271
OG0000035	Prbl.g_00242	Pral.g_01161, Pral.g_01165
OG0000037	Prbl.g_00548	Pral.g_00938
OG0000038	Prbl.g_02235, Prbl.g_02233	Pral.g_00356
OG0000039	Prbl.g_00318, Prbl.g_01272	Pral.g_01755
OG0000041	Prbl.g_00339	Pral.g_00155
OG0000042	Prbl.g_01236, Prbl.g_01121	Pral.g_00313
OG0000044	Prbl.g_01937, Prbl.g_01006, Prbl.g_02631, Prbl.g_02612	Pral.g_01888
OG0000045	Prbl.g_00609	Pral.g_01322
OG0000046	Prbl.g_01184	Pral.g_00711
OG0000047	Prbl.g_01574	Pral.g_00672
OG0000048	Prbl.g_01465	Pral.g_00768
OG0000052	Prbl.g_00870	Pral.g_00987
OG0000053	Prbl.g_00691	Pral.g_01139, Pral.g_00066
OG0000054	Prbl.g_01752	Pral.g_00482
OG0000056	Prbl.g_01599, Prbl.g_01171	Pral.g_01041
OG0000057	Prbl.g_00025	Pral.g_01740
OG0000058	Prbl.g_00890	Pral.g_01202
OG0000059	Prbl.g_00952	Pral.g_00195
OG0000061	Prbl.g_02084	Pral.g_01367
OG0000062	Prbl.g_00417	Pral.g_01073
OG0000063	Prbl.g_01981	Pral.g_00435
OG0000065	Prbl.g_00552	Pral.g_00940
OG0000066	Prbl.g_00752	Pral.g_00551
OG0000067	Prbl.g_02335	Pral.g_01488
OG0000068	Prbl.g_00502	Pral.g_01222
OG0000070	Prbl.g_00634	Pral.g_00643
OG0000071	Prbl.g_01722	Pral.g_01281
OG0000072	Prbl.g_00276	Pral.g_00872
OG0000073	Prbl.g_00533	Pral.g_00591
OG0000075	Prbl.g_00855	Pral.g_00279
OG0000076	Prbl.g_01285	Pral.g_00305
OG0000077	Prbl.g_00631, Prbl.g_00596	Pral.g_00969
OG0000078	Prbl.g_00193	Pral.g_00800
OG0000079	Prbl.g_01505	Pral.g_00787
OG0000081	Prbl.g_01036, Prbl.g_00032	Pral.g_00559
OG0000082	Prbl.g_01783	Pral.g_00057
OG0000084	Prbl.g_00246	Pral.g_01169
OG0000085	Prbl.g_00405	Pral.g_00099
OG0000086	Prbl.g_00583	Pral.g_00959
OG0000087	Prbl.g_00810	Pral.g_00906
OG0000088	Prbl.g_00281, Prbl.g_01838	Pral.g_00878
OG0000089	Prbl.g_02674	Pral.g_00676
OG0000090	Prbl.g_00766	Pral.g_00557
OG0000091	Prbl.g_01647	Pral.g_01443
OG0000093	Prbl.g_02359	Pral.g_01472
OG0000094	Prbl.g_02209	Pral.g_01604
OG0000095	Prbl.g_00927	Pral.g_01561
OG0000097	Prbl.g_02579	Pral.g_01416
OG0000098	Prbl.g_00722	Pral.g_01239
OG0000099	Prbl.g_00893	Pral.g_01201
OG0000100	Prbl.g_01914, Prbl.g_02305	Pral.g_01078
OG0000101	Prbl.g_01126, Prbl.g_01000	Pral.g_00243
OG0000102	Prbl.g_02636	Pral.g_00310
OG0000103	Prbl.g_02139	Pral.g_00397
OG0000104	Prbl.g_02125	Pral.g_00406
OG0000105	Prbl.g_01461	Pral.g_00765
OG0000106	Prbl.g_00411	Pral.g_01859
OG0000107	Prbl.g_02681	Pral.g_00171
OG0000108	Prbl.g_00511	Pral.g_00611
OG0000109	Prbl.g_00527	Pral.g_00596
OG0000110	Prbl.g_01795	Pral.g_00513
OG0000111	Prbl.g_00026	Pral.g_01739
OG0000112	Prbl.g_02470	Pral.g_01635
OG0000113	Prbl.g_02310	Pral.g_01511
OG0000114	Prbl.g_02407	Pral.g_01799
OG0000115	Prbl.g_00687	Pral.g_01141
OG0000116	Prbl.g_02069	Pral.g_01356
OG0000117	Prbl.g_01384	Pral.g_01396, Pral.g_01398, Pral.g_01397
OG0000118	Prbl.g_01736	Pral.g_01269
OG0000119	Prbl.g_00007	Pral.g_01861
OG0000119	Prbl.g_00046	Pral.g_01063
OG0000120	Prbl.g_00892	Pral.g_00702
OG0000121	Prbl.g_00234, Prbl.g_00240	Pral.g_01159
OG0000122	Prbl.g_01808	Pral.g_01116
OG0000123	Prbl.g_01135	Pral.g_00250
OG0000124	Prbl.g_02054	Pral.g_00322
OG0000125	Prbl.g_02231	Pral.g_00358
OG0000126	Prbl.g_02127	Pral.g_00405
OG0000128	Prbl.g_02109	Pral.g_00421
OG0000129	Prbl.g_02243	Pral.g_01000
OG0000130	Prbl.g_00608	Pral.g_00978
OG0000131	Prbl.g_00303	Pral.g_00900
OG0000132	Prbl.g_00283	Pral.g_00880
OG0000133	Prbl.g_00897	Pral.g_00717
OG0000134	Prbl.g_02677	Pral.g_00674
OG0000135	Prbl.g_02190	Pral.g_01034
OG0000136	Prbl.g_00647	Pral.g_00653
OG0000137	Prbl.g_01340	Pral.g_00617
OG0000138	Prbl.g_00528	Pral.g_00595
OG0000139	Prbl.g_00760	Pral.g_00553
OG0000140	Prbl.g_00754	Pral.g_00552
OG0000141	Prbl.g_01751	Pral.g_00481
OG0000142	Prbl.g_01639	Pral.g_01436
OG0000143	Prbl.g_01643	Pral.g_01440
OG0000144	Prbl.g_01042	Pral.g_01453
OG0000145	Prbl.g_00534	Pral.g_01037
OG0000146	Prbl.g_02469	Pral.g_01636
OG0000147	Prbl.g_02468	Pral.g_01637
OG0000148	Prbl.g_02316	Pral.g_01505
OG0000149	Prbl.g_01552	Pral.g_01535
OG0000150	Prbl.g_01576	Pral.g_01545
OG0000151	Prbl.g_02386	Pral.g_01789
OG0000152	Prbl.g_02478	Pral.g_01627
OG0000153	Prbl.g_02505	Pral.g_01578
OG0000154	Prbl.g_02532	Pral.g_01595
OG0000155	Prbl.g_00185	Pral.g_01390
OG0000156	Prbl.g_00115	Pral.g_01292
OG0000157	Prbl.g_00114	Pral.g_01291
OG0000158	Prbl.g_00843	Pral.g_00287
OG0000160	Prbl.g_00241	Pral.g_01160
OG0000161	Prbl.g_00227	Pral.g_01154
OG0000162	Prbl.g_00221	Pral.g_01148
OG0000163	Prbl.g_00452	Pral.g_01106
OG0000164	Prbl.g_00365	Pral.g_00131
OG0000165	Prbl.g_00356	Pral.g_00138
OG0000166	Prbl.g_00962	Pral.g_00206
OG0000167	Prbl.g_00857	Pral.g_00277
OG0000168	Prbl.g_00842	Pral.g_00288
OG0000169	Prbl.g_01302	Pral.g_00298
OG0000170	Prbl.g_01290	Pral.g_00301
OG0000171	Prbl.g_02055	Pral.g_00321
OG0000172	Prbl.g_02021	Pral.g_00328
OG0000173	Prbl.g_02000	Pral.g_00343
OG0000174	Prbl.g_02188	Pral.g_00375
OG0000175	Prbl.g_02150	Pral.g_00387
OG0000176	Prbl.g_02117	Pral.g_00414
OG0000177	Prbl.g_02116	Pral.g_00415
OG0000178	Prbl.g_02115	Pral.g_00416
OG0000179	Prbl.g_01961	Pral.g_01028
OG0000180	Prbl.g_01962	Pral.g_01027
OG0000181	Prbl.g_01963	Pral.g_01026
OG0000182	Prbl.g_01964	Pral.g_01025
OG0000183	Prbl.g_01968	Pral.g_01021
OG0000184	Prbl.g_02251	Pral.g_00996
OG0000185	Prbl.g_02273	Pral.g_00993
OG0000186	Prbl.g_00614	Pral.g_00984
OG0000187	Prbl.g_00613	Pral.g_00983
OG0000188	Prbl.g_00591	Pral.g_00965
OG0000189	Prbl.g_00565	Pral.g_00951
OG0000190	Prbl.g_00563	Pral.g_00950
OG0000191	Prbl.g_01325	Pral.g_00928
OG0000192	Prbl.g_01316	Pral.g_00923
OG0000193	Prbl.g_00302	Pral.g_00899
OG0000194	Prbl.g_00299	Pral.g_00896
OG0000195	Prbl.g_00297	Pral.g_00894
OG0000196	Prbl.g_00286	Pral.g_00883
OG0000197	Prbl.g_00285	Pral.g_00882
OG0000198	Prbl.g_00284	Pral.g_00881
OG0000199	Prbl.g_00277	Pral.g_00873
OG0000200	Prbl.g_00069	Pral.g_00860
OG0000201	Prbl.g_00088	Pral.g_00851
OG0000202	Prbl.g_00089	Pral.g_00850
OG0000203	Prbl.g_00090	Pral.g_00849
OG0000204	Prbl.g_00091	Pral.g_00848
OG0000205	Prbl.g_00098	Pral.g_00842
OG0000206	Prbl.g_01282	Pral.g_00837
OG0000207	Prbl.g_00130	Pral.g_00835
OG0000208	Prbl.g_00129	Pral.g_00834
OG0000209	Prbl.g_01256	Pral.g_00825
OG0000210	Prbl.g_01257	Pral.g_00824
OG0000211	Prbl.g_01922	Pral.g_00807
OG0000212	Prbl.g_00192	Pral.g_00799
OG0000213	Prbl.g_01496	Pral.g_00781
OG0000214	Prbl.g_01469	Pral.g_00772
OG0000215	Prbl.g_01439	Pral.g_00746
OG0000216	Prbl.g_01436	Pral.g_00744
OG0000217	Prbl.g_01432	Pral.g_00741
OG0000218	Prbl.g_01428	Pral.g_00739
OG0000219	Prbl.g_01427	Pral.g_00738
OG0000220	Prbl.g_01426	Pral.g_00737
OG0000221	Prbl.g_01421	Pral.g_00736
OG0000222	Prbl.g_00911	Pral.g_00729
OG0000223	Prbl.g_00888	Pral.g_00716
OG0000224	Prbl.g_00877	Pral.g_00714
OG0000225	Prbl.g_01218	Pral.g_00686
OG0000226	Prbl.g_01222	Pral.g_00682
OG0000227	Prbl.g_01224	Pral.g_00680
OG0000228	Prbl.g_02673	Pral.g_00677
OG0000229	Prbl.g_00652	Pral.g_00658
OG0000230	Prbl.g_00650	Pral.g_00656
OG0000231	Prbl.g_00635	Pral.g_00644
OG0000232	Prbl.g_00619	Pral.g_00631
OG0000233	Prbl.g_01360	Pral.g_00625
OG0000234	Prbl.g_01339	Pral.g_00616
OG0000235	Prbl.g_00510	Pral.g_00612
OG0000236	Prbl.g_00526	Pral.g_00597
OG0000237	Prbl.g_00800	Pral.g_00584
OG0000238	Prbl.g_00795	Pral.g_00578
OG0000239	Prbl.g_00779	Pral.g_00565
OG0000240	Prbl.g_00778	Pral.g_00564
OG0000241	Prbl.g_01526	Pral.g_00560
OG0000242	Prbl.g_00768	Pral.g_00558
OG0000243	Prbl.g_02647	Pral.g_00547
OG0000244	Prbl.g_01879	Pral.g_00544
OG0000245	Prbl.g_01882	Pral.g_00542
OG0000246	Prbl.g_01886	Pral.g_00538
OG0000247	Prbl.g_01897	Pral.g_00527
OG0000248	Prbl.g_01900	Pral.g_00524
OG0000249	Prbl.g_01902	Pral.g_00522
OG0000250	Prbl.g_01799	Pral.g_00516
OG0000251	Prbl.g_01775	Pral.g_00498
OG0000252	Prbl.g_01772	Pral.g_00495
OG0000253	Prbl.g_01766	Pral.g_00494
OG0000254	Prbl.g_01747	Pral.g_00477
OG0000255	Prbl.g_01612	Pral.g_00470
OG0000256	Prbl.g_01626	Pral.g_00460
OG0000257	Prbl.g_01632	Pral.g_01430
OG0000258	Prbl.g_01655	Pral.g_01444
OG0000259	Prbl.g_01406	Pral.g_01461
OG0000260	Prbl.g_01403	Pral.g_01464
OG0000261	Prbl.g_01400	Pral.g_01467
OG0000262	Prbl.g_01395	Pral.g_01471
OG0000263	Prbl.g_01242	Pral.g_01761
OG0000264	Prbl.g_01859	Pral.g_01750
OG0000265	Prbl.g_01839, Prbl.g_02567	Pral.g_01729
OG0000266	Prbl.g_02556	Pral.g_01719
OG0000267	Prbl.g_02431	Pral.g_01706
OG0000268	Prbl.g_02432	Pral.g_01705
OG0000269	Prbl.g_02340	Pral.g_01483
OG0000270	Prbl.g_02337	Pral.g_01486
OG0000271	Prbl.g_02329	Pral.g_01494
OG0000272	Prbl.g_02328	Pral.g_01495
OG0000273	Prbl.g_01534	Pral.g_01518
OG0000274	Prbl.g_01535	Pral.g_01519
OG0000275	Prbl.g_01538	Pral.g_01522
OG0000276	Prbl.g_01544	Pral.g_01527
OG0000277	Prbl.g_01545	Pral.g_01528
OG0000278	Prbl.g_01548	Pral.g_01531
OG0000279	Prbl.g_01556	Pral.g_01538
OG0000280	Prbl.g_01562	Pral.g_01539
OG0000281	Prbl.g_01577	Pral.g_01546
OG0000282	Prbl.g_02405	Pral.g_01797
OG0000283	Prbl.g_02443	Pral.g_01655
OG0000284	Prbl.g_02449	Pral.g_01650
OG0000285	Prbl.g_01688	Pral.g_01644
OG0000286	Prbl.g_02477	Pral.g_01628
OG0000287	Prbl.g_02608	Pral.g_00050
OG0000288	Prbl.g_02531	Pral.g_01594
OG0000289	Prbl.g_02544	Pral.g_01609
OG0000290	Prbl.g_00930	Pral.g_01564
OG0000291	Prbl.g_00928	Pral.g_01562
OG0000292	Prbl.g_02128	Pral.g_01316
OG0000293	Prbl.g_02071	Pral.g_01357
OG0000294	Prbl.g_02072	Pral.g_01358
OG0000295	Prbl.g_00178	Pral.g_01382
OG0000296	Prbl.g_00180	Pral.g_01384
OG0000297	Prbl.g_01382	Pral.g_01394
OG0000298	Prbl.g_01383	Pral.g_01395
OG0000299	Prbl.g_01372	Pral.g_01415
OG0000300	Prbl.g_02582	Pral.g_01419
OG0000301	Prbl.g_02583	Pral.g_01420
OG0000302	Prbl.g_02586	Pral.g_01422
OG0000303	Prbl.g_00187	Pral.g_01428
OG0000304	Prbl.g_01102	Pral.g_00455
OG0000305	Prbl.g_00926	Pral.g_01323
OG0000306	Prbl.g_01586	Pral.g_01550
OG0000307	Prbl.g_00494	Pral.g_01213
OG0000308	Prbl.g_00492	Pral.g_01212
OG0000309	Prbl.g_00488	Pral.g_01208
OG0000310	Prbl.g_00160	Pral.g_01181
OG0000311	Prbl.g_00258	Pral.g_01179
OG0000312	Prbl.g_00254	Pral.g_01176
OG0000313	Prbl.g_00230	Pral.g_01157
OG0000314	Prbl.g_00699	Pral.g_01133
OG0000315	Prbl.g_00709	Pral.g_01123
OG0000316	Prbl.g_00441	Pral.g_01095
OG0000317	Prbl.g_00399	Pral.g_00104
OG0000318	Prbl.g_00393	Pral.g_00108
OG0000319	Prbl.g_00376	Pral.g_00121
OG0000320	Prbl.g_00374	Pral.g_00123
OG0000321	Prbl.g_00373	Pral.g_00124
OG0000322	Prbl.g_00372	Pral.g_00125
OG0000323	Prbl.g_00361	Pral.g_00134
OG0000324	Prbl.g_00332	Pral.g_00162
OG0000325	Prbl.g_02683	Pral.g_00172
OG0000326	Prbl.g_01059	Pral.g_00179
OG0000327	Prbl.g_00957	Pral.g_00201
OG0000328	Prbl.g_00958	Pral.g_00202
OG0000329	Prbl.g_00975	Pral.g_00219
OG0000330	Prbl.g_00976	Pral.g_00220
OG0000331	Prbl.g_00977	Pral.g_00221
OG0000332	Prbl.g_00992	Pral.g_00235
OG0000333	Prbl.g_00994	Pral.g_00237
OG0000334	Prbl.g_01131	Pral.g_00246
OG0000335	Prbl.g_01136	Pral.g_00251
OG0000336	Prbl.g_01140	Pral.g_00255
OG0000337	Prbl.g_00863	Pral.g_00274
OG0000338	Prbl.g_00859	Pral.g_00275
OG0000339	Prbl.g_00853	Pral.g_00280
OG0000340	Prbl.g_00841	Pral.g_00289
OG0000341	Prbl.g_00839	Pral.g_00291
OG0000342	Prbl.g_00838	Pral.g_00292
OG0000343	Prbl.g_01307	Pral.g_00293
OG0000344	Prbl.g_01304	Pral.g_00296
