Orthogroup	Prbl	Syak
OG0000001	Prbl.g_00808, Prbl.g_02598	Syak.g_02138
OG0000004	Prbl.g_00021	Syak.g_01219, Syak.g_00720
OG0000004	Prbl.g_01771	Syak.g_00003, Syak.g_02297
OG0000005	Prbl.g_00419	Syak.g_00885, Syak.g_02436
OG0000006	Prbl.g_02601	Syak.g_00057, Syak.g_00059, Syak.g_00061, Syak.g_01394, Syak.g_02315, Syak.g_02317
OG0000007	Prbl.g_00531	Syak.g_02595
OG0000007	Prbl.g_00394	Syak.g_02416
OG0000008	Prbl.g_01855	Syak.g_00267
OG0000008	Prbl.g_01854	Syak.g_00692
OG0000009	Prbl.g_00155, Prbl.g_00554	Syak.g_02194
OG0000010	Prbl.g_01341	Syak.g_01119
OG0000012	Prbl.g_01618	Syak.g_00010
OG0000013	Prbl.g_01183	Syak.g_01270, Syak.g_01275
OG0000014	Prbl.g_01416	Syak.g_01505
OG0000015	Prbl.g_01566	Syak.g_01813, Syak.g_00107, Syak.g_00358
OG0000017	Prbl.g_01763	Syak.g_02730
OG0000017	Prbl.g_01755	Syak.g_02738
OG0000018	Prbl.g_00694	Syak.g_01072
OG0000019	Prbl.g_01097, Prbl.g_01509	Syak.g_01413
OG0000021	Prbl.g_01531, Prbl.g_01768	Syak.g_00566
OG0000022	Prbl.g_01072	Syak.g_00088
OG0000023	Prbl.g_02355	Syak.g_00316, Syak.g_00223
OG0000025	Prbl.g_01539	Syak.g_00610
OG0000026	Prbl.g_01977	Syak.g_01757
OG0000028	Prbl.g_00900	Syak.g_01522
OG0000029	Prbl.g_01163	Syak.g_00169, Syak.g_00178
OG0000030	Prbl.g_02061	Syak.g_01684
OG0000030	Prbl.g_02060	Syak.g_01685
OG0000031	Prbl.g_00835, Prbl.g_00830	Syak.g_01630
OG0000032	Prbl.g_00712	Syak.g_01092
OG0000032	Prbl.g_00889	Syak.g_01707
OG0000033	Prbl.g_00278	Syak.g_02101
OG0000034	Prbl.g_01734	Syak.g_00950, Syak.g_02133
OG0000035	Prbl.g_00242	Syak.g_01040
OG0000036	Prbl.g_00735	Syak.g_02275
OG0000037	Prbl.g_00548	Syak.g_02188
OG0000038	Prbl.g_02235	Syak.g_01938
OG0000038	Prbl.g_02233	Syak.g_01936
OG0000039	Prbl.g_01272	Syak.g_01918
OG0000041	Prbl.g_00339	Syak.g_02354, Syak.g_00752
OG0000042	Prbl.g_01236, Prbl.g_01121	Syak.g_00843, Syak.g_01681
OG0000045	Prbl.g_00609	Syak.g_00317
OG0000046	Prbl.g_01184	Syak.g_01269, Syak.g_01276
OG0000047	Prbl.g_00719, Prbl.g_01574	Syak.g_01147
OG0000048	Prbl.g_01465	Syak.g_01446
OG0000052	Prbl.g_00870	Syak.g_01549
OG0000053	Prbl.g_00691	Syak.g_01068
OG0000054	Prbl.g_01752	Syak.g_02744, Syak.g_02321
OG0000057	Prbl.g_00025	Syak.g_00724, Syak.g_01676
OG0000058	Prbl.g_00890	Syak.g_01530
OG0000059	Prbl.g_00952	Syak.g_01355
OG0000060	Prbl.g_00508	Syak.g_02572
OG0000061	Prbl.g_02084	Syak.g_00898
OG0000062	Prbl.g_00417	Syak.g_02434
OG0000063	Prbl.g_01981	Syak.g_01752
OG0000065	Prbl.g_00552	Syak.g_02192
OG0000066	Prbl.g_00752	Syak.g_02653
OG0000067	Prbl.g_02335	Syak.g_00434
OG0000068	Prbl.g_00502	Syak.g_02565
OG0000070	Prbl.g_00634	Syak.g_01174
OG0000071	Prbl.g_01722	Syak.g_02322, Syak.g_00936
OG0000072	Prbl.g_00276	Syak.g_02099
OG0000073	Prbl.g_00533	Syak.g_02597
OG0000075	Prbl.g_00855	Syak.g_01564
OG0000076	Prbl.g_01285	Syak.g_01650
OG0000077	Prbl.g_00631, Prbl.g_00596	Syak.g_02243
OG0000078	Prbl.g_00193	Syak.g_02310
OG0000079	Prbl.g_01505	Syak.g_01417
OG0000081	Prbl.g_01036, Prbl.g_00032	Syak.g_00115
OG0000082	Prbl.g_01783	Syak.g_02711
OG0000084	Prbl.g_00246	Syak.g_01036
OG0000085	Prbl.g_00405	Syak.g_02427
OG0000086	Prbl.g_00583	Syak.g_02219
OG0000087	Prbl.g_00810	Syak.g_02141
OG0000088	Prbl.g_00281, Prbl.g_01838	Syak.g_02106
OG0000089	Prbl.g_02674	Syak.g_01215
OG0000090	Prbl.g_00766	Syak.g_02640
OG0000091	Prbl.g_01647	Syak.g_00043
