Orthogroup	Prbl	Syao
OG0000001	Prbl.g_00808, Prbl.g_02598	Syao.g_02557, Syao.g_02556, Syao.g_01317, Syao.g_02558
OG0000004	Prbl.g_00021	Syao.g_02374
OG0000004	Prbl.g_01771	Syao.g_01271, Syao.g_01007
OG0000005	Prbl.g_00419	Syao.g_01578
OG0000006	Prbl.g_02601	Syao.g_00919, Syao.g_01518
OG0000007	Prbl.g_00531	Syao.g_00105
OG0000007	Prbl.g_00394	Syao.g_01554
OG0000008	Prbl.g_01854	Syao.g_01321
OG0000009	Prbl.g_00155, Prbl.g_00554	Syao.g_02598
OG0000010	Prbl.g_01341	Syao.g_02683
OG0000013	Prbl.g_01183	Syao.g_01910, Syao.g_01222, Syao.g_01844
OG0000014	Prbl.g_01416	Syao.g_02027
OG0000015	Prbl.g_01566	Syao.g_02339, Syao.g_00302
OG0000017	Prbl.g_01755	Syao.g_01064
OG0000018	Prbl.g_00694	Syao.g_00071
OG0000019	Prbl.g_01509	Syao.g_02108
OG0000021	Prbl.g_01531, Prbl.g_01768	Syao.g_01002
OG0000022	Prbl.g_01072	Syao.g_01218
OG0000023	Prbl.g_02355	Syao.g_01266
OG0000025	Prbl.g_01539	Syao.g_00436, Syao.g_00437
OG0000026	Prbl.g_01977	Syao.g_02234
OG0000028	Prbl.g_00900	Syao.g_02012
OG0000030	Prbl.g_02061	Syao.g_02189
OG0000030	Prbl.g_02060	Syao.g_02188
OG0000031	Prbl.g_00835, Prbl.g_00830	Syao.g_02008
OG0000032	Prbl.g_00712	Syao.g_00090
OG0000032	Prbl.g_00889	Syao.g_01984, Syao.g_01983
OG0000033	Prbl.g_00278	Syao.g_02507
OG0000035	Prbl.g_00242	Syao.g_01483, Syao.g_01486
OG0000036	Prbl.g_00735	Syao.g_00727, Syao.g_00580, Syao.g_01142, Syao.g_00725, Syao.g_02193, Syao.g_00726, Syao.g_00572
OG0000037	Prbl.g_00548	Syao.g_00374
OG0000038	Prbl.g_02235	Syao.g_02440
OG0000038	Prbl.g_02233	Syao.g_02442
OG0000039	Prbl.g_00318, Prbl.g_01272	Syao.g_00704
OG0000041	Prbl.g_00339	Syao.g_00509, Syao.g_01637
OG0000042	Prbl.g_01236, Prbl.g_01121	Syao.g_00019, Syao.g_01941
OG0000045	Prbl.g_00609	Syao.g_01214
OG0000046	Prbl.g_01184	Syao.g_01909, Syao.g_01845
OG0000047	Prbl.g_01574	Syao.g_01899
OG0000048	Prbl.g_01465	Syao.g_02077
OG0000051	Prbl.g_02385	Syao.g_01261
OG0000052	Prbl.g_00870	Syao.g_02520, Syao.g_01972
OG0000053	Prbl.g_00691	Syao.g_00067
OG0000054	Prbl.g_01752	Syao.g_00295, Syao.g_00625
OG0000057	Prbl.g_00025	Syao.g_00377
OG0000058	Prbl.g_00890	Syao.g_01978
OG0000059	Prbl.g_00836	Syao.g_01959
OG0000059	Prbl.g_00952	Syao.g_01801
OG0000061	Prbl.g_02084	Syao.g_00123
OG0000062	Prbl.g_00417	Syao.g_01576
OG0000063	Prbl.g_01981	Syao.g_02230
OG0000065	Prbl.g_00552	Syao.g_02600
OG0000066	Prbl.g_00752	Syao.g_01422
OG0000068	Prbl.g_00502	Syao.g_00868, Syao.g_00036
OG0000070	Prbl.g_00634	Syao.g_00330
OG0000071	Prbl.g_01722	Syao.g_01433
OG0000072	Prbl.g_00276	Syao.g_02509, Syao.g_01749
OG0000073	Prbl.g_00533	Syao.g_00103
OG0000075	Prbl.g_00855	Syao.g_02257
OG0000076	Prbl.g_01285	Syao.g_01949
OG0000077	Prbl.g_00631	Syao.g_02629
OG0000078	Prbl.g_00193	Syao.g_01709
