Orthogroup	Prbl	Prbm
OG0000000	Prbl.g_00118, Prbl.g_00117	Prbm.g_01408, Prbm.g_01115, Prbm.g_00437, Prbm.g_01228, Prbm.g_01312, Prbm.g_01381
OG0000000	Prbl.g_00116	Prbm.g_01117, Prbm.g_01229, Prbm.g_01382, Prbm.g_01407, Prbm.g_00436
OG0000001	Prbl.g_00725, Prbl.g_00121, Prbl.g_02599, Prbl.g_00808, Prbl.g_02598, Prbl.g_02578	Prbm.g_01633
OG0000002	Prbl.g_01582	Prbm.g_00874
OG0000002	Prbl.g_01092	Prbm.g_01578, Prbm.g_01577, Prbm.g_01582, Prbm.g_01576, Prbm.g_01581, Prbm.g_00712
OG0000004	Prbl.g_00021	Prbm.g_01483
OG0000004	Prbl.g_01771	Prbm.g_00291
OG0000005	Prbl.g_00419	Prbm.g_01790
OG0000006	Prbl.g_02601	Prbm.g_00302, Prbm.g_01236, Prbm.g_01588
OG0000007	Prbl.g_00531	Prbm.g_00522
OG0000007	Prbl.g_00394	Prbm.g_01841
OG0000008	Prbl.g_01855	Prbm.g_01907
OG0000008	Prbl.g_01854	Prbm.g_01908
OG0000010	Prbl.g_01341	Prbm.g_01066
OG0000011	Prbl.g_01822	Prbm.g_01202
OG0000013	Prbl.g_01183	Prbm.g_00382
OG0000014	Prbl.g_01416	Prbm.g_00362
OG0000015	Prbl.g_01566	Prbm.g_01427, Prbm.g_01149
OG0000018	Prbl.g_00694	Prbm.g_01571
OG0000019	Prbl.g_01097, Prbl.g_01509	Prbm.g_00792
OG0000020	Prbl.g_01026, Prbl.g_01386	Prbm.g_01156
OG0000020	Prbl.g_01076	Prbm.g_01065
OG0000021	Prbl.g_01531	Prbm.g_01939
OG0000022	Prbl.g_01072	Prbm.g_01324
OG0000022	Prbl.g_01310	Prbm.g_01204
OG0000023	Prbl.g_02355	Prbm.g_01444, Prbm.g_01297, Prbm.g_01284
OG0000024	Prbl.g_00040	Prbm.g_01151, Prbm.g_00709
OG0000025	Prbl.g_01539	Prbm.g_00849
OG0000026	Prbl.g_01977	Prbm.g_00031
OG0000029	Prbl.g_01163	Prbm.g_01823
OG0000030	Prbl.g_02061, Prbl.g_02060	Prbm.g_02105
OG0000031	Prbl.g_00835, Prbl.g_00830	Prbm.g_01627, Prbm.g_00392, Prbm.g_00391, Prbm.g_00393
OG0000032	Prbl.g_00712	Prbm.g_01747
OG0000033	Prbl.g_00278	Prbm.g_00228
OG0000034	Prbl.g_01734	Prbm.g_01620
OG0000035	Prbl.g_00242	Prbm.g_01710
OG0000037	Prbl.g_00548	Prbm.g_00166
OG0000038	Prbl.g_02235, Prbl.g_02233	Prbm.g_02174
OG0000039	Prbl.g_00318, Prbl.g_01272	Prbm.g_00723
OG0000041	Prbl.g_00339	Prbm.g_01886
OG0000042	Prbl.g_01236, Prbl.g_01121	Prbm.g_02102
OG0000044	Prbl.g_01937, Prbl.g_01006, Prbl.g_02631, Prbl.g_02612	Prbm.g_00478, Prbm.g_01281
OG0000045	Prbl.g_00609	Prbm.g_01088
OG0000046	Prbl.g_01184	Prbm.g_00383
OG0000047	Prbl.g_00719	Prbm.g_00390
OG0000047	Prbl.g_01574	Prbm.g_00428
OG0000048	Prbl.g_01465	Prbm.g_00329
OG0000051	Prbl.g_01677	Prbm.g_01267
OG0000052	Prbl.g_00870	Prbm.g_00114
OG0000053	Prbl.g_00691	Prbm.g_01729
OG0000054	Prbl.g_01752	Prbm.g_00637
OG0000057	Prbl.g_00025	Prbm.g_00735
OG0000058	Prbl.g_00890	Prbm.g_00881
OG0000059	Prbl.g_00952	Prbm.g_01973
OG0000060	Prbl.g_00508, Prbl.g_00063	Prbm.g_01422
OG0000061	Prbl.g_02084	Prbm.g_01549
OG0000062	Prbl.g_00417	Prbm.g_01792
OG0000063	Prbl.g_01981	Prbm.g_01947
OG0000065	Prbl.g_00552	Prbm.g_00164
OG0000066	Prbl.g_00752	Prbm.g_00572
OG0000067	Prbl.g_02335	Prbm.g_00814
OG0000068	Prbl.g_00502	Prbm.g_01660
OG0000070	Prbl.g_00634	Prbm.g_00460
OG0000071	Prbl.g_01722	Prbm.g_00468, Prbm.g_01611
OG0000072	Prbl.g_00276	Prbm.g_00230
OG0000073	Prbl.g_00533	Prbm.g_00533
OG0000075	Prbl.g_00855	Prbm.g_02069
OG0000076	Prbl.g_01285	Prbm.g_02094
OG0000077	Prbl.g_00631	Prbm.g_00135
OG0000078	Prbl.g_00193	Prbm.g_00300
OG0000079	Prbl.g_01505	Prbm.g_00311
OG0000081	Prbl.g_01036, Prbl.g_00032	Prbm.g_00564
OG0000082	Prbl.g_01783	Prbm.g_01900
OG0000084	Prbl.g_00246	Prbm.g_01706
OG0000085	Prbl.g_00405	Prbm.g_01834
OG0000086	Prbl.g_00583	Prbm.g_00145
OG0000087	Prbl.g_00810	Prbm.g_00198
OG0000088	Prbl.g_00281, Prbl.g_01838	Prbm.g_00225
OG0000089	Prbl.g_02674	Prbm.g_00423
OG0000090	Prbl.g_00766	Prbm.g_00566
OG0000091	Prbl.g_01647	Prbm.g_00673
OG0000093	Prbl.g_02359	Prbm.g_00799
OG0000094	Prbl.g_02209	Prbm.g_00888
OG0000095	Prbl.g_00927	Prbm.g_01064
OG0000097	Prbl.g_02579	Prbm.g_01502
OG0000098	Prbl.g_00722	Prbm.g_01630
OG0000099	Prbl.g_00893	Prbm.g_00394
OG0000100	Prbl.g_01914, Prbl.g_02305	Prbm.g_01787
