Orthogroup	Prbl	Prah
OG0000000	Prbl.g_00118	Prah.g_01346
OG0000000	Prbl.g_00117	Prah.g_01347
OG0000000	Prbl.g_00116	Prah.g_01348
OG0000001	Prbl.g_00725	Prah.g_00324
OG0000001	Prbl.g_00121, Prbl.g_02599	Prah.g_01343
OG0000001	Prbl.g_00808, Prbl.g_02598	Prah.g_02270
OG0000001	Prbl.g_02578	Prah.g_00896
OG0000002	Prbl.g_01582	Prah.g_00562
OG0000002	Prbl.g_01092	Prah.g_01226
OG0000003	Prbl.g_01308	Prah.g_00169
OG0000003	Prbl.g_02640, Prbl.g_02639	Prah.g_02446
OG0000003	Prbl.g_00656	Prah.g_00226
OG0000003	Prbl.g_01064	Prah.g_00272, Prah.g_02434
OG0000003	Prbl.g_00673	Prah.g_02451, Prah.g_02432
OG0000003	Prbl.g_01502	Prah.g_00936, Prah.g_01869
OG0000003	Prbl.g_02278, Prbl.g_00920	Prah.g_01005, Prah.g_01056
OG0000004	Prbl.g_00021	Prah.g_01022
OG0000004	Prbl.g_01771	Prah.g_01413
OG0000005	Prbl.g_00419	Prah.g_01652
OG0000006	Prbl.g_02601	Prah.g_00475, Prah.g_01767
OG0000007	Prbl.g_00531	Prah.g_01546
OG0000007	Prbl.g_00394	Prah.g_01676
OG0000008	Prbl.g_01855	Prah.g_00970
OG0000008	Prbl.g_01854	Prah.g_00969
OG0000009	Prbl.g_00155	Prah.g_00432
OG0000009	Prbl.g_00554	Prah.g_01895
OG0000010	Prbl.g_01341	Prah.g_00311
OG0000011	Prbl.g_01822	Prah.g_01084
OG0000012	Prbl.g_01618	Prah.g_00524
OG0000013	Prbl.g_01183	Prah.g_01956
OG0000014	Prbl.g_01416	Prah.g_02171
OG0000015	Prbl.g_01566	Prah.g_01155, Prah.g_00576
OG0000017	Prbl.g_01755	Prah.g_01397
OG0000018	Prbl.g_00694	Prah.g_00378
OG0000019	Prbl.g_01509	Prah.g_02086
OG0000020	Prbl.g_01026, Prbl.g_01386	Prah.g_01100
OG0000021	Prbl.g_01531	Prah.g_01108, Prah.g_01112, Prah.g_01117
OG0000021	Prbl.g_01768	Prah.g_01410
OG0000022	Prbl.g_01072	Prah.g_01209
OG0000022	Prbl.g_01310	Prah.g_00170
OG0000023	Prbl.g_02355	Prah.g_00688
OG0000024	Prbl.g_00040	Prah.g_01043
OG0000025	Prbl.g_01539	Prah.g_00604
OG0000026	Prbl.g_01977	Prah.g_00038
OG0000028	Prbl.g_00900	Prah.g_02184
OG0000029	Prbl.g_01163	Prah.g_01972
OG0000030	Prbl.g_02061	Prah.g_00132
OG0000030	Prbl.g_02060	Prah.g_00131
