Orthogroup	Syac	Prah
OG0000001	Syac.g_00341, Syac.g_00340	Prah.g_02270
OG0000002	Syac.g_01084	Prah.g_00562, Prah.g_01226
OG0000004	Syac.g_00898	Prah.g_01022
OG0000004	Syac.g_00948, Syac.g_01975	Prah.g_01413
OG0000005	Syac.g_00569	Prah.g_01652
OG0000006	Syac.g_01002, Syac.g_01958, Syac.g_01961, Syac.g_02194	Prah.g_00475, Prah.g_01767
OG0000007	Syac.g_01885	Prah.g_01546
OG0000007	Syac.g_00544	Prah.g_01676
OG0000008	Syac.g_00921	Prah.g_00970
OG0000008	Syac.g_00922	Prah.g_00969
OG0000009	Syac.g_01004, Syac.g_00398	Prah.g_00432, Prah.g_01895
OG0000010	Syac.g_01701	Prah.g_00311
OG0000012	Syac.g_00955	Prah.g_00524
OG0000013	Syac.g_02056, Syac.g_02046, Syac.g_02062	Prah.g_01956
OG0000014	Syac.g_00253	Prah.g_02171
OG0000015	Syac.g_01408	Prah.g_01155, Prah.g_00576
OG0000016	Syac.g_00014	Prah.g_00015
OG0000016	Syac.g_01505	Prah.g_01270
OG0000017	Syac.g_01742	Prah.g_01397
OG0000018	Syac.g_01660	Prah.g_00378
OG0000019	Syac.g_02207	Prah.g_02086
OG0000022	Syac.g_01031	Prah.g_01209
OG0000023	Syac.g_00760	Prah.g_00688
OG0000024	Syac.g_00925	Prah.g_01043
OG0000025	Syac.g_00847	Prah.g_00604
OG0000026	Syac.g_00034	Prah.g_00038
OG0000028	Syac.g_00237	Prah.g_02184
OG0000029	Syac.g_01942	Prah.g_01972
OG0000030	Syac.g_00143	Prah.g_00132
OG0000030	Syac.g_00142	Prah.g_00131
OG0000031	Syac.g_00232	Prah.g_02248
OG0000032	Syac.g_01677	Prah.g_00358
OG0000033	Syac.g_00304	Prah.g_02307
OG0000034	Syac.g_00334, Syac.g_00715	Prah.g_01376
OG0000035	Syac.g_01630	Prah.g_00408
OG0000037	Syac.g_01077	Prah.g_01901
OG0000038	Syac.g_02357	Prah.g_02494
OG0000038	Syac.g_02358	Prah.g_02496
OG0000039	Syac.g_02378	Prah.g_02382
OG0000041	Syac.g_00655, Syac.g_00876	Prah.g_01737
OG0000042	Syac.g_00146	Prah.g_00135, Prah.g_01256
OG0000043	Syac.g_00808	Prah.g_01190
OG0000045	Syac.g_00576	Prah.g_01837
OG0000046	Syac.g_02055, Syac.g_02047, Syac.g_02063	Prah.g_01955
OG0000047	Syac.g_02031	Prah.g_00353, Prah.g_00321, Prah.g_00322
OG0000048	Syac.g_02240	Prah.g_02122
OG0000050	Syac.g_01937	Prah.g_01120
OG0000052	Syac.g_00207	Prah.g_02219
OG0000053	Syac.g_01657	Prah.g_00381
OG0000054	Syac.g_00933, Syac.g_01050	Prah.g_01394
OG0000055	Syac.g_01034, Syac.g_00859	Prah.g_00942
OG0000057	Syac.g_00894	Prah.g_01027
OG0000058	Syac.g_00226	Prah.g_02195
OG0000059	Syac.g_02142	Prah.g_02043
OG0000060	Syac.g_01909	Prah.g_01569
OG0000061	Syac.g_00769	Prah.g_01322
OG0000062	Syac.g_00567	Prah.g_01654
OG0000063	Syac.g_00037	Prah.g_00042
OG0000066	Syac.g_01827	Prah.g_01485
OG0000067	Syac.g_01341	Prah.g_00667, Prah.g_01826
OG0000068	Syac.g_01916	Prah.g_01576
OG0000070	Syac.g_00711	Prah.g_00252
OG0000071	Syac.g_01049, Syac.g_00729	Prah.g_01364
OG0000072	Syac.g_00302	Prah.g_02309
OG0000073	Syac.g_01883	Prah.g_01544
OG0000075	Syac.g_00191	Prah.g_02232
OG0000076	Syac.g_00156	Prah.g_00150
OG0000078	Syac.g_01964	Prah.g_01773
OG0000082	Syac.g_01766	Prah.g_01427
OG0000084	Syac.g_00822, Syac.g_01627	Prah.g_00412
OG0000085	Syac.g_00560	Prah.g_01666
OG0000086	Syac.g_00423	Prah.g_01866
OG0000087	Syac.g_00343	Prah.g_02268
OG0000088	Syac.g_00308	Prah.g_02304, Prah.g_00957
OG0000089	Syac.g_01988, Syac.g_01543	Prah.g_00205
OG0000090	Syac.g_01836	Prah.g_01501
OG0000091	Syac.g_00987	Prah.g_00493
OG0000093	Syac.g_01357	Prah.g_00692
OG0000094	Syac.g_01251	Prah.g_02518
OG0000095	Syac.g_00884	Prah.g_00915
OG0000097	Syac.g_01507	Prah.g_01272
OG0000098	Syac.g_02157	Prah.g_00327
OG0000099	Syac.g_00234	Prah.g_02191
OG0000100	Syac.g_01309	Prah.g_01791, Prah.g_00636
OG0000101	Syac.g_02094	Prah.g_01995
OG0000102	Syac.g_00151	Prah.g_00144
OG0000103	Syac.g_02476	Prah.g_02586
OG0000104	Syac.g_02490	Prah.g_02600
OG0000105	Syac.g_02245	Prah.g_02126
OG0000106	Syac.g_01098	Prah.g_01660
OG0000107	Syac.g_02191	Prah.g_02072
OG0000108	Syac.g_01904	Prah.g_01566
OG0000109	Syac.g_01889	Prah.g_01550
OG0000110	Syac.g_01778	Prah.g_01439
OG0000111	Syac.g_00893	Prah.g_01028
OG0000112	Syac.g_01173	Prah.g_00788
OG0000113	Syac.g_01314	Prah.g_00641
OG0000114	Syac.g_01394	Prah.g_00733
OG0000115	Syac.g_01655	Prah.g_00383
OG0000116	Syac.g_00753	Prah.g_01337
OG0000117	Syac.g_01477	Prah.g_01257
OG0000118	Syac.g_01728	Prah.g_01378
OG0000120	Syac.g_00233	Prah.g_02192
OG0000121	Syac.g_01635	Prah.g_00406
OG0000122	Syac.g_01013	Prah.g_01203
OG0000123	Syac.g_02086	Prah.g_01987
OG0000124	Syac.g_00135	Prah.g_00125
OG0000125	Syac.g_02360	Prah.g_02498
OG0000126	Syac.g_02488	Prah.g_02598
OG0000127	Syac.g_01547	Prah.g_01085
OG0000128	Syac.g_00012	Prah.g_00013
OG0000129	Syac.g_02349	Prah.g_02486
OG0000130	Syac.g_00450	Prah.g_01838
OG0000131	Syac.g_00330	Prah.g_02282
OG0000132	Syac.g_00310	Prah.g_02302
OG0000133	Syac.g_01178	Prah.g_02187
OG0000134	Syac.g_01985	Prah.g_00208
OG0000135	Syac.g_02398	Prah.g_02538
OG0000136	Syac.g_00701	Prah.g_00235
OG0000137	Syac.g_01700	Prah.g_00312
OG0000138	Syac.g_01888	Prah.g_01549
OG0000139	Syac.g_01830	Prah.g_01495
OG0000140	Syac.g_01829	Prah.g_01489
OG0000141	Syac.g_00934	Prah.g_01393
OG0000142	Syac.g_00979	Prah.g_00501
OG0000143	Syac.g_00983	Prah.g_00497
OG0000144	Syac.g_01090	Prah.g_00473
OG0000145	Syac.g_01882	Prah.g_01543
OG0000146	Syac.g_01172	Prah.g_00787
OG0000147	Syac.g_01171	Prah.g_00786
OG0000148	Syac.g_01320	Prah.g_00649
OG0000149	Syac.g_00832	Prah.g_00591
OG0000150	Syac.g_00935	Prah.g_00568
OG0000151	Syac.g_01383	Prah.g_00718
OG0000152	Syac.g_01182	Prah.g_00796
OG0000153	Syac.g_01217	Prah.g_00826
OG0000154	Syac.g_01241	Prah.g_00852
OG0000155	Syac.g_00804	Prah.g_01291
OG0000156	Syac.g_00743	Prah.g_01349
OG0000157	Syac.g_00742	Prah.g_01350
OG0000158	Syac.g_00182	Prah.g_02242
OG0000160	Syac.g_01633	Prah.g_00407
OG0000161	Syac.g_01641	Prah.g_00399
OG0000162	Syac.g_01648	Prah.g_00391
OG0000163	Syac.g_00619	Prah.g_01619
OG0000164	Syac.g_00508	Prah.g_01705
OG0000165	Syac.g_00674	Prah.g_01716
OG0000166	Syac.g_02132	Prah.g_02033
OG0000167	Syac.g_00194	Prah.g_02230
OG0000168	Syac.g_00179	Prah.g_02243
OG0000169	Syac.g_00168	Prah.g_00163
OG0000170	Syac.g_00161	Prah.g_00155
OG0000171	Syac.g_00136	Prah.g_00126
OG0000172	Syac.g_00084	Prah.g_00084
OG0000173	Syac.g_00057	Prah.g_00061
OG0000174	Syac.g_02401	Prah.g_02541
OG0000175	Syac.g_02465	Prah.g_02575
OG0000176	Syac.g_00004	Prah.g_00005
OG0000177	Syac.g_00005	Prah.g_00006
OG0000178	Syac.g_00006	Prah.g_00007
OG0000179	Syac.g_00019	Prah.g_00022
OG0000180	Syac.g_00020	Prah.g_00023
OG0000181	Syac.g_00021	Prah.g_00024
OG0000182	Syac.g_00022	Prah.g_00025
