Orthogroup	Syac	Syak
OG0000001	Syac.g_00341, Syac.g_00340	Syak.g_02138
OG0000001	Syac.g_02169	Syak.g_00275, Syak.g_00579
OG0000004	Syac.g_00898	Syak.g_01219, Syak.g_00720
OG0000004	Syac.g_00948	Syak.g_00003
OG0000004	Syac.g_01975	Syak.g_02297
OG0000005	Syac.g_00527	Syak.g_02401
OG0000005	Syac.g_00569	Syak.g_02436
OG0000006	Syac.g_01002	Syak.g_00057
OG0000006	Syac.g_01958, Syac.g_01961, Syac.g_02194	Syak.g_00059, Syak.g_00061, Syak.g_01394, Syak.g_02315, Syak.g_02317
OG0000007	Syac.g_01885	Syak.g_02595
OG0000007	Syac.g_00544	Syak.g_02416
OG0000008	Syac.g_00921	Syak.g_00267
OG0000008	Syac.g_00922	Syak.g_00692
OG0000009	Syac.g_01004, Syac.g_00398	Syak.g_02194
OG0000010	Syac.g_01701	Syak.g_01119
OG0000011	Syac.g_00924	Syak.g_00960
OG0000012	Syac.g_00955	Syak.g_00010
OG0000013	Syac.g_02056	Syak.g_01270
OG0000013	Syac.g_02062	Syak.g_01275
OG0000014	Syac.g_00253	Syak.g_01505
OG0000015	Syac.g_01408	Syak.g_00358
OG0000016	Syac.g_00014	Syak.g_01780
OG0000016	Syac.g_01505	Syak.g_00818
OG0000017	Syac.g_01749	Syak.g_02730
OG0000017	Syac.g_01742	Syak.g_02738
OG0000018	Syac.g_01660	Syak.g_01072
OG0000019	Syac.g_02207	Syak.g_01413
OG0000022	Syac.g_01031	Syak.g_00088
OG0000023	Syac.g_00760	Syak.g_00316
OG0000025	Syac.g_00847	Syak.g_00610
OG0000026	Syac.g_00034	Syak.g_01757
OG0000027	Syac.g_01095	Syak.g_00127
OG0000028	Syac.g_00237	Syak.g_01522
OG0000029	Syac.g_01942	Syak.g_00169, Syak.g_00178
OG0000030	Syac.g_00143	Syak.g_01684
OG0000030	Syac.g_00142	Syak.g_01685
OG0000031	Syac.g_00232	Syak.g_01630
OG0000032	Syac.g_01677	Syak.g_01092
OG0000033	Syac.g_00304	Syak.g_02101
OG0000034	Syac.g_00334, Syac.g_00715	Syak.g_00950, Syak.g_02133
OG0000035	Syac.g_01630	Syak.g_01041, Syak.g_01040
OG0000036	Syac.g_01722, Syac.g_01536	Syak.g_02275
OG0000037	Syac.g_01077	Syak.g_02188
OG0000038	Syac.g_02357	Syak.g_01938
OG0000038	Syac.g_02358	Syak.g_01936
OG0000039	Syac.g_00856	Syak.g_00772
OG0000039	Syac.g_02378	Syak.g_01918
OG0000040	Syac.g_02437	Syak.g_01852
OG0000041	Syac.g_00655	Syak.g_02354
OG0000042	Syac.g_00146	Syak.g_00843, Syak.g_01681
OG0000043	Syac.g_00808, Syac.g_01100	Syak.g_00335
OG0000044	Syac.g_00858	Syak.g_00767
OG0000045	Syac.g_01040	Syak.g_00228
OG0000045	Syac.g_00576	Syak.g_00317
OG0000046	Syac.g_02055	Syak.g_01269
