Orthogroup	Syac	Praw
OG0000001	Syac.g_02154, Syac.g_00341, Syac.g_00340, Syac.g_02169	Praw.g_01000
OG0000002	Syac.g_01084	Praw.g_01009, Praw.g_01844
OG0000004	Syac.g_00898	Praw.g_01827
OG0000004	Syac.g_00948, Syac.g_01975	Praw.g_01203
OG0000005	Syac.g_00527	Praw.g_00528
OG0000005	Syac.g_00569	Praw.g_00413
OG0000006	Syac.g_01002, Syac.g_01958, Syac.g_01961, Syac.g_02194	Praw.g_01950
OG0000007	Syac.g_01885	Praw.g_00651
OG0000007	Syac.g_00544	Praw.g_00515
OG0000008	Syac.g_00921	Praw.g_00501
OG0000008	Syac.g_00922	Praw.g_00502
OG0000009	Syac.g_01004, Syac.g_00398	Praw.g_01330
OG0000010	Syac.g_01701	Praw.g_01460
OG0000012	Syac.g_00955, Syac.g_00758, Syac.g_01577	Praw.g_00159
OG0000013	Syac.g_02056, Syac.g_02046, Syac.g_02062	Praw.g_00807
OG0000014	Syac.g_00253	Praw.g_00828
OG0000015	Syac.g_01408	Praw.g_01738
OG0000016	Syac.g_01505	Praw.g_01415
OG0000016	Syac.g_01053	Praw.g_00484
OG0000017	Syac.g_01749, Syac.g_01742	Praw.g_01944
OG0000018	Syac.g_01660	Praw.g_00215
OG0000019	Syac.g_02207	Praw.g_00884, Praw.g_01717
OG0000022	Syac.g_01031	Praw.g_00197
OG0000023	Syac.g_00760	Praw.g_00772
OG0000024	Syac.g_00925	Praw.g_01763, Praw.g_01847
OG0000025	Syac.g_00847	Praw.g_00803, Praw.g_01664
OG0000026	Syac.g_00034	Praw.g_01397, Praw.g_01453
OG0000027	Syac.g_01095, Syac.g_01009	Praw.g_00677, Praw.g_00492, Praw.g_00962
OG0000028	Syac.g_00237	Praw.g_00334, Praw.g_00814
OG0000029	Syac.g_01942	Praw.g_01755
OG0000030	Syac.g_00143, Syac.g_00142	Praw.g_00029
OG0000034	Syac.g_00334, Syac.g_00715	Praw.g_00991
OG0000035	Syac.g_01630	Praw.g_01081, Praw.g_01083
OG0000037	Syac.g_01077	Praw.g_01326
OG0000038	Syac.g_02357, Syac.g_02358	Praw.g_01182
OG0000039	Syac.g_00856, Syac.g_02378	Praw.g_01836
OG0000040	Syac.g_01006	Praw.g_00476
OG0000040	Syac.g_02437	Praw.g_00214
OG0000041	Syac.g_00655, Syac.g_00876	Praw.g_00562
OG0000042	Syac.g_00146	Praw.g_00032
OG0000045	Syac.g_01040	Praw.g_00761
OG0000047	Syac.g_02031	Praw.g_00804
OG0000048	Syac.g_02240	Praw.g_00504, Praw.g_00758
OG0000050	Syac.g_01937	Praw.g_01432
OG0000051	Syac.g_01292	Praw.g_00491
OG0000051	Syac.g_01073	Praw.g_00955
OG0000053	Syac.g_01657	Praw.g_00357
OG0000054	Syac.g_00933, Syac.g_01050	Praw.g_00142
OG0000055	Syac.g_01034, Syac.g_00859	Praw.g_01716
OG0000057	Syac.g_00894	Praw.g_01824
OG0000059	Syac.g_02142	Praw.g_01894
OG0000060	Syac.g_01909	Praw.g_01743
OG0000061	Syac.g_00769	Praw.g_00234
OG0000062	Syac.g_00567	Praw.g_00415
OG0000063	Syac.g_00037	Praw.g_01395
OG0000065	Syac.g_00396, Syac.g_00490	Praw.g_01328
OG0000066	Syac.g_01827	Praw.g_00609
OG0000067	Syac.g_01341	Praw.g_01697
OG0000068	Syac.g_01916	Praw.g_01016
OG0000069	Syac.g_01272	Praw.g_00448
OG0000070	Syac.g_00711	Praw.g_00697
OG0000071	Syac.g_01049, Syac.g_00729	Praw.g_00981
OG0000072	Syac.g_00302	Praw.g_01264
OG0000073	Syac.g_01883	Praw.g_00649
OG0000075	Syac.g_00191	Praw.g_00064
OG0000076	Syac.g_00156	Praw.g_00039
OG0000077	Syac.g_00439	Praw.g_01356
OG0000078	Syac.g_01964	Praw.g_01196
OG0000081	Syac.g_01954, Syac.g_00461	Praw.g_00617
OG0000082	Syac.g_01766	Praw.g_01932
OG0000084	Syac.g_00822, Syac.g_01627	Praw.g_01087
OG0000085	Syac.g_00560	Praw.g_00508
OG0000086	Syac.g_00423	Praw.g_01346
OG0000087	Syac.g_00343	Praw.g_01296
OG0000088	Syac.g_00308	Praw.g_01269
OG0000089	Syac.g_01988, Syac.g_01543	Praw.g_00776
OG0000090	Syac.g_01836	Praw.g_00615
OG0000091	Syac.g_00987	Praw.g_01880
OG0000093	Syac.g_01357	Praw.g_01571
OG0000094	Syac.g_01251	Praw.g_01486
OG0000095	Syac.g_00884	Praw.g_01467
OG0000097	Syac.g_01507	Praw.g_00275
OG0000098	Syac.g_02157	Praw.g_00997
OG0000099	Syac.g_00234	Praw.g_01051
OG0000100	Syac.g_01309	Praw.g_00411
OG0000101	Syac.g_02094	Praw.g_00096
OG0000102	Syac.g_00151	Praw.g_00034
OG0000103	Syac.g_02476	Praw.g_01148
OG0000104	Syac.g_02490	Praw.g_01140
OG0000105	Syac.g_02245	Praw.g_00860
OG0000106	Syac.g_01098	Praw.g_00762
OG0000107	Syac.g_02191	Praw.g_00748
OG0000108	Syac.g_01904	Praw.g_00667
OG0000109	Syac.g_01889	Praw.g_00654
OG0000110	Syac.g_01778	Praw.g_01922
OG0000111	Syac.g_00893	Praw.g_01823
OG0000112	Syac.g_01173	Praw.g_01732
OG0000113	Syac.g_01314	Praw.g_01675
OG0000114	Syac.g_01394	Praw.g_01597
OG0000115	Syac.g_01655	Praw.g_00178
OG0000116	Syac.g_00753	Praw.g_00224
OG0000117	Syac.g_01477	Praw.g_00926
OG0000118	Syac.g_01728	Praw.g_00993
OG0000120	Syac.g_00233	Praw.g_01050
OG0000121	Syac.g_01635	Praw.g_01078
OG0000122	Syac.g_01013	Praw.g_00377
OG0000123	Syac.g_02086	Praw.g_00089
OG0000124	Syac.g_00135	Praw.g_00023
OG0000125	Syac.g_02360	Praw.g_01180
OG0000126	Syac.g_02488	Praw.g_01141
OG0000128	Syac.g_00012	Praw.g_01125
OG0000129	Syac.g_02349	Praw.g_01384
OG0000130	Syac.g_00450	Praw.g_01365
OG0000131	Syac.g_00330	Praw.g_01290
OG0000132	Syac.g_00310	Praw.g_01271
OG0000133	Syac.g_01178	Praw.g_00812
OG0000134	Syac.g_01985	Praw.g_00775
OG0000135	Syac.g_02398	Praw.g_00751
OG0000136	Syac.g_00701	Praw.g_00706
OG0000137	Syac.g_01700	Praw.g_00672
OG0000138	Syac.g_01888	Praw.g_00653
OG0000139	Syac.g_01830	Praw.g_00611
OG0000140	Syac.g_01829	Praw.g_00610
OG0000141	Syac.g_00934	Praw.g_00143
OG0000142	Syac.g_00979	Praw.g_01887
OG0000143	Syac.g_00983	Praw.g_01883
OG0000144	Syac.g_01090	Praw.g_01870
OG0000145	Syac.g_01882	Praw.g_01745
OG0000146	Syac.g_01172	Praw.g_01731
OG0000147	Syac.g_01171	Praw.g_01730
OG0000148	Syac.g_01320	Praw.g_01681
OG0000149	Syac.g_00832	Praw.g_01652
OG0000150	Syac.g_00935	Praw.g_01644
OG0000151	Syac.g_01383	Praw.g_01587
OG0000152	Syac.g_01182	Praw.g_01539
OG0000153	Syac.g_01217	Praw.g_01520
OG0000154	Syac.g_01241	Praw.g_01493
OG0000155	Syac.g_00804	Praw.g_00254
OG0000156	Syac.g_00743	Praw.g_00968
OG0000157	Syac.g_00742	Praw.g_00969
OG0000158	Syac.g_00182	Praw.g_01052
OG0000160	Syac.g_01633	Praw.g_01079, Praw.g_01080
OG0000161	Syac.g_01641	Praw.g_00344
OG0000162	Syac.g_01648	Praw.g_00350
