Orthogroup	Syac	Syat
OG0000001	Syac.g_00341, Syac.g_00340	Syat.g_02908, Syat.g_02909
OG0000001	Syac.g_02169	Syat.g_01540
OG0000005	Syac.g_00527	Syat.g_03065
OG0000005	Syac.g_00569	Syat.g_03105
OG0000005	Syac.g_01087	Syat.g_01038
OG0000006	Syac.g_01002	Syat.g_00371
OG0000006	Syac.g_01958, Syac.g_01961, Syac.g_02194	Syat.g_01439, Syat.g_01865
OG0000007	Syac.g_01885	Syat.g_03191
OG0000007	Syac.g_00544	Syat.g_03124
OG0000008	Syac.g_00921	Syat.g_02626
OG0000008	Syac.g_00922	Syat.g_02627
OG0000009	Syac.g_01004, Syac.g_00398	Syat.g_01567
OG0000010	Syac.g_01701	Syat.g_01372
OG0000012	Syac.g_00758, Syac.g_01577	Syat.g_03313, Syat.g_02642, Syat.g_02987, Syat.g_00139, Syat.g_00143
OG0000013	Syac.g_02062	Syat.g_01027
OG0000014	Syac.g_00253	Syat.g_02104
OG0000016	Syac.g_00014	Syat.g_02329
OG0000016	Syac.g_01505	Syat.g_00909
OG0000018	Syac.g_01660	Syat.g_01334
OG0000019	Syac.g_02207	Syat.g_01876
OG0000022	Syac.g_01031	Syat.g_00210
OG0000024	Syac.g_00925	Syat.g_03394
OG0000025	Syac.g_00847	Syat.g_00719
OG0000026	Syac.g_00034	Syat.g_02306
OG0000027	Syac.g_01095	Syat.g_00850
OG0000028	Syac.g_00237	Syat.g_02126
OG0000030	Syac.g_00143	Syat.g_00307
OG0000030	Syac.g_00142	Syat.g_00308
OG0000031	Syac.g_00232	Syat.g_02131
OG0000032	Syac.g_01677	Syat.g_01354
OG0000033	Syac.g_00304	Syat.g_02858
OG0000034	Syac.g_00334, Syac.g_00715	Syat.g_01165, Syat.g_02902
OG0000035	Syac.g_01630	Syat.g_01227, Syat.g_01226
OG0000037	Syac.g_01077	Syat.g_00849, Syat.g_00187
OG0000038	Syac.g_02357	Syat.g_02688
OG0000038	Syac.g_02358	Syat.g_02686
OG0000039	Syac.g_00856, Syac.g_02378	Syat.g_01278
OG0000040	Syac.g_02437	Syat.g_02551
OG0000042	Syac.g_00146	Syat.g_00223, Syat.g_02222
OG0000045	Syac.g_00576	Syat.g_00935
