Orthogroup	Syac	Praq
OG0000001	Syac.g_02154, Syac.g_00341, Syac.g_00340, Syac.g_02169	Praq.g_00160
OG0000002	Syac.g_01084	Praq.g_00168, Praq.g_00807
OG0000004	Syac.g_00898	Praq.g_00824
OG0000004	Syac.g_00948, Syac.g_01975	Praq.g_01770
OG0000005	Syac.g_00527	Praq.g_00484
OG0000005	Syac.g_00569	Praq.g_00370
OG0000006	Syac.g_01002, Syac.g_01958, Syac.g_01961, Syac.g_02194	Praq.g_01761
OG0000007	Syac.g_01885	Praq.g_01105
OG0000007	Syac.g_00544	Praq.g_00497
OG0000008	Syac.g_00921	Praq.g_00071
OG0000009	Syac.g_01004, Syac.g_00398	Praq.g_01898
OG0000010	Syac.g_01701	Praq.g_00552, Praq.g_01626
OG0000011	Syac.g_00924	Praq.g_00100
OG0000012	Syac.g_00955, Syac.g_00758, Syac.g_01577	Praq.g_00979
OG0000013	Syac.g_02056, Syac.g_02046, Syac.g_02062	Praq.g_01675
OG0000014	Syac.g_00253	Praq.g_01696
OG0000015	Syac.g_01408	Praq.g_00065
OG0000017	Syac.g_01749, Syac.g_01742	Praq.g_01004
OG0000018	Syac.g_01660	Praq.g_01314
OG0000019	Syac.g_02207	Praq.g_01753, Praq.g_00649
OG0000022	Syac.g_01031	Praq.g_01296
OG0000023	Syac.g_00760	Praq.g_01184
OG0000024	Syac.g_00925	Praq.g_00618, Praq.g_00804
OG0000025	Syac.g_00847	Praq.g_01671, Praq.g_01432
OG0000026	Syac.g_00034	Praq.g_01234, Praq.g_01633
OG0000027	Syac.g_01095, Syac.g_01009	Praq.g_00521
OG0000028	Syac.g_00237	Praq.g_00103, Praq.g_01682
OG0000029	Syac.g_01942	Praq.g_00627, Praq.g_01168
OG0000030	Syac.g_00143, Syac.g_00142	Praq.g_00772
OG0000031	Syac.g_00232	Praq.g_00209
OG0000034	Syac.g_00334, Syac.g_00715	Praq.g_00143
OG0000035	Syac.g_01630	Praq.g_00294
OG0000037	Syac.g_01077	Praq.g_01894
OG0000038	Syac.g_02357, Syac.g_02358	Praq.g_00716
OG0000039	Syac.g_00856, Syac.g_02378	Praq.g_00815
OG0000040	Syac.g_01006	Praq.g_01955
