Orthogroup	Syac	Pray
OG0000001	Syac.g_02154, Syac.g_00341, Syac.g_00340, Syac.g_02169	Pray.g_01844
OG0000002	Syac.g_01084	Pray.g_01836, Pray.g_01085
OG0000004	Syac.g_00898	Pray.g_01068
OG0000004	Syac.g_00948, Syac.g_01975	Pray.g_00713
OG0000005	Syac.g_00527	Pray.g_01546
OG0000005	Syac.g_00569	Pray.g_01646
OG0000006	Syac.g_01002, Syac.g_01958, Syac.g_01961, Syac.g_02194	Pray.g_00722
OG0000007	Syac.g_01885	Pray.g_00988, Pray.g_00987
OG0000007	Syac.g_00544	Pray.g_01559
OG0000008	Syac.g_00921	Pray.g_01931
OG0000009	Syac.g_01004, Syac.g_00398	Pray.g_00184
OG0000010	Syac.g_01701	Pray.g_00592
OG0000011	Syac.g_00924	Pray.g_01930
OG0000012	Syac.g_00955, Syac.g_00758, Syac.g_01577	Pray.g_01140
OG0000013	Syac.g_02056, Syac.g_02046, Syac.g_02062	Pray.g_00805
OG0000014	Syac.g_00253	Pray.g_00784
OG0000015	Syac.g_01408	Pray.g_00309
OG0000016	Syac.g_00014	Pray.g_01475
OG0000017	Syac.g_01749, Syac.g_01742	Pray.g_01165
OG0000018	Syac.g_01660	Pray.g_00083
OG0000019	Syac.g_02207	Pray.g_00730, Pray.g_00328
OG0000022	Syac.g_01031	Pray.g_00101
OG0000023	Syac.g_00760	Pray.g_00838
OG0000024	Syac.g_00925	Pray.g_00289, Pray.g_01088
OG0000025	Syac.g_00847	Pray.g_00809, Pray.g_00383
OG0000026	Syac.g_00034	Pray.g_01493, Pray.g_00599
OG0000027	Syac.g_01095, Syac.g_01009	Pray.g_00960, Pray.g_01887
OG0000028	Syac.g_00237	Pray.g_01935, Pray.g_00798
OG0000029	Syac.g_01942	Pray.g_00296, Pray.g_00853
OG0000030	Syac.g_00143, Syac.g_00142	Pray.g_01374
OG0000031	Syac.g_00232	Pray.g_01806
OG0000034	Syac.g_00334, Syac.g_00715	Pray.g_01860
OG0000035	Syac.g_01630	Pray.g_01722
OG0000037	Syac.g_01077	Pray.g_00180
OG0000038	Syac.g_02357, Syac.g_02358	Pray.g_01415
OG0000039	Syac.g_00856, Syac.g_02378	Pray.g_01077
OG0000040	Syac.g_01006	Pray.g_01585
OG0000040	Syac.g_02437	Pray.g_00084
OG0000042	Syac.g_00146	Pray.g_01371
OG0000043	Syac.g_00808	Pray.g_01924
OG0000044	Syac.g_00477, Syac.g_00858	Pray.g_00002
OG0000045	Syac.g_01040	Pray.g_00849
OG0000047	Syac.g_02031	Pray.g_00808, Pray.g_00897
OG0000048	Syac.g_02240	Pray.g_00852
OG0000050	Syac.g_01937	Pray.g_00619
OG0000051	Syac.g_01073	Pray.g_01894
OG0000053	Syac.g_01657	Pray.g_01702
OG0000054	Syac.g_00933, Syac.g_01050	Pray.g_01157
OG0000055	Syac.g_01034, Syac.g_00859	Pray.g_00329
OG0000057	Syac.g_00894	Pray.g_01065
OG0000058	Syac.g_00226	Pray.g_01786
OG0000059	Syac.g_02142	Pray.g_01258
OG0000061	Syac.g_00769	Pray.g_00064
OG0000062	Syac.g_00567	Pray.g_01644
OG0000063	Syac.g_00037	Pray.g_01495
OG0000065	Syac.g_00396, Syac.g_00490	Pray.g_00182
OG0000066	Syac.g_01827	Pray.g_01222
OG0000067	Syac.g_01341	Pray.g_00348
OG0000068	Syac.g_01916	Pray.g_01829
OG0000069	Syac.g_01272	Pray.g_01609
OG0000070	Syac.g_00711	Pray.g_00940
OG0000071	Syac.g_01049, Syac.g_00729	Pray.g_01870
OG0000072	Syac.g_00302	Pray.g_00652
OG0000073	Syac.g_01883	Pray.g_00990
OG0000075	Syac.g_00191	Pray.g_01339
OG0000076	Syac.g_00156	Pray.g_01364
OG0000077	Syac.g_00439	Pray.g_00211
OG0000078	Syac.g_01964	Pray.g_00720
OG0000079	Syac.g_02211	Pray.g_00733
OG0000081	Syac.g_01954, Syac.g_00461	Pray.g_01022
OG0000082	Syac.g_01766	Pray.g_01177
OG0000084	Syac.g_00822, Syac.g_01627	Pray.g_01726
OG0000085	Syac.g_00560	Pray.g_01566
OG0000086	Syac.g_00423	Pray.g_00201
OG0000087	Syac.g_00343	Pray.g_00150
OG0000088	Syac.g_00308	Pray.g_00647
OG0000089	Syac.g_01988, Syac.g_01543	Pray.g_00834
OG0000090	Syac.g_01836	Pray.g_01024, Pray.g_01228
OG0000091	Syac.g_00987	Pray.g_01121
OG0000093	Syac.g_01357	Pray.g_00479
OG0000094	Syac.g_01251	Pray.g_00565
OG0000095	Syac.g_00884	Pray.g_00584
OG0000097	Syac.g_01507	Pray.g_00022
OG0000098	Syac.g_02157	Pray.g_01847
OG0000099	Syac.g_00234	Pray.g_01788
OG0000100	Syac.g_01309	Pray.g_01648
OG0000101	Syac.g_02094	Pray.g_01306
OG0000102	Syac.g_00151	Pray.g_01369
OG0000103	Syac.g_02476	Pray.g_01449
OG0000104	Syac.g_02490	Pray.g_01457
OG0000105	Syac.g_02245	Pray.g_00753
OG0000106	Syac.g_01098	Pray.g_00848
OG0000107	Syac.g_02191	Pray.g_00864
OG0000108	Syac.g_01904	Pray.g_00970
OG0000109	Syac.g_01889	Pray.g_00984
OG0000110	Syac.g_01778	Pray.g_01187
OG0000111	Syac.g_00893	Pray.g_01064
OG0000112	Syac.g_01173	Pray.g_00313
OG0000113	Syac.g_01314	Pray.g_00370
OG0000114	Syac.g_01394	Pray.g_00452
OG0000115	Syac.g_01655	Pray.g_00126
OG0000116	Syac.g_00753	Pray.g_00074
OG0000117	Syac.g_01477	Pray.g_01927
OG0000118	Syac.g_01728	Pray.g_01858
OG0000120	Syac.g_00233	Pray.g_01808
OG0000121	Syac.g_01635	Pray.g_01720
OG0000122	Syac.g_01013	Pray.g_01682
OG0000123	Syac.g_02086	Pray.g_01313
OG0000124	Syac.g_00135	Pray.g_01380
OG0000125	Syac.g_02360	Pray.g_01417
OG0000126	Syac.g_02488	Pray.g_01456
OG0000128	Syac.g_00012	Pray.g_01473
OG0000129	Syac.g_02349	Pray.g_00239
OG0000130	Syac.g_00450	Pray.g_00220
OG0000131	Syac.g_00330	Pray.g_00144
OG0000132	Syac.g_00310	Pray.g_00645
OG0000133	Syac.g_01178	Pray.g_00800
OG0000134	Syac.g_01985	Pray.g_00835
OG0000135	Syac.g_02398	Pray.g_00861
OG0000136	Syac.g_00701	Pray.g_00931
OG0000137	Syac.g_01700	Pray.g_00965
OG0000138	Syac.g_01888	Pray.g_00985
OG0000139	Syac.g_01830	Pray.g_01224
OG0000140	Syac.g_01829	Pray.g_01223
OG0000141	Syac.g_00934	Pray.g_01156
OG0000142	Syac.g_00979	Pray.g_01128
OG0000143	Syac.g_00983	Pray.g_01124
OG0000144	Syac.g_01090	Pray.g_01111
OG0000145	Syac.g_01882	Pray.g_00306
OG0000146	Syac.g_01172	Pray.g_00314
OG0000147	Syac.g_01171	Pray.g_00315
OG0000148	Syac.g_01320	Pray.g_00364
OG0000149	Syac.g_00832	Pray.g_00395
OG0000150	Syac.g_00935	Pray.g_00403
OG0000151	Syac.g_01383	Pray.g_00462
OG0000152	Syac.g_01182	Pray.g_00511
OG0000153	Syac.g_01217	Pray.g_00530
OG0000154	Syac.g_01241	Pray.g_00558
OG0000155	Syac.g_00804	Pray.g_00043
OG0000156	Syac.g_00743	Pray.g_01881
OG0000157	Syac.g_00742	Pray.g_01880
OG0000158	Syac.g_00182	Pray.g_01787
OG0000160	Syac.g_01633	Pray.g_01721
OG0000161	Syac.g_01641	Pray.g_01715
OG0000162	Syac.g_01648	Pray.g_01709
OG0000163	Syac.g_00619	Pray.g_01675
OG0000164	Syac.g_00508	Pray.g_01535
OG0000165	Syac.g_00674	Pray.g_01528
OG0000166	Syac.g_02132	Pray.g_01270
OG0000167	Syac.g_00194	Pray.g_01337
OG0000168	Syac.g_00179	Pray.g_01347
OG0000169	Syac.g_00168	Pray.g_01357
OG0000170	Syac.g_00161	Pray.g_01359
OG0000171	Syac.g_00136	Pray.g_01379
OG0000172	Syac.g_00084	Pray.g_01388
OG0000173	Syac.g_00057	Pray.g_01403
OG0000174	Syac.g_02401	Pray.g_01431
OG0000175	Syac.g_02465	Pray.g_01441
OG0000176	Syac.g_00004	Pray.g_01465, Pray.g_01466
OG0000177	Syac.g_00005	Pray.g_01467
OG0000178	Syac.g_00006	Pray.g_01468
OG0000179	Syac.g_00019	Pray.g_01478
OG0000180	Syac.g_00020	Pray.g_01479
OG0000181	Syac.g_00021	Pray.g_01480
OG0000182	Syac.g_00022	Pray.g_01481
OG0000183	Syac.g_00026	Pray.g_01485
OG0000184	Syac.g_02339	Pray.g_00237
OG0000185	Syac.g_02336	Pray.g_00234
OG0000186	Syac.g_00454	Pray.g_00225
OG0000187	Syac.g_00453	Pray.g_00224
OG0000188	Syac.g_00433	Pray.g_00207
OG0000189	Syac.g_00408	Pray.g_00193
OG0000190	Syac.g_00406	Pray.g_00192
OG0000191	Syac.g_00373	Pray.g_00172
OG0000192	Syac.g_00368	Pray.g_00168
OG0000193	Syac.g_00329	Pray.g_00143
OG0000194	Syac.g_00326	Pray.g_00140
OG0000195	Syac.g_00324	Pray.g_00138
OG0000196	Syac.g_00313	Pray.g_00642
OG0000197	Syac.g_00312	Pray.g_00643
OG0000198	Syac.g_00311	Pray.g_00644
OG0000199	Syac.g_00303	Pray.g_00651
OG0000200	Syac.g_02261	Pray.g_00665
OG0000201	Syac.g_02278	Pray.g_00673
OG0000202	Syac.g_02279	Pray.g_00674
OG0000203	Syac.g_02280	Pray.g_00675
OG0000204	Syac.g_02281	Pray.g_00676
OG0000205	Syac.g_02288	Pray.g_00683
OG0000206	Syac.g_02297	Pray.g_00688
OG0000207	Syac.g_02300	Pray.g_00690
OG0000208	Syac.g_02301	Pray.g_00691
OG0000209	Syac.g_02316	Pray.g_00700
OG0000210	Syac.g_02317	Pray.g_00701
OG0000211	Syac.g_01972	Pray.g_00714
OG0000212	Syac.g_01963	Pray.g_00721
OG0000213	Syac.g_02219	Pray.g_00738
OG0000214	Syac.g_02236	Pray.g_00747
OG0000215	Syac.g_00281	Pray.g_00771
OG0000216	Syac.g_00277	Pray.g_00772
OG0000217	Syac.g_00273	Pray.g_00775
OG0000218	Syac.g_00271	Pray.g_00777
OG0000219	Syac.g_00270	Pray.g_00778
OG0000220	Syac.g_00269	Pray.g_00779
OG0000221	Syac.g_00261	Pray.g_00780
OG0000222	Syac.g_00247	Pray.g_00788
OG0000223	Syac.g_00225	Pray.g_00801
OG0000224	Syac.g_00217	Pray.g_00803
OG0000225	Syac.g_02004	Pray.g_00824
OG0000226	Syac.g_02000	Pray.g_00828
OG0000227	Syac.g_01998	Pray.g_00830
OG0000228	Syac.g_01989	Pray.g_00833
OG0000229	Syac.g_00692	Pray.g_00926
OG0000230	Syac.g_00694	Pray.g_00928
OG0000231	Syac.g_00710	Pray.g_00939
OG0000232	Syac.g_01717	Pray.g_00948
OG0000233	Syac.g_01713	Pray.g_00953
OG0000234	Syac.g_01699	Pray.g_00966
OG0000235	Syac.g_01905	Pray.g_00969
OG0000236	Syac.g_01890	Pray.g_00983
OG0000237	Syac.g_01873	Pray.g_00997
OG0000238	Syac.g_01868	Pray.g_01003
OG0000239	Syac.g_01852	Pray.g_01016
OG0000240	Syac.g_01851	Pray.g_01017
OG0000241	Syac.g_00970	Pray.g_01021
OG0000242	Syac.g_01839	Pray.g_01023
OG0000243	Syac.g_01821	Pray.g_01218
OG0000244	Syac.g_01814	Pray.g_01215
OG0000245	Syac.g_01811	Pray.g_01213
OG0000246	Syac.g_01807	Pray.g_01209
OG0000247	Syac.g_01795	Pray.g_01199
OG0000248	Syac.g_01792	Pray.g_01197
OG0000249	Syac.g_01790	Pray.g_01195
OG0000250	Syac.g_01782	Pray.g_01190
OG0000251	Syac.g_01757	Pray.g_01172
OG0000252	Syac.g_01753	Pray.g_01169
OG0000253	Syac.g_01752	Pray.g_01168
OG0000254	Syac.g_00939	Pray.g_01152
OG0000255	Syac.g_00947	Pray.g_01146
OG0000256	Syac.g_00963	Pray.g_01136
OG0000257	Syac.g_00969	Pray.g_01133
OG0000258	Syac.g_00988	Pray.g_01120
OG0000259	Syac.g_01425	Pray.g_01103
OG0000260	Syac.g_01422	Pray.g_01100
OG0000261	Syac.g_01418	Pray.g_01098
OG0000262	Syac.g_01413	Pray.g_01094
OG0000263	Syac.g_01497	Pray.g_01082
OG0000264	Syac.g_00915	Pray.g_01072
OG0000265	Syac.g_00673	Pray.g_01040
OG0000266	Syac.g_01271	Pray.g_01030
OG0000267	Syac.g_01131	Pray.g_00274
