Orthogroup	Syac	Prbm
OG0000001	Syac.g_02154, Syac.g_00341, Syac.g_00340, Syac.g_02169	Prbm.g_01633
OG0000002	Syac.g_01084	Prbm.g_00874, Prbm.g_01578, Prbm.g_01577, Prbm.g_01582, Prbm.g_01576, Prbm.g_01581, Prbm.g_00712
OG0000004	Syac.g_00898	Prbm.g_01483
OG0000004	Syac.g_00948, Syac.g_01975	Prbm.g_00291
OG0000005	Syac.g_00569	Prbm.g_01790
OG0000006	Syac.g_01002, Syac.g_01958, Syac.g_01961, Syac.g_02194	Prbm.g_00302, Prbm.g_01236, Prbm.g_01588
OG0000007	Syac.g_01885	Prbm.g_00522
OG0000007	Syac.g_00544	Prbm.g_01841
OG0000008	Syac.g_00921	Prbm.g_01907
OG0000008	Syac.g_00922	Prbm.g_01908
OG0000010	Syac.g_01701	Prbm.g_01066
OG0000011	Syac.g_00924	Prbm.g_01174, Prbm.g_01134
OG0000013	Syac.g_02056, Syac.g_02046, Syac.g_02062	Prbm.g_00382
OG0000014	Syac.g_00253	Prbm.g_00362
OG0000015	Syac.g_01408	Prbm.g_01427, Prbm.g_01149
OG0000016	Syac.g_00014	Prbm.g_00013
OG0000016	Syac.g_01505, Syac.g_01053	Prbm.g_01944
OG0000018	Syac.g_01660	Prbm.g_01571
OG0000019	Syac.g_02207	Prbm.g_00792
OG0000022	Syac.g_01031	Prbm.g_01324
OG0000023	Syac.g_00760	Prbm.g_01444, Prbm.g_01297, Prbm.g_01284
OG0000024	Syac.g_00925	Prbm.g_01151, Prbm.g_00709
OG0000025	Syac.g_00847	Prbm.g_00849
OG0000026	Syac.g_00034	Prbm.g_00031
OG0000028	Syac.g_00237	Prbm.g_01656
OG0000029	Syac.g_01942	Prbm.g_01823
OG0000030	Syac.g_00143, Syac.g_00142	Prbm.g_02105
OG0000031	Syac.g_00232	Prbm.g_01627, Prbm.g_00392, Prbm.g_00391, Prbm.g_00393
OG0000032	Syac.g_01677	Prbm.g_01747
OG0000033	Syac.g_00304	Prbm.g_00228
OG0000034	Syac.g_00334, Syac.g_00715	Prbm.g_01620
OG0000035	Syac.g_01630	Prbm.g_01710
OG0000037	Syac.g_01077	Prbm.g_00166
OG0000038	Syac.g_02357, Syac.g_02358	Prbm.g_02174
OG0000039	Syac.g_00856, Syac.g_02378	Prbm.g_00723
OG0000040	Syac.g_01006	Prbm.g_01923, Prbm.g_01409, Prbm.g_01813
OG0000041	Syac.g_00655, Syac.g_00876	Prbm.g_01886
OG0000042	Syac.g_00146	Prbm.g_02102
OG0000043	Syac.g_00808	Prbm.g_01173
OG0000043	Syac.g_01100	Prbm.g_00906
OG0000044	Syac.g_00477, Syac.g_00858	Prbm.g_00478, Prbm.g_01281
OG0000046	Syac.g_02055, Syac.g_02047, Syac.g_02063	Prbm.g_00383
OG0000047	Syac.g_02031	Prbm.g_00390, Prbm.g_00428
OG0000048	Syac.g_02240	Prbm.g_00329
OG0000050	Syac.g_01937	Prbm.g_00118
OG0000051	Syac.g_01292	Prbm.g_01276
OG0000052	Syac.g_00207	Prbm.g_00114
OG0000053	Syac.g_01657	Prbm.g_01729
OG0000054	Syac.g_00933, Syac.g_01050	Prbm.g_00637
OG0000055	Syac.g_01034	Prbm.g_01921
OG0000057	Syac.g_00894	Prbm.g_00735
OG0000058	Syac.g_00226	Prbm.g_00881
OG0000059	Syac.g_02142	Prbm.g_01973
OG0000060	Syac.g_01909	Prbm.g_01422
OG0000061	Syac.g_00769	Prbm.g_01549
OG0000062	Syac.g_00567	Prbm.g_01792
OG0000063	Syac.g_00037	Prbm.g_01947
OG0000065	Syac.g_00396, Syac.g_00490	Prbm.g_00164
OG0000066	Syac.g_01827	Prbm.g_00572
OG0000067	Syac.g_01341	Prbm.g_00814
OG0000068	Syac.g_01916	Prbm.g_01660
OG0000069	Syac.g_01272	Prbm.g_01414, Prbm.g_01387, Prbm.g_01753, Prbm.g_00772
OG0000070	Syac.g_00711	Prbm.g_00460
OG0000071	Syac.g_01049, Syac.g_00729	Prbm.g_00468, Prbm.g_01611
OG0000072	Syac.g_00302	Prbm.g_00230
OG0000073	Syac.g_01883	Prbm.g_00533
OG0000075	Syac.g_00191	Prbm.g_02069
OG0000076	Syac.g_00156	Prbm.g_02094
OG0000077	Syac.g_00439	Prbm.g_00135
OG0000078	Syac.g_01964	Prbm.g_00300
OG0000079	Syac.g_02211	Prbm.g_00311
OG0000081	Syac.g_01954, Syac.g_00461	Prbm.g_00564
OG0000082	Syac.g_01766	Prbm.g_01900
OG0000084	Syac.g_00822, Syac.g_01627	Prbm.g_01706
OG0000085	Syac.g_00560	Prbm.g_01834
OG0000086	Syac.g_00423	Prbm.g_00145
OG0000087	Syac.g_00343	Prbm.g_00198
OG0000088	Syac.g_00308	Prbm.g_00225
OG0000089	Syac.g_01988, Syac.g_01543	Prbm.g_00423
OG0000090	Syac.g_01836	Prbm.g_00566
OG0000091	Syac.g_00987	Prbm.g_00673
OG0000093	Syac.g_01357	Prbm.g_00799
