Orthogroup	Syac	Prbb
OG0000001	Syac.g_02154, Syac.g_00341, Syac.g_00340, Syac.g_02169	Prbb.g_01611
OG0000002	Syac.g_01084	Prbb.g_00844, Prbb.g_01546, Prbb.g_01545, Prbb.g_01550, Prbb.g_01544, Prbb.g_01549, Prbb.g_00683
OG0000004	Syac.g_00898	Prbb.g_01450
OG0000004	Syac.g_00948, Syac.g_01975	Prbb.g_00288
OG0000005	Syac.g_00527	Prbb.g_01393
OG0000005	Syac.g_00569	Prbb.g_01766
OG0000006	Syac.g_01002, Syac.g_01958, Syac.g_01961, Syac.g_02194	Prbb.g_00299, Prbb.g_01328, Prbb.g_01560
OG0000007	Syac.g_01885	Prbb.g_00501
OG0000007	Syac.g_00544	Prbb.g_01823
OG0000008	Syac.g_00921	Prbb.g_01884
OG0000008	Syac.g_00922	Prbb.g_01885
OG0000010	Syac.g_01701	Prbb.g_01072
OG0000011	Syac.g_00924	Prbb.g_01199, Prbb.g_01137, Prbb.g_01138
OG0000013	Syac.g_02056, Syac.g_02046, Syac.g_02062	Prbb.g_00378
OG0000014	Syac.g_00253	Prbb.g_00357
OG0000015	Syac.g_01408	Prbb.g_01158
OG0000016	Syac.g_00014	Prbb.g_00014
OG0000016	Syac.g_01505, Syac.g_01053	Prbb.g_01919
OG0000018	Syac.g_01660	Prbb.g_01539
OG0000019	Syac.g_02207	Prbb.g_00761
OG0000022	Syac.g_01031	Prbb.g_01258
OG0000023	Syac.g_00760	Prbb.g_01411, Prbb.g_01373
OG0000024	Syac.g_00925	Prbb.g_01175, Prbb.g_00680
OG0000025	Syac.g_00847	Prbb.g_00052, Prbb.g_00818
OG0000026	Syac.g_00034	Prbb.g_00032
OG0000027	Syac.g_01095, Syac.g_01009	Prbb.g_01375
OG0000028	Syac.g_00237	Prbb.g_01635
OG0000029	Syac.g_01942	Prbb.g_01800
OG0000030	Syac.g_00143, Syac.g_00142	Prbb.g_02073
OG0000031	Syac.g_00232	Prbb.g_00387
OG0000032	Syac.g_01677	Prbb.g_01723
OG0000033	Syac.g_00304	Prbb.g_00226
OG0000034	Syac.g_00334, Syac.g_00715	Prbb.g_01596
OG0000035	Syac.g_01630	Prbb.g_01686
OG0000037	Syac.g_01077	Prbb.g_00164
OG0000038	Syac.g_02357, Syac.g_02358	Prbb.g_02129
OG0000039	Syac.g_00856, Syac.g_02378	Prbb.g_00692
OG0000040	Syac.g_01006	Prbb.g_01899, Prbb.g_01790
OG0000041	Syac.g_00655, Syac.g_00876	Prbb.g_01868
OG0000042	Syac.g_00146	Prbb.g_02069
OG0000043	Syac.g_00808	Prbb.g_01198
OG0000043	Syac.g_01100	Prbb.g_00909
OG0000044	Syac.g_00477, Syac.g_00858	Prbb.g_00079
OG0000045	Syac.g_00576	Prbb.g_01347
OG0000046	Syac.g_02055, Syac.g_02047, Syac.g_02063	Prbb.g_00379
OG0000047	Syac.g_02031	Prbb.g_00386, Prbb.g_00421
OG0000048	Syac.g_02240	Prbb.g_00325
OG0000050	Syac.g_01937	Prbb.g_00116
OG0000051	Syac.g_01292	Prbb.g_01391
OG0000052	Syac.g_00207	Prbb.g_00112
OG0000053	Syac.g_01657	Prbb.g_01705
OG0000054	Syac.g_00933, Syac.g_01050	Prbb.g_00607
OG0000055	Syac.g_01034	Prbb.g_01897
OG0000057	Syac.g_00894	Prbb.g_01359, Prbb.g_00706
OG0000058	Syac.g_00226	Prbb.g_00851
OG0000059	Syac.g_02142	Prbb.g_01946
OG0000060	Syac.g_01909	Prbb.g_01153
OG0000061	Syac.g_00769	Prbb.g_01517
OG0000062	Syac.g_00567	Prbb.g_01768
OG0000063	Syac.g_00037	Prbb.g_01921
OG0000065	Syac.g_00396, Syac.g_00490	Prbb.g_00162
OG0000066	Syac.g_01827	Prbb.g_00542
OG0000067	Syac.g_01341	Prbb.g_00783
OG0000068	Syac.g_01916	Prbb.g_01639
OG0000069	Syac.g_01272	Prbb.g_01324, Prbb.g_01729
OG0000070	Syac.g_00711	Prbb.g_00455
OG0000071	Syac.g_01049, Syac.g_00729	Prbb.g_01586
OG0000072	Syac.g_00302	Prbb.g_00228
OG0000073	Syac.g_01883	Prbb.g_00503
OG0000075	Syac.g_00191	Prbb.g_02036
OG0000076	Syac.g_00156	Prbb.g_02061
OG0000077	Syac.g_00439	Prbb.g_00133
OG0000078	Syac.g_01964	Prbb.g_00297
OG0000079	Syac.g_02211	Prbb.g_00308
OG0000081	Syac.g_01954, Syac.g_00461	Prbb.g_00534
OG0000082	Syac.g_01766	Prbb.g_01882
OG0000084	Syac.g_00822, Syac.g_01627	Prbb.g_01683
OG0000085	Syac.g_00560	Prbb.g_01816
OG0000086	Syac.g_00423	Prbb.g_00143
OG0000087	Syac.g_00343	Prbb.g_00196
OG0000088	Syac.g_00308	Prbb.g_00223
OG0000089	Syac.g_01988, Syac.g_01543	Prbb.g_00416
OG0000090	Syac.g_01836	Prbb.g_00536
OG0000091	Syac.g_00987	Prbb.g_00643
OG0000093	Syac.g_01357	Prbb.g_00768
OG0000094	Syac.g_01251	Prbb.g_00892
OG0000095	Syac.g_00884	Prbb.g_01070
OG0000097	Syac.g_01507	Prbb.g_01470
OG0000098	Syac.g_02157	Prbb.g_01608
