Orthogroup	Syac	Syal
OG0000001	Syac.g_00341, Syac.g_00340	Syal.g_00874, Syal.g_01184
OG0000004	Syac.g_00898	Syal.g_01809
OG0000004	Syac.g_00948	Syal.g_02718
OG0000004	Syac.g_01975	Syal.g_00691
OG0000005	Syac.g_00527	Syal.g_00606
OG0000005	Syac.g_00569	Syal.g_00565
OG0000005	Syac.g_01087	Syal.g_01664
OG0000006	Syac.g_01002	Syal.g_02611
OG0000006	Syac.g_01958, Syac.g_01961, Syac.g_02194	Syal.g_00674
OG0000007	Syac.g_01885	Syal.g_02918
OG0000007	Syac.g_00544	Syal.g_00587
OG0000008	Syac.g_00921	Syal.g_02512
OG0000008	Syac.g_00922	Syal.g_01783
OG0000009	Syac.g_01004, Syac.g_00398	Syal.g_00818
OG0000010	Syac.g_01701	Syal.g_00464
OG0000011	Syac.g_00924	Syal.g_00702
OG0000012	Syac.g_01577	Syal.g_02535, Syal.g_01639
OG0000013	Syac.g_02056	Syal.g_00315
OG0000013	Syac.g_02046	Syal.g_00322
OG0000013	Syac.g_02062	Syal.g_00310
OG0000014	Syac.g_00253	Syal.g_01305
OG0000014	Syac.g_00100	Syal.g_01393
OG0000016	Syac.g_00014	Syal.g_00111
OG0000016	Syac.g_01505	Syal.g_01734
OG0000017	Syac.g_01749	Syal.g_02752
OG0000017	Syac.g_01742	Syal.g_02745
OG0000018	Syac.g_01660	Syal.g_00410
OG0000019	Syac.g_02207	Syal.g_01209
OG0000022	Syac.g_01031	Syal.g_02587
OG0000024	Syac.g_00925	Syal.g_02597
OG0000025	Syac.g_00847	Syal.g_02459
OG0000026	Syac.g_00034	Syal.g_00132
OG0000027	Syac.g_01095	Syal.g_02543
OG0000028	Syac.g_00237	Syal.g_01319
OG0000029	Syac.g_01942	Syal.g_03014
OG0000030	Syac.g_00143	Syal.g_01511
OG0000030	Syac.g_00142	Syal.g_01512
OG0000031	Syac.g_00232	Syal.g_01404, Syal.g_01432
OG0000032	Syac.g_01677	Syal.g_00428
OG0000033	Syac.g_00304	Syal.g_00912
OG0000034	Syac.g_00334, Syac.g_00715	Syal.g_00881, Syal.g_01586
OG0000035	Syac.g_01630	Syal.g_00370, Syal.g_00020
